Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,CTC-467M3.3,ENSG00000250377.1,lincRNA,FUSION,-6.10E+00,1.07E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cerebellar Hemisphere,HSPA1A,ENSG00000204389.9,protein-coding,Summary-PrediXcan(S-PrediXcan),5.31E+00,1.08E-07,TWASP000156
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RTN1,ENSG00000139970.16,protein-coding,FUSION,-4.87E+00,1.09E-06,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RP1-313I6.12,ENSG00000272009.1,antisense,FUSION,6.45E+00,1.09E-10,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain,XPNPEP3,ENSG00000196236.12,protein-coding,FUSION,4.87E+00,1.10E-06,TWASP000083
Major Depression Disorder,Depressive Disorder,Blood,RERE,ENSG00000142599.17,protein-coding,FUSION,-5.31E+00,1.10E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Frontal Cortex,SPPL3,ENSG00000157837.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.30E+00,1.10E-10,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,PMFBP1,ENSG00000118557.15,protein-coding,FUSION,-4.87E+00,1.11E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Blood,H4C13,ENSG00000275126,protein-coding,FUSION,4.87E+00,1.11E-06,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,ZSCAN9,ENSG00000137185.11,protein-coding,FUSION,-5.31E+00,1.11E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Thyroid,ZKSCAN3,ENSG00000189298.13,protein-coding,FUSION,6.09E+00,1.11E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,PIGFP2,ENSG00000234881.1,processed_pseudogene,FUSION,-5.31E+00,1.12E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.09E+00,1.12E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cerebellar Hemisphere,PCDHA2,ENSG00000204969.6,protein-coding,Summary-PrediXcan(S-PrediXcan),-1.24E+00,1.14E-06,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,GPX1,ENSG00000233276.3,protein-coding,FUSION,4.87E+00,1.14E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Whole Blood,RP5-1115A15.1,ENSG00000232912.5,antisense,FUSION,-4.87E+00,1.14E-06,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,NDUFA2,ENSG00000131495.8,protein-coding,FUSION,4.86E+00,1.15E-06,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,TSPAN31,ENSG00000135452.9,protein-coding,FUSION,5.30E+00,1.15E-07,TWASP000158
Major Depression Disorder,Depressive Disorder,Anterior Cingulate Cortex,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.45E+00,1.15E-10,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Hippocampus,NT5C2,ENSG00000076685.18,protein-coding,Summary-PrediXcan(S-PrediXcan),-1.61E+00,1.16E-06,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,SENP7,ENSG00000138468.15,protein-coding,FUSION,4.86E+00,1.16E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,FLOT1,ENSG00000137312.14,protein-coding,FUSION,-5.30E+00,1.16E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,FLOT1,ENSG00000137312.14,protein-coding,FUSION,-5.30E+00,1.16E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Hypothalamus,MLF1,ENSG00000178053.17,protein-coding,Summary-PrediXcan(S-PrediXcan),2.23E+00,1.16E-09,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain,SCAMP1,ENSG00000085365.17,protein-coding,FUSION,-4.38E+00,1.17E-05,TWASP000083
Major Depression Disorder,Depressive Disorder,Brain Nucleus Accumbens,ZNF445,ENSG00000185219.16,protein-coding,Summary-PrediXcan(S-PrediXcan),-3.77E+00,1.17E-10,TWASP000156
Major Depressive Disorder,Depressive Disorder,Muscle Skeletal,FHIT,ENSG00000189283.9,protein-coding,Summary-PrediXcan(S-PrediXcan),5.30E+00,1.19E-07,TWASP000054
Major Depressive Disorder,Depressive Disorder,Muscle Skeletal,FHIT,ENSG00000189283.9,protein-coding,Summary-PrediXcan(S-PrediXcan),5.30E+00,1.19E-07,TWASP000056
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RP11-73M18.7,ENSG00000269940.1,sense_intronic,FUSION,4.86E+00,1.20E-06,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Caudate,SLC30A9,ENSG00000014824.13,protein-coding,FUSION,-4.85E+00,1.21E-06,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Hypothalamus,NLGN1,ENSG00000169760.17,protein-coding,Summary-PrediXcan(S-PrediXcan),-4.16E-01,1.21E-07,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Nucleus Accumbens,GPX1,ENSG00000233276.3,protein-coding,Summary-PrediXcan(S-PrediXcan),6.25E+00,1.22E-10,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain,SLC30A9,ENSG00000014824.13,protein-coding,FUSION,4.85E+00,1.23E-06,TWASP000083
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RPS6KL1,ENSG00000198208.11,protein-coding,FUSION,-4.85E+00,1.24E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Nucleus Accumbens,SNORA63,ENSG00000201448.1,snoRNA,FUSION,4.85E+00,1.24E-06,TWASP000135
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,DENND1B,ENSG00000213047.12,protein-coding,FUSION,4.85E+00,1.24E-06,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,CSE1L,ENSG00000124207.16,protein-coding,FUSION,-4.85E+00,1.25E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Hypothalamus,EP300,ENSG00000100393.12,protein-coding,Summary-PrediXcan(S-PrediXcan),5.10E+00,1.25E-13,TWASP000156
Major Depression Disorder,Depressive Disorder,Whole Blood,ZNF660,ENSG00000144792.9,protein-coding,Summary-PrediXcan(S-PrediXcan),-3.78E+00,1.26E-08,TWASP000156
Major Depression Disorder,Depressive Disorder,Blood,ANKRD44,ENSG00000065413.18,protein-coding,FUSION,-5.69E+00,1.27E-08,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,RPL31P12,ENSG00000227207.2,processed_pseudogene,FUSION,-7.71E+00,1.27E-14,TWASP000135
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RAB27B,ENSG00000041353.9,protein-coding,FUSION,4.84E+00,1.28E-06,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,AREL1,ENSG00000119682.16,protein-coding,FUSION,-6.07E+00,1.28E-09,TWASP000158
Major Depression Disorder,Depressive Disorder,Anterior Cingulate Cortex,RP11-1I2.1,ENSG00000283458.1,lincRNA,Summary-PrediXcan(S-PrediXcan),-4.89E+00,1.29E-06,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,TRMT61A,ENSG00000166166.12,protein-coding,FUSION,6.07E+00,1.29E-09,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Substantia Nigra,ZNFX1,ENSG00000124201.14,protein-coding,Summary-PrediXcan(S-PrediXcan),-1.46E+00,1.30E-05,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Cerebellar Hemisphere,RBX1,ENSG00000100387.8,protein-coding,Summary-PrediXcan(S-PrediXcan),6.76E-01,1.30E-08,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Hypothalamus,ZKSCAN8,ENSG00000198315.10,protein-coding,Summary-PrediXcan(S-PrediXcan),5.43E+00,1.30E-08,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,CHD6,ENSG00000124177.14,protein-coding,FUSION,-5.69E+00,1.31E-08,TWASP000158
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,DDX27,ENSG00000124228.14,protein-coding,FUSION,4.84E+00,1.32E-06,TWASP000135
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,TMEM33,ENSG00000109133.12,protein-coding,FUSION,4.84E+00,1.32E-06,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cortex,LIN28B,ENSG00000187772.7,protein-coding,Summary-PrediXcan(S-PrediXcan),-2.37E+00,1.32E-10,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,DENND1B,ENSG00000213047.12,protein-coding,FUSION,6.77E+00,1.33E-11,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Frontal Cortex,CTC-467M3.3,ENSG00000250377.1,lincRNA,FUSION,-7.09E+00,1.33E-12,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cortex,YLPM1,ENSG00000119596.17,protein-coding,Summary-PrediXcan(S-PrediXcan),6.27E+00,1.33E-12,TWASP000156
Major Depression Disorder,Depressive Disorder,Whole Blood,TP53I11,ENSG00000175274.18,protein-coding,Summary-PrediXcan(S-PrediXcan),6.34E-01,1.35E-05,TWASP000156
Major Depression Disorder,Depressive Disorder,Thyroid,CTD-2298J14.2,ENSG00000258636.1,lincRNA,FUSION,-5.68E+00,1.36E-08,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,ZNF197,ENSG00000186448.14,protein-coding,FUSION,-5.27E+00,1.38E-07,TWASP000158
Major Depression Disorder,Depressive Disorder,Substantia Nigra,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.06E+00,1.38E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cortex,PROX2,ENSG00000119608.12,protein-coding,Summary-PrediXcan(S-PrediXcan),-3.14E+00,1.40E-12,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,ZSCAN9,ENSG00000137185.11,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.95E+00,1.40E-20,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,ZSCAN12P1,ENSG00000219891.2,transcribed_unprocessed_pseudogene,FUSION,9.54E+00,1.40E-21,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,ZKSCAN8P1,ENSG00000226314,pseudogene,FUSION,-5.67E+00,1.41E-08,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,ZNF445,ENSG00000185219.16,protein-coding,FUSION,-6.42E+00,1.41E-10,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,FADS1,ENSG00000149485.18,protein-coding,FUSION,-4.82E+00,1.42E-06,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,CD276,ENSG00000103855.17,protein-coding,FUSION,-6.05E+00,1.42E-09,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.05E+00,1.42E-09,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,LIN28B,ENSG00000187772.7,protein-coding,FUSION,-6.05E+00,1.43E-09,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,ZKSCAN7,ENSG00000196345.12,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.37E+00,1.44E-11,TWASP000156
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,SLC30A9,ENSG00000014824.13,protein-coding,FUSION,-5.26E+00,1.45E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Caudate Basal Ganglia,CHADL,ENSG00000100399.15,protein-coding,Summary-PrediXcan(S-PrediXcan),4.92E+00,1.45E-09,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RP1-153G14.4,ENSG00000271755.1,lincRNA,FUSION,4.82E+00,1.46E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Pituitary,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.05E+00,1.46E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,AREL1,ENSG00000119682.16,protein-coding,Summary-PrediXcan(S-PrediXcan),-4.81E+00,1.46E-13,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,AC016629.3,ENSG00000269600.1,antisense,FUSION,4.82E+00,1.47E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Cerebellar Hemisphere,FADS1,ENSG00000149485.18,protein-coding,Summary-PrediXcan(S-PrediXcan),-4.08E+00,1.47E-06,TWASP000156
Major Depression Disorder,Depressive Disorder,Amygdala,SLC30A9,ENSG00000014824.13,protein-coding,FUSION,-5.25E+00,1.49E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Pituitary,FLOT1,ENSG00000137312.14,protein-coding,FUSION,-5.25E+00,1.49E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cerebellar Hemisphere,PCDHA3,ENSG00000255408.3,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.33E-01,1.50E-06,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Nucleus Accumbens,ZC3H7B,ENSG00000100403.11,protein-coding,Summary-PrediXcan(S-PrediXcan),5.25E+00,1.50E-09,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,CTTNBP2,ENSG00000077063.10,protein-coding,FUSION,-6.04E+00,1.51E-09,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,TMEM258,ENSG00000134825.15,protein-coding,FUSION,4.81E+00,1.52E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,OTOA,ENSG00000155719.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.26E+00,1.55E-08,TWASP000156
Major Depression Disorder,Depressive Disorder,Thyroid,HCP5,ENSG00000206337.10,sense_overlapping,FUSION,6.40E+00,1.55E-10,TWASP000135
Major Depression Disorder,Depressive Disorder,Whole Blood,ESR2,ENSG00000140009.18,protein-coding,FUSION,-5.66E+00,1.56E-08,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,HMGN4,ENSG00000182952.4,protein-coding,FUSION,-6.04E+00,1.57E-09,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,FADS2,ENSG00000134824.13,protein-coding,Summary-PrediXcan(S-PrediXcan),-6.90E-01,1.58E-07,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RP11-665J16.1,ENSG00000261543.1,antisense,FUSION,-4.80E+00,1.59E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RANGAP1,ENSG00000100401.19,protein-coding,FUSION,5.24E+00,1.61E-07,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,FEN1,ENSG00000168496.3,protein-coding,FUSION,4.80E+00,1.62E-06,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RP11-73M18.8,ENSG00000269958.1,sense_intronic,FUSION,5.24E+00,1.64E-07,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Substantia Nigra,ZSCAN16,ENSG00000196812.4,protein-coding,Summary-PrediXcan(S-PrediXcan),2.51E+00,1.64E-10,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,ZMAT2,ENSG00000146007.10,protein-coding,FUSION,-5.24E+00,1.65E-07,TWASP000158
Major Depression Disorder,Depressive Disorder,Anterior Cingulate Cortex,SF3B1,ENSG00000115524.15,protein-coding,Summary-PrediXcan(S-PrediXcan),5.23E+00,1.65E-07,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Frontal Cortex,ZDHHC5,ENSG00000156599.10,protein-coding,Summary-PrediXcan(S-PrediXcan),-1.20E+00,1.65E-10,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Cortex,CRB1,ENSG00000134376.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-7.37E+00,1.66E-13,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,ZNF501,ENSG00000186446.11,protein-coding,FUSION,-4.79E+00,1.68E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,LIN28B,ENSG00000187772.7,protein-coding,FUSION,-5.23E+00,1.68E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Whole Blood,CLP1,ENSG00000172409.5,protein-coding,Summary-PrediXcan(S-PrediXcan),2.73E+00,1.69E-09,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Cortex,TCAIM,ENSG00000179152.19,protein-coding,Summary-PrediXcan(S-PrediXcan),-2.25E+00,1.69E-09,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,TMEM106B,ENSG00000106460.18,protein-coding,FUSION,-7.67E+00,1.69E-14,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,B3GLCT,ENSG00000187676.7,protein-coding,FUSION,-4.79E+00,1.70E-06,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,SLC30A9,ENSG00000014824.13,protein-coding,FUSION,-5.23E+00,1.73E-07,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Cortex,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.02E+00,1.73E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain,ACTR1A,ENSG00000138107.12,protein-coding,FUSION,4.30E+00,1.75E-05,TWASP000083
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RP11-73M18.7,ENSG00000269940.1,sense_intronic,FUSION,6.02E+00,1.76E-09,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Hippocampus,ZSCAN9,ENSG00000137185.11,protein-coding,FUSION,-6.02E+00,1.77E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Hypothalamus,NEGR1,ENSG00000172260.14,protein-coding,Summary-PrediXcan(S-PrediXcan),1.02E+01,1.77E-25,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,ZC3H7B,ENSG00000100403.11,protein-coding,FUSION,5.63E+00,1.78E-08,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,PCDHA8,ENSG00000204962.5,protein-coding,FUSION,-5.22E+00,1.79E-07,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,NRXN2,ENSG00000110076.18,protein-coding,FUSION,-4.77E+00,1.81E-06,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,ZSCAN16,ENSG00000196812.4,protein-coding,FUSION,4.77E+00,1.82E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Frontal Cortex,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.72E+00,1.82E-11,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,BAG5,ENSG00000166170.9,protein-coding,FUSION,-4.77E+00,1.84E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Hypothalamus,SF3B1,ENSG00000115524.15,protein-coding,FUSION,5.21E+00,1.84E-07,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,CTC-329D1.3,ENSG00000253965.1,antisense,FUSION,5.63E+00,1.84E-08,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Cerebellar Hemisphere,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.01E+00,1.84E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Nucleus Accumbens,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.01E+00,1.85E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Caudate Basal Ganglia,RASGRP1,ENSG00000172575.11,protein-coding,Summary-PrediXcan(S-PrediXcan),4.93E-01,1.86E-06,TWASP000156
Major Depression Disorder,Depressive Disorder,Anterior Cingulate Cortex,SMIM4,ENSG00000168273.7,protein-coding,Summary-PrediXcan(S-PrediXcan),-3.89E+00,1.86E-06,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,H4C13,ENSG00000275126,protein-coding,FUSION,8.77E+00,1.86E-18,TWASP000158
Major Depression Disorder,Depressive Disorder,Putamen,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.37E+00,1.87E-10,TWASP000135
Major Depression Disorder,Depressive Disorder,Pituitary,OSBPL3,ENSG00000070882.12,protein-coding,FUSION,-5.62E+00,1.88E-08,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,TMEM33,ENSG00000109133.12,protein-coding,FUSION,4.76E+00,1.91E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Caudate Basal Ganglia,LINC02060,ENSG00000250156.3,lincRNA,Summary-PrediXcan(S-PrediXcan),6.00E+00,1.91E-09,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,6.71E+00,1.91E-11,TWASP000158
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,PCDHA2,ENSG00000204969.6,protein-coding,FUSION,-5.21E+00,1.93E-07,TWASP000158
Major Depression Disorder,Depressive Disorder,Whole Blood,NEGR1,ENSG00000172260.14,protein-coding,FUSION,8.76E+00,1.94E-18,TWASP000135
Major Depressive Disorder,Depressive Disorder,Brain,NEGR1,ENSG00000172260.14,protein-coding,Summary data-based Mendelian Randomization(SMR),-4.50E-02,1.96E-06,TWASP000103
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,BSN,ENSG00000164061.4,protein-coding,Summary-PrediXcan(S-PrediXcan),-1.12E+00,2.01E-10,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Prefrontal Cortex,PYGO2,ENSG00000163348.3,protein-coding,MOSTWAS,8.49E+00,2.02E-17,TWASP000131
Major Depression Disorder,Depressive Disorder,Blood,SYNE2,ENSG00000054654.16,protein-coding,FUSION,5.61E+00,2.03E-08,TWASP000135
Major Depression Disorder,Depressive Disorder,Whole Blood,CLP1,ENSG00000172409.5,protein-coding,FUSION,5.20E+00,2.04E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Prefrontal Cortex,ZNF582,ENSG00000018869.16,protein-coding,MOSTWAS,9.01E+00,2.04E-19,TWASP000131
Major Depression Disorder,Depressive Disorder,Brain Frontal Cortex,PCDHA5,ENSG00000204965.8,protein-coding,Summary-PrediXcan(S-PrediXcan),-6.50E-01,2.09E-06,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain,TMEM161B-DT,ENSG00000247828,ncRNA,FUSION,5.19E+00,2.10E-07,TWASP000083
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,NDUFA2,ENSG00000131495.8,protein-coding,FUSION,5.19E+00,2.10E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Nucleus Accumbens,SLC30A9,ENSG00000014824.13,protein-coding,FUSION,-5.60E+00,2.11E-08,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cerebellar Hemisphere,BTN3A2,ENSG00000186470.13,protein-coding,FUSION,5.19E+00,2.12E-07,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,PSMB4,ENSG00000159377.10,protein-coding,FUSION,-4.74E+00,2.13E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,LRFN5,ENSG00000165379.13,protein-coding,FUSION,5.60E+00,2.17E-08,TWASP000135
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,RP11-159N11.4,ENSG00000270179.1,sense_intronic,FUSION,-4.74E+00,2.18E-06,TWASP000158
Major Depression Disorder,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,FANCL,ENSG00000115392.11,protein-coding,FUSION,-5.18E+00,2.18E-07,TWASP000135
Major Depression Disorder,Depressive Disorder,Pituitary,ESR2,ENSG00000140009.18,protein-coding,FUSION,-5.98E+00,2.20E-09,TWASP000135
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,ZNF501,ENSG00000186446.11,protein-coding,Summary-PrediXcan(S-PrediXcan),-4.63E+00,2.21E-08,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Nucleus Accumbens,IHO1,ENSG00000173421,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.05E+00,2.23E-11,TWASP000156
Major Depression Disorder,Depressive Disorder,Brain Cerebellum,KLF7,ENSG00000118263.14,protein-coding,Summary-PrediXcan(S-PrediXcan),-3.75E+00,2.25E-10,TWASP000156
Depression,Depressive Disorder,Dorsal Lateral Prefrontal Cortex,XPNPEP3,ENSG00000196236.12,protein-coding,FUSION,5.18E+00,2.26E-07,TWASP000158
Major Depression Disorder,Depressive Disorder,Brain Hypothalamus,FURIN,ENSG00000140564.11,protein-coding,Summary-PrediXcan(S-PrediXcan),-3.41E+00,2.27E-07,TWASP000156
Major Depression Disorder,Depressive Disorder,Thyroid,RP5-1115A15.1,ENSG00000232912.5,antisense,FUSION,-5.18E+00,2.28E-07,TWASP000135
