geneid	gene_symbol	uniprotid	dx	query
5649	RELN	P78509	MDD	DisOntol_12294_1596
8811	GALR2	O43603	MDD	DisOntol_12294_1596
2915	GRM5	P41594	MDD	DisOntol_12294_1596
2917	GRM7	Q14831	MDD	DisOntol_12294_1596
4513	COX2	P00403	MDD	DisOntol_12294_1596
5444	PON1	P27169	MDD	DisOntol_12294_1596
6571	SLC18A2	Q05940	MDD	DisOntol_12294_1596
8864	PER2	O15055	MDD	DisOntol_12294_1596
5663	PSEN1	P49768	MDD	DisOntol_12294_1596
2562	GABRB3	P28472	MDD	DisOntol_12294_1596
2903	GRIN2A	Q12879	MDD	DisOntol_12294_1596
8863	PER3	P56645	MDD	DisOntol_12294_1596
2100	ESR2	Q92731	MDD	DisOntol_12294_1596
3064	HTT	P42858	MDD	DisOntol_12294_1596
7466	WFS1	O76024	MDD	DisOntol_12294_1596
23236	PLCB1	Q9NQ66	MDD	DisOntol_12294_1596
3697	ITIH1	P19827	MDD	DisOntol_12294_1596
55830	GLT8D1	Q68CQ7	MDD	DisOntol_12294_1596
1268	CNR1	P21554	MDD	DisOntol_12294_1596
1385	CREB1	P16220	MDD	DisOntol_12294_1596
1565	CYP2D6	P10635	MDD	DisOntol_12294_1596
2099	ESR1	P03372	MDD	DisOntol_12294_1596
2289	FKBP5	Q13451	MDD	DisOntol_12294_1596
2571	GAD1	Q99259	MDD	DisOntol_12294_1596
27185	DISC1	Q9NRI5	MDD	DisOntol_12294_1596
2904	GRIN2B	Q13224	MDD	DisOntol_12294_1596
3060	HCRT	O43612	MDD	DisOntol_12294_1596
3350	HTR1A	P08908	MDD	DisOntol_12294_1596
3358	HTR2C	P28335	MDD	DisOntol_12294_1596
3458	IFNG	P01579	MDD	DisOntol_12294_1596
3479	IGF1	P05019	MDD	DisOntol_12294_1596
3620	IDO1	P14902	MDD	DisOntol_12294_1596
367	AR	P10275	MDD	DisOntol_12294_1596
3776	KCNK2	O95069	MDD	DisOntol_12294_1596
3952	LEP	P41159	MDD	DisOntol_12294_1596
4306	NR3C2	P08235	MDD	DisOntol_12294_1596
4986	OPRK1	P41145	MDD	DisOntol_12294_1596
5021	OXTR	P30559	MDD	DisOntol_12294_1596
5027	P2RX7	Q99572	MDD	DisOntol_12294_1596
51083	GAL	P22466	MDD	DisOntol_12294_1596
5243	ABCB1	P08183	MDD	DisOntol_12294_1596
5443	POMC	P01189	MDD	DisOntol_12294_1596
5743	PTGS2	P35354	MDD	DisOntol_12294_1596
6863	TAC1	P20366	MDD	DisOntol_12294_1596
7124	TNF	P01375	MDD	DisOntol_12294_1596
7422	VEGFA	P15692	MDD	DisOntol_12294_1596
9048	ARTN	Q5T4W7	MDD	DisOntol_12294_1596
1268	CNR1	P21554	MDD	DisOntol_12294_1596
1385	CREB1	P16220	MDD	DisOntol_12294_1596
1394	CRHR1	P34998	MDD	DisOntol_12294_1596
1565	CYP2D6	P10635	MDD	DisOntol_12294_1596
1848	DUSP6	Q16828	MDD	DisOntol_12294_1596
2099	ESR1	P03372	MDD	DisOntol_12294_1596
2289	FKBP5	Q13451	MDD	DisOntol_12294_1596
2571	GAD1	Q99259	MDD	DisOntol_12294_1596
2896	GRN	P28799	MDD	DisOntol_12294_1596
2904	GRIN2B	Q13224	MDD	DisOntol_12294_1596
3060	HCRT	O43612	MDD	DisOntol_12294_1596
3350	HTR1A	P08908	MDD	DisOntol_12294_1596
3358	HTR2C	P28335	MDD	DisOntol_12294_1596
3479	IGF1	P05019	MDD	DisOntol_12294_1596
3553	IL1B	P01584	MDD	DisOntol_12294_1596
3606	IL18	Q14116	MDD	DisOntol_12294_1596
3620	IDO1	P14902	MDD	DisOntol_12294_1596
367	AR	P10275	MDD	DisOntol_12294_1596
3952	LEP	P41159	MDD	DisOntol_12294_1596
4306	NR3C2	P08235	MDD	DisOntol_12294_1596
478	ATP1A3	P13637	MDD	DisOntol_12294_1596
4915	NTRK2	Q16620	MDD	DisOntol_12294_1596
4986	OPRK1	P41145	MDD	DisOntol_12294_1596
5021	OXTR	P30559	MDD	DisOntol_12294_1596
5027	P2RX7	Q99572	MDD	DisOntol_12294_1596
51083	GAL	P22466	MDD	DisOntol_12294_1596
5243	ABCB1	P08183	MDD	DisOntol_12294_1596
5621	PRNP	F7VJQ1;P04156	MDD	DisOntol_12294_1596
6285	S100B	P04271	MDD	DisOntol_12294_1596
6530	SLC6A2	P23975	MDD	DisOntol_12294_1596
6863	TAC1	P20366	MDD	DisOntol_12294_1596
7124	TNF	P01375	MDD	DisOntol_12294_1596
7422	VEGFA	P15692	MDD	DisOntol_12294_1596
8822	FGF17	O60258	MDD	DisOntol_12294_1596
8910	SGCE	O43556	MDD	DisOntol_12294_1596
9048	ARTN	Q5T4W7	MDD	DisOntol_12294_1596
1401	CRP	P02741	MDD	DisOntol_12294_1596
3576	CXCL8	P10145	MDD	DisOntol_12294_1596
551	AVP	P01185	MDD	DisOntol_12294_1596
6281	S100A10	P60903	MDD	DisOntol_12294_1596
1385	CREB1	P16220	MDD	DisOntol_12294_1596
1392	CRH	P06850	MDD	DisOntol_12294_1596
1401	CRP	P02741	MDD	DisOntol_12294_1596
27185	DISC1	Q9NRI5	MDD	DisOntol_12294_1596
2908	NR3C1	P04150	MDD	DisOntol_12294_1596
2932	GSK3B	P49841	MDD	DisOntol_12294_1596
3350	HTR1A	P08908	MDD	DisOntol_12294_1596
3358	HTR2C	P28335	MDD	DisOntol_12294_1596
3553	IL1B	P01584	MDD	DisOntol_12294_1596
3569	IL6	P05231	MDD	DisOntol_12294_1596
3952	LEP	P41159	MDD	DisOntol_12294_1596
4684	NCAM1	P13591	MDD	DisOntol_12294_1596
5243	ABCB1	P08183	MDD	DisOntol_12294_1596
6530	SLC6A2	P23975	MDD	DisOntol_12294_1596
7124	TNF	P01375	MDD	DisOntol_12294_1596
7422	VEGFA	P15692	MDD	DisOntol_12294_1596
8842	PROM1	O43490	MDD	DisOntol_12294_1596
9771	RAPGEF5	Q92565	MDD	DisOntol_12294_1596
3552	IL1A	P01583	MDD	DisOntol_12294_1596
3606	IL18	Q14116	MDD	DisOntol_12294_1596
5972	REN	P00797	MDD	DisOntol_12294_1596
3552	IL1A	P01583	MDD	DisOntol_12294_1596
5972	REN	P00797	MDD	DisOntol_12294_1596
4306	NR3C2	P08235	MDD	DisOntol_12294_1596
6281	S100A10	P60903	MDD	DisOntol_12294_1596
6750	SST	P61278	MDD	DisOntol_12294_1596
2890	GRIA1	P42261	MDD	DisOntol_12294_1596
3576	CXCL8	P10145	MDD	DisOntol_12294_1596
1557	CYP2C19	P33261	MDD	DisOntol_12294_1596
2247	FGF2	P09038	MDD	DisOntol_12294_1596
2890	GRIA1	P42261	MDD	DisOntol_12294_1596
3576	CXCL8	P10145	MDD	DisOntol_12294_1596
4803	NGF	P01138	MDD	DisOntol_12294_1596
4842	NOS1	P29475	MDD	DisOntol_12294_1596
775	CACNA1C	Q13936	MDD	DisOntol_12294_1596
2784	GNB3	P16520	MDD	DisOntol_12294_1596
4852	NPY	P01303	MDD	DisOntol_12294_1596
4915	NTRK2	Q16620	MDD	DisOntol_12294_1596
1557	CYP2C19	P33261	MDD	DisOntol_12294_1596
27445	PCLO	Q9Y6V0	MDD	DisOntol_12294_1596
4513	COX2	P00403	MDD	DisOntol_12294_1596
775	CACNA1C	Q13936	MDD	DisOntol_12294_1596
80114	BICC1	Q9H694	MDD	DisOntol_12294_1596
213	ALB	P02768	MDD	DisOntol_12294_1596
27445	PCLO	Q9Y6V0	MDD	DisOntol_12294_1596
5141	PDE4A	P27815	MDD	DisOntol_12294_1596
80114	BICC1	Q9H694	MDD	DisOntol_12294_1596
2668	GDNF	P39905	MDD	DisOntol_12294_1596
2670	GFAP	P14136	MDD	DisOntol_12294_1596
3240	HP	P00738	MDD	DisOntol_12294_1596
3351	HTR1B	P28222	MDD	DisOntol_12294_1596
406	ARNTL	O00327	MDD	DisOntol_12294_1596
5141	PDE4A	P27815	MDD	DisOntol_12294_1596
6571	SLC18A2	Q05940	MDD	DisOntol_12294_1596
7132	TNFRSF1A	P19438	MDD	DisOntol_12294_1596
207	AKT1	P31749	MDD	DisOntol_12294_1596
2551	GABPA	Q06546	MDD	DisOntol_12294_1596
2670	GFAP	P14136	MDD	DisOntol_12294_1596
2784	GNB3	P16520	MDD	DisOntol_12294_1596
3240	HP	P00738	MDD	DisOntol_12294_1596
3351	HTR1B	P28222	MDD	DisOntol_12294_1596
406	ARNTL	O00327	MDD	DisOntol_12294_1596
4843	NOS2	P35228	MDD	DisOntol_12294_1596
7132	TNFRSF1A	P19438	MDD	DisOntol_12294_1596
1557	CYP2C19	P33261	MDD	DisOntol_12294_1596
2288	FKBP4	Q02790	MDD	DisOntol_12294_1596
3351	HTR1B	P28222	MDD	DisOntol_12294_1596
3458	IFNG	P01579	MDD	DisOntol_12294_1596
55117	SLC6A15	Q9H2J7	MDD	DisOntol_12294_1596
1269	CNR2	P34972	MDD	DisOntol_12294_1596
207	AKT1	P31749	MDD	DisOntol_12294_1596
3359	HTR3A	P46098	MDD	DisOntol_12294_1596
4129	MAOB	P27338	MDD	DisOntol_12294_1596
4843	NOS2	P35228	MDD	DisOntol_12294_1596
4846	NOS3	P29474	MDD	DisOntol_12294_1596
5142	PDE4B	Q07343	MDD	DisOntol_12294_1596
5595	MAPK3	P27361	MDD	DisOntol_12294_1596
672	BRCA1	P38398	MDD	DisOntol_12294_1596
79068	FTO	Q9C0B1	MDD	DisOntol_12294_1596
8864	PER2	O15055	MDD	DisOntol_12294_1596
3359	HTR3A	P46098	MDD	DisOntol_12294_1596
4129	MAOB	P27338	MDD	DisOntol_12294_1596
4846	NOS3	P29474	MDD	DisOntol_12294_1596
5142	PDE4B	Q07343	MDD	DisOntol_12294_1596
5595	MAPK3	P27361	MDD	DisOntol_12294_1596
672	BRCA1	P38398	MDD	DisOntol_12294_1596
79068	FTO	Q9C0B1	MDD	DisOntol_12294_1596
3350	HTR1A	P08908	MDD	DisOntol_12294_1596
1268	CNR1	P21554	MDD	DisOntol_12294_1596
1523	CUX1	P39880;Q13948	MDD	DisOntol_12294_1596
3240	HP	P00738	MDD	DisOntol_12294_1596
4129	MAOB	P27338	MDD	DisOntol_12294_1596
5054	SERPINE1	P05121	MDD	DisOntol_12294_1596
1137	CHRNA4	P43681	MDD	DisOntol_12294_1596
2784	GNB3	P16520	MDD	DisOntol_12294_1596
7133	TNFRSF1B	P20333	MDD	DisOntol_12294_1596
7200	TRH	P20396	MDD	DisOntol_12294_1596
7425	VGF	O15240	MDD	DisOntol_12294_1596
9456	HOMER1	Q86YM7	MDD	DisOntol_12294_1596
9607	CARTPT	Q16568	MDD	DisOntol_12294_1596
1129	CHRM2	P08172	MDD	DisOntol_12294_1596
1137	CHRNA4	P43681	MDD	DisOntol_12294_1596
1812	DRD1	P21728	MDD	DisOntol_12294_1596
6095	RORA	P35398	MDD	DisOntol_12294_1596
6774	STAT3	P40763	MDD	DisOntol_12294_1596
7040	TGFB1	P01137	MDD	DisOntol_12294_1596
7133	TNFRSF1B	P20333	MDD	DisOntol_12294_1596
7425	VGF	O15240	MDD	DisOntol_12294_1596
9456	HOMER1	Q86YM7	MDD	DisOntol_12294_1596
9607	CARTPT	Q16568	MDD	DisOntol_12294_1596
1137	CHRNA4	P43681	MDD	DisOntol_12294_1596
10611	PDLIM5	Q96HC4	MDD	DisOntol_12294_1596
1742	DLG4	P78352	MDD	DisOntol_12294_1596
267012	DAOA	P59103	MDD	DisOntol_12294_1596
51083	GAL	P22466	MDD	DisOntol_12294_1596
6285	S100B	P04271	MDD	DisOntol_12294_1596
64077	LHPP	Q9H008	MDD	DisOntol_12294_1596
1808	DPYSL2	Q16555	MDD	DisOntol_12294_1596
183	AGT	P01019	MDD	DisOntol_12294_1596
1843	DUSP1	P28562	MDD	DisOntol_12294_1596
2260	FGFR1	P11362	MDD	DisOntol_12294_1596
2562	GABRB3	P28472	MDD	DisOntol_12294_1596
2596	GAP43	P17677	MDD	DisOntol_12294_1596
2739	GLO1	Q04760	MDD	DisOntol_12294_1596
2847	MCHR1	Q99705	MDD	DisOntol_12294_1596
2903	GRIN2A	Q12879	MDD	DisOntol_12294_1596
2917	GRM7	Q14831	MDD	DisOntol_12294_1596
3066	HDAC2	Q92769	MDD	DisOntol_12294_1596
3084	NRG1	Q02297	MDD	DisOntol_12294_1596
3290	HSD11B1	P28845	MDD	DisOntol_12294_1596
3360	HTR4	Q13639	MDD	DisOntol_12294_1596
3363	HTR7	P34969	MDD	DisOntol_12294_1596
351	APP	P05067	MDD	DisOntol_12294_1596
353	APRT	P07741	MDD	DisOntol_12294_1596
4287	ATXN3	P54252	MDD	DisOntol_12294_1596
4684	NCAM1	P13591	MDD	DisOntol_12294_1596
4988	OPRM1	P35372	MDD	DisOntol_12294_1596
5173	PDYN	P01213	MDD	DisOntol_12294_1596
5649	RELN	P78509	MDD	DisOntol_12294_1596
5663	PSEN1	P49768	MDD	DisOntol_12294_1596
6095	RORA	P35398	MDD	DisOntol_12294_1596
6506	SLC1A2	P43004	MDD	DisOntol_12294_1596
8863	PER3	P56645	MDD	DisOntol_12294_1596
113	ADCY7	P51828	MDD	DisOntol_12294_1596
135	ADORA2A	P29274	MDD	DisOntol_12294_1596
1407	CRY1	Q16526	MDD	DisOntol_12294_1596
1408	CRY2	Q49AN0	MDD	DisOntol_12294_1596
150	ADRA2A	P08913	MDD	DisOntol_12294_1596
1808	DPYSL2	Q16555	MDD	DisOntol_12294_1596
183	AGT	P01019	MDD	DisOntol_12294_1596
1843	DUSP1	P28562	MDD	DisOntol_12294_1596
2596	GAP43	P17677	MDD	DisOntol_12294_1596
2847	MCHR1	Q99705	MDD	DisOntol_12294_1596
2917	GRM7	Q14831	MDD	DisOntol_12294_1596
3084	NRG1	Q02297	MDD	DisOntol_12294_1596
3290	HSD11B1	P28845	MDD	DisOntol_12294_1596
3360	HTR4	Q13639	MDD	DisOntol_12294_1596
351	APP	P05067	MDD	DisOntol_12294_1596
353	APRT	P07741	MDD	DisOntol_12294_1596
4287	ATXN3	P54252	MDD	DisOntol_12294_1596
4397	MS		MDD	DisOntol_12294_1596
4684	NCAM1	P13591	MDD	DisOntol_12294_1596
4988	OPRM1	P35372	MDD	DisOntol_12294_1596
5173	PDYN	P01213	MDD	DisOntol_12294_1596
596	BCL2	P10415	MDD	DisOntol_12294_1596
6303	SAT1	P21673	MDD	DisOntol_12294_1596
6506	SLC1A2	P43004	MDD	DisOntol_12294_1596
7200	TRH	P20396	MDD	DisOntol_12294_1596
796	CALCA	P01258;P06881	MDD	DisOntol_12294_1596
140947	DCANP1	Q8TF63	MDD	DisOntol_12294_1596
1559	CYP2C9	P11712	MDD	DisOntol_12294_1596
1956	EGFR	P00533	MDD	DisOntol_12294_1596
2260	FGFR1	P11362	MDD	DisOntol_12294_1596
2332	FMR1	Q06787	MDD	DisOntol_12294_1596
2475	MTOR	P42345	MDD	DisOntol_12294_1596
2572	GAD2	Q05329	MDD	DisOntol_12294_1596
2670	GFAP	P14136	MDD	DisOntol_12294_1596
2900	GRIK4	Q16099	MDD	DisOntol_12294_1596
3439	IFNA1	P01562	MDD	DisOntol_12294_1596
5021	OXTR	P30559	MDD	DisOntol_12294_1596
51573	GDE1	Q9NZC3	MDD	DisOntol_12294_1596
551	AVP	P01185	MDD	DisOntol_12294_1596
5743	PTGS2	P35354	MDD	DisOntol_12294_1596
6648	SOD2	P04179	MDD	DisOntol_12294_1596
6999	TDO2	P48775	MDD	DisOntol_12294_1596
7054	TH	P07101	MDD	DisOntol_12294_1596
8564	KMO	O15229	MDD	DisOntol_12294_1596
9456	HOMER1	Q86YM7	MDD	DisOntol_12294_1596
1029	CDKN2A	P42771;Q8N726	MDD	DisOntol_12294_1596
1103	CHAT	P28329	MDD	DisOntol_12294_1596
111	ADCY5	O95622	MDD	DisOntol_12294_1596
113	ADCY7	P51828	MDD	DisOntol_12294_1596
1270	CNTF	P26441	MDD	DisOntol_12294_1596
1408	CRY2	Q49AN0	MDD	DisOntol_12294_1596
255239	ANKK1	Q8NFD2	MDD	DisOntol_12294_1596
267012	DAOA	P59103	MDD	DisOntol_12294_1596
2688	GH1	P01241	MDD	DisOntol_12294_1596
2876	GPX1	P07203	MDD	DisOntol_12294_1596
2892	GRIA3	P42263	MDD	DisOntol_12294_1596
2944	GSTM1	P09488	MDD	DisOntol_12294_1596
2973	GTS		MDD	DisOntol_12294_1596
3064	HTT	P42858	MDD	DisOntol_12294_1596
3925	STMN1	P16949	MDD	DisOntol_12294_1596
4548	MTR	Q99707	MDD	DisOntol_12294_1596
5020	OXT	P01178	MDD	DisOntol_12294_1596
5153	PDE1B	Q01064	MDD	DisOntol_12294_1596
5367	PMCH	P20382	MDD	DisOntol_12294_1596
5879	RAC1	P63000	MDD	DisOntol_12294_1596
594857	NPS	P0C0P6	MDD	DisOntol_12294_1596
6570	SLC18A1	P54219	MDD	DisOntol_12294_1596
6647	SOD1	P00441	MDD	DisOntol_12294_1596
6869	TACR1	P25103	MDD	DisOntol_12294_1596
7276	TTR	P02766	MDD	DisOntol_12294_1596
7349	UCN	P55089	MDD	DisOntol_12294_1596
7466	WFS1	O76024	MDD	DisOntol_12294_1596
815	CAMK2A	Q9UQM7	MDD	DisOntol_12294_1596
8914	TIMELESS	Q9UNS1	MDD	DisOntol_12294_1596
9378	NRXN1	P58400;Q9ULB1	MDD	DisOntol_12294_1596
9734	HDAC9	Q9UKV0	MDD	DisOntol_12294_1596
9968	MED12	Q93074	MDD	DisOntol_12294_1596
1029	CDKN2A	P42771;Q8N726	MDD	DisOntol_12294_1596
1103	CHAT	P28329	MDD	DisOntol_12294_1596
111	ADCY5	O95622	MDD	DisOntol_12294_1596
1270	CNTF	P26441	MDD	DisOntol_12294_1596
1393	CRHBP	P24387	MDD	DisOntol_12294_1596
1395	CRHR2	Q13324	MDD	DisOntol_12294_1596
140947	DCANP1	Q8TF63	MDD	DisOntol_12294_1596
255239	ANKK1	Q8NFD2	MDD	DisOntol_12294_1596
267012	DAOA	P59103	MDD	DisOntol_12294_1596
2688	GH1	P01241	MDD	DisOntol_12294_1596
2876	GPX1	P07203	MDD	DisOntol_12294_1596
2892	GRIA3	P42263	MDD	DisOntol_12294_1596
2944	GSTM1	P09488	MDD	DisOntol_12294_1596
2973	GTS		MDD	DisOntol_12294_1596
3440	IFNA2	P01563	MDD	DisOntol_12294_1596
348980	HCN1	O60741	MDD	DisOntol_12294_1596
3925	STMN1	P16949	MDD	DisOntol_12294_1596
4548	MTR	Q99707	MDD	DisOntol_12294_1596
4804	NGFR	P08138	MDD	DisOntol_12294_1596
5153	PDE1B	Q01064	MDD	DisOntol_12294_1596
5367	PMCH	P20382	MDD	DisOntol_12294_1596
5879	RAC1	P63000	MDD	DisOntol_12294_1596
594857	NPS	P0C0P6	MDD	DisOntol_12294_1596
6570	SLC18A1	P54219	MDD	DisOntol_12294_1596
6648	SOD2	P04179	MDD	DisOntol_12294_1596
6869	TACR1	P25103	MDD	DisOntol_12294_1596
7054	TH	P07101	MDD	DisOntol_12294_1596
7276	TTR	P02766	MDD	DisOntol_12294_1596
7349	UCN	P55089	MDD	DisOntol_12294_1596
815	CAMK2A	Q9UQM7	MDD	DisOntol_12294_1596
8811	GALR2	O43603	MDD	DisOntol_12294_1596
8914	TIMELESS	Q9UNS1	MDD	DisOntol_12294_1596
9378	NRXN1	P58400;Q9ULB1	MDD	DisOntol_12294_1596
9572	NR1D1	P20393	MDD	DisOntol_12294_1596
9734	HDAC9	Q9UKV0	MDD	DisOntol_12294_1596
9968	MED12	Q93074	MDD	DisOntol_12294_1596
4615	MYD88	Q99836	MDD	DisOntol_12294_1596
10014	HDAC5	Q9UQL6	MDD	DisOntol_12294_1596
100302259	MIR1202		MDD	DisOntol_12294_1596
100303453	TSNAX-DISC1		MDD	DisOntol_12294_1596
113	ADCY7	P51828	MDD	DisOntol_12294_1596
1393	CRHBP	P24387	MDD	DisOntol_12294_1596
1741	DLG3	Q92796	MDD	DisOntol_12294_1596
1950	EGF	P01133	MDD	DisOntol_12294_1596
2028	ENPEP	Q07075	MDD	DisOntol_12294_1596
23040	MYT1L	Q9UL68	MDD	DisOntol_12294_1596
2697	GJA1	P17302	MDD	DisOntol_12294_1596
27136	MORC1	Q86VD1	MDD	DisOntol_12294_1596
2891	GRIA2	P42262	MDD	DisOntol_12294_1596
30845	EHD3	Q9NZN3	MDD	DisOntol_12294_1596
317	APAF1	O14727	MDD	DisOntol_12294_1596
3303	HSPA1A	P0DMV8;P0DMV9	MDD	DisOntol_12294_1596
3359	HTR3A	P46098	MDD	DisOntol_12294_1596
3558	IL2	P60568	MDD	DisOntol_12294_1596
3627	CXCL10	P02778	MDD	DisOntol_12294_1596
4908	NTF3	P20783	MDD	DisOntol_12294_1596
5074	PAWR	Q96IZ0	MDD	DisOntol_12294_1596
5116	PCNT	O95613	MDD	DisOntol_12294_1596
5173	PDYN	P01213	MDD	DisOntol_12294_1596
54541	DDIT4	Q9NX09	MDD	DisOntol_12294_1596
5801	PTPRR	Q15256	MDD	DisOntol_12294_1596
5978	REST	Q13127	MDD	DisOntol_12294_1596
60675	PROK2	Q9HC23	MDD	DisOntol_12294_1596
6303	SAT1	P21673	MDD	DisOntol_12294_1596
6446	SGK1	O00141	MDD	DisOntol_12294_1596
6863	TAC1	P20366	MDD	DisOntol_12294_1596
7008	TEF	Q10587	MDD	DisOntol_12294_1596
9177	HTR3B	O95264	MDD	DisOntol_12294_1596
9641	IKBKE	Q14164	MDD	DisOntol_12294_1596
10013	HDAC6	Q9UBN7	MDD	DisOntol_12294_1596
1012	CDH13	P55290	MDD	DisOntol_12294_1596
10522	DEAF1	O75398	MDD	DisOntol_12294_1596
10814	CPLX2	Q6PUV4	MDD	DisOntol_12294_1596
10815	CPLX1	O14810	MDD	DisOntol_12294_1596
114	ADCY8	P40145	MDD	DisOntol_12294_1596
116	ADCYAP1	P18509	MDD	DisOntol_12294_1596
1240	CMKLR1	Q99788	MDD	DisOntol_12294_1596
1407	CRY1	Q16526	MDD	DisOntol_12294_1596
153	ADRB1	P08588	MDD	DisOntol_12294_1596
1742	DLG4	P78352	MDD	DisOntol_12294_1596
1803	DPP4	P27487	MDD	DisOntol_12294_1596
1960	EGR3	Q06889	MDD	DisOntol_12294_1596
2065	ERBB3	P21860	MDD	DisOntol_12294_1596
23286	WWC1	Q8IX03	MDD	DisOntol_12294_1596
2346	FOLH1	Q04609	MDD	DisOntol_12294_1596
2559	GABRA6	Q16445	MDD	DisOntol_12294_1596
2752	GLUL	P15104	MDD	DisOntol_12294_1596
282706	DAOA-AS1		MDD	DisOntol_12294_1596
2899	GRIK3	Q13003	MDD	DisOntol_12294_1596
2996	GYPE	P15421	MDD	DisOntol_12294_1596
3091	HIF1A	Q16665	MDD	DisOntol_12294_1596
348980	HCN1	O60741	MDD	DisOntol_12294_1596
361	AQP4	P55087	MDD	DisOntol_12294_1596
3763	KCNJ6	P48051	MDD	DisOntol_12294_1596
387129	NPSR1	Q6W5P4	MDD	DisOntol_12294_1596
3939	LDHA	P00338	MDD	DisOntol_12294_1596
4048	LTA4H	P09960	MDD	DisOntol_12294_1596
4074	M6PR	P20645	MDD	DisOntol_12294_1596
4157	MC1R	Q01726	MDD	DisOntol_12294_1596
4160	MC4R	P32245	MDD	DisOntol_12294_1596
438	ASMT	P46597	MDD	DisOntol_12294_1596
467	ATF3	P18847	MDD	DisOntol_12294_1596
4804	NGFR	P08138	MDD	DisOntol_12294_1596
4922	NTS	P30990	MDD	DisOntol_12294_1596
4939	OAS2	P29728	MDD	DisOntol_12294_1596
51555	PEX5L	Q8IYB4	MDD	DisOntol_12294_1596
5209	PFKFB3	Q16875	MDD	DisOntol_12294_1596
5368	PNOC	Q13519	MDD	DisOntol_12294_1596
53919	SLCO1C1	Q9NYB5	MDD	DisOntol_12294_1596
55315	SLC29A3	Q9BZD2	MDD	DisOntol_12294_1596
5599	MAPK8	P45983	MDD	DisOntol_12294_1596
5697	PYY	P10082	MDD	DisOntol_12294_1596
63891	RNF123	Q5XPI4	MDD	DisOntol_12294_1596
6648	SOD2	P04179	MDD	DisOntol_12294_1596
6853	SYN1	P17600	MDD	DisOntol_12294_1596
7088	TLE1	Q04724	MDD	DisOntol_12294_1596
805	CALM2	P0DP23;P0DP24;P0DP25	MDD	DisOntol_12294_1596
9177	HTR3B	O95264	MDD	DisOntol_12294_1596
9211	LGI1	O95970	MDD	DisOntol_12294_1596
9759	HDAC4	P56524	MDD	DisOntol_12294_1596
10013	HDAC6	Q9UBN7	MDD	DisOntol_12294_1596
1012	CDH13	P55290	MDD	DisOntol_12294_1596
10522	DEAF1	O75398	MDD	DisOntol_12294_1596
10814	CPLX2	Q6PUV4	MDD	DisOntol_12294_1596
10815	CPLX1	O14810	MDD	DisOntol_12294_1596
114	ADCY8	P40145	MDD	DisOntol_12294_1596
