gene_id	chr
ENSG00000005884	chr17
ENSG00000005889	chrX
ENSG00000005893	chrX
ENSG00000005961	chr17
ENSG00000005981	chr7
ENSG00000006007	chr16
ENSG00000006015	chr19
ENSG00000006016	chr19
ENSG00000006025	chr17
ENSG00000006042	chr17
ENSG00000006047	chr17
ENSG00000006062	chr17
ENSG00000006071	chr11
ENSG00000006116	chr16
ENSG00000006118	chr11
ENSG00000006125	chr17
ENSG00000006128	chr7
ENSG00000006194	chr16
ENSG00000006210	chr16
ENSG00000006282	chr17
ENSG00000006283	chr17
ENSG00000006327	chr16
ENSG00000006377	chr7
ENSG00000006432	chr14
ENSG00000006451	chr7
ENSG00000006453	chr7
ENSG00000006459	chr7
ENSG00000006468	chr7
ENSG00000006530	chr7
ENSG00000006534	chr11
ENSG00000006555	chr1
ENSG00000006576	chr7
ENSG00000006606	chr7
ENSG00000006607	chr2
ENSG00000006611	chr11
ENSG00000006625	chr7
ENSG00000006634	chr7
ENSG00000006638	chr19
ENSG00000006652	chr7
ENSG00000006659	chr19
ENSG00000006695	chr17
ENSG00000006704	chr7
ENSG00000006712	chr19
ENSG00000006715	chr7
ENSG00000006740	chr17
ENSG00000006744	chr17
ENSG00000006747	chr7
ENSG00000006756	chrX
ENSG00000006757	chrX
ENSG00000006788	chr17
ENSG00000006831	chr12
ENSG00000006837	chr5
ENSG00000007001	chr2
ENSG00000007038	chr16
ENSG00000007047	chr19
ENSG00000007062	chr4
ENSG00000007080	chr19
ENSG00000007129	chr19
ENSG00000007168	chr17
ENSG00000007171	chr17
ENSG00000007174	chr17
ENSG00000007202	chr17
ENSG00000007216	chr17
ENSG00000007237	chr17
ENSG00000007255	chr19
ENSG00000007264	chr19
ENSG00000007312	chr17
ENSG00000007314	chr17
ENSG00000007341	chr1
ENSG00000007350	chrX
ENSG00000007372	chr11
ENSG00000007376	chr16
ENSG00000007384	chr16
ENSG00000007392	chr16
ENSG00000007402	chr3
ENSG00000007516	chr16
ENSG00000007520	chr16
ENSG00000007541	chr16
ENSG00000007545	chr16
ENSG00000007866	chr6
ENSG00000007908	chr1
ENSG00000007923	chr1
ENSG00000007933	chr1
ENSG00000007944	chr6
ENSG00000007952	chrX
ENSG00000007968	chr1
ENSG00000008018	chr6
ENSG00000008056	chrX
ENSG00000008083	chr6
ENSG00000008086	chrX
ENSG00000008118	chr1
ENSG00000008128	chr1
ENSG00000008130	chr1
ENSG00000008196	chr6
ENSG00000008197	chr6
ENSG00000008226	chr3
ENSG00000008256	chr7
ENSG00000008277	chr7
ENSG00000008282	chr7
ENSG00000008283	chr17
ENSG00000008294	chr17
ENSG00000008300	chr3
ENSG00000008311	chr7
ENSG00000008323	chr12
ENSG00000008324	chr3
ENSG00000008382	chr19
ENSG00000008394	chr12
ENSG00000008405	chr12
ENSG00000008438	chr19
ENSG00000008441	chr19
ENSG00000008513	chr8
ENSG00000008516	chr16
ENSG00000008517	chr16
ENSG00000008710	chr16
ENSG00000008735	chr22
ENSG00000008838	chr17
ENSG00000008853	chr8
ENSG00000008869	chr2
ENSG00000008952	chr3
ENSG00000008988	chr8
ENSG00000009307	chr1
ENSG00000009335	chr7
ENSG00000009413	chr6
ENSG00000009694	chrX
ENSG00000009709	chr1
ENSG00000009724	chr1
ENSG00000009765	chr6
ENSG00000009780	chr1
ENSG00000009790	chr1
ENSG00000009830	chr14
ENSG00000009844	chr6
ENSG00000009950	chr7
ENSG00000009954	chr7
ENSG00000010017	chr6
ENSG00000010030	chr6
ENSG00000010072	chr1
ENSG00000010165	chr1
ENSG00000010219	chr12
ENSG00000010244	chr17
ENSG00000010256	chr3
ENSG00000010270	chr7
ENSG00000010278	chr12
ENSG00000010282	chr3
ENSG00000010292	chr12
ENSG00000010295	chr12
ENSG00000010310	chr19
ENSG00000010318	chr3
ENSG00000010319	chr3
ENSG00000010322	chr3
ENSG00000010327	chr3
ENSG00000010361	chr19
ENSG00000010379	chr12
ENSG00000010404	chrX
ENSG00000010438	chr9
ENSG00000010539	chr16
ENSG00000010610	chr12
ENSG00000010626	chr12
ENSG00000010671	chrX
ENSG00000010704	chr6
ENSG00000010803	chr1
ENSG00000010810	chr6
ENSG00000010818	chr6
ENSG00000010932	chr1
ENSG00000011007	chr1
ENSG00000011009	chr1
ENSG00000011021	chr1
ENSG00000011028	chr17
ENSG00000011083	chr5
ENSG00000011105	chr12
ENSG00000011114	chr14
ENSG00000011132	chr19
ENSG00000011143	chr17
ENSG00000011198	chr3
ENSG00000011201	chrX
ENSG00000011243	chr19
ENSG00000011258	chr17
ENSG00000011260	chr17
ENSG00000011275	chr7
ENSG00000011295	chr17
ENSG00000011304	chr19
ENSG00000011332	chr19
ENSG00000011347	chr11
ENSG00000011376	chr3
ENSG00000011405	chr11
ENSG00000011422	chr19
ENSG00000011426	chr7
ENSG00000011451	chr19
ENSG00000011454	chr9
ENSG00000011465	chr12
ENSG00000011478	chr19
ENSG00000011485	chr19
ENSG00000011523	chr2
ENSG00000011566	chr2
ENSG00000011590	chr19
ENSG00000011600	chr19
ENSG00000011638	chr16
ENSG00000011677	chrX
ENSG00000012048	chr17
ENSG00000012061	chr19
ENSG00000012124	chr19
ENSG00000012171	chr3
ENSG00000012174	chrX
ENSG00000012211	chrX
ENSG00000012223	chr3
ENSG00000012232	chr8
ENSG00000012504	chr12
ENSG00000012660	chr6
ENSG00000012779	chr10
ENSG00000012817	chrY
ENSG00000012822	chr12
ENSG00000012963	chr14
ENSG00000012983	chr14
ENSG00000013016	chr2
ENSG00000013275	chr19
ENSG00000013288	chr4
ENSG00000013293	chr3
ENSG00000013297	chr3
ENSG00000013306	chr17
ENSG00000013364	chr16
ENSG00000013374	chr7
ENSG00000013375	chr6
ENSG00000013392	chr6
ENSG00000013441	chr2
ENSG00000013503	chr12
ENSG00000013523	chr14
ENSG00000013561	chr5
ENSG00000013563	chrX
ENSG00000013573	chr12
ENSG00000013583	chr12
ENSG00000013588	chr12
ENSG00000013619	chrX
ENSG00000013725	chr11
ENSG00000013810	chr4
ENSG00000014123	chr6
ENSG00000014138	chr11
ENSG00000014164	chr8
ENSG00000014216	chr11
ENSG00000014257	chr3
ENSG00000014641	chr2
ENSG00000014824	chr4
ENSG00000014914	chr1
ENSG00000014919	chr10
ENSG00000015133	chr14
ENSG00000015153	chr12
ENSG00000015171	chr10
ENSG00000015285	chrX
ENSG00000015413	chr16
ENSG00000015475	chr22
ENSG00000015479	chr5
ENSG00000015520	chr7
ENSG00000015532	chr17
ENSG00000015568	chr2
ENSG00000015592	chr8
ENSG00000015676	chr7
ENSG00000016082	chr5
ENSG00000016391	chr3
ENSG00000016402	chr6
ENSG00000016490	chr1
ENSG00000016602	chr1
ENSG00000016864	chr3
ENSG00000017260	chr3
ENSG00000017427	chr12
ENSG00000017483	chrX
ENSG00000017797	chr18
ENSG00000018189	chr4
ENSG00000018236	chr12
ENSG00000018280	chr2
ENSG00000018408	chr3
ENSG00000018510	chr2
ENSG00000018610	chrX
ENSG00000018625	chr1
ENSG00000018699	chr2
ENSG00000018869	chr19
ENSG00000019102	chr11
ENSG00000019144	chr11
ENSG00000019169	chr2
ENSG00000019186	chr20
ENSG00000019485	chr11
ENSG00000019505	chr11
ENSG00000019549	chr8
ENSG00000019582	chr5
ENSG00000019991	chr7
ENSG00000019995	chr10
ENSG00000020129	chr1
ENSG00000020181	chr8
ENSG00000020256	chr20
ENSG00000020426	chr14
ENSG00000020577	chr14
ENSG00000020633	chr1
ENSG00000020922	chr11
ENSG00000021300	chr11
ENSG00000021355	chr6
ENSG00000021461	chr7
ENSG00000021488	chr19
ENSG00000021574	chr2
ENSG00000021645	chr14
ENSG00000021762	chr11
ENSG00000021776	chr15
ENSG00000021826	chr2
ENSG00000021852	chr1
ENSG00000022267	chrX
ENSG00000022277	chr20
ENSG00000022355	chr5
ENSG00000022556	chr19
ENSG00000022567	chr8
ENSG00000022840	chr12
ENSG00000022976	chr14
ENSG00000023041	chr10
ENSG00000023171	chr11
ENSG00000023191	chr11
ENSG00000023228	chr2
ENSG00000023287	chr8
ENSG00000023318	chr9
ENSG00000023330	chr3
ENSG00000023445	chr11
ENSG00000023516	chr13
ENSG00000023572	chr1
ENSG00000023608	chr14
ENSG00000023697	chr12
ENSG00000023734	chr12
ENSG00000023839	chr10
ENSG00000023892	chr6
ENSG00000023902	chr1
ENSG00000023909	chr1
ENSG00000024048	chr6
ENSG00000024422	chr19
ENSG00000024526	chr1
ENSG00000024862	chr6
ENSG00000025039	chr6
ENSG00000025156	chr6
ENSG00000025293	chr20
ENSG00000025423	chr12
ENSG00000025434	chr11
ENSG00000025708	chr22
ENSG00000025770	chr22
ENSG00000025772	chr20
ENSG00000025796	chr6
ENSG00000025800	chr1
ENSG00000026025	chr10
ENSG00000026103	chr10
ENSG00000026297	chr6
ENSG00000026508	chr11
ENSG00000026559	chr20
ENSG00000026652	chr6
ENSG00000026751	chr1
ENSG00000026950	chr6
ENSG00000027001	chr13
ENSG00000027075	chr14
ENSG00000027644	chr1
ENSG00000027697	chr6
ENSG00000027847	chr5
ENSG00000027869	chr1
ENSG00000028116	chr2
ENSG00000028137	chr1
ENSG00000028203	chr12
ENSG00000028277	chr19
ENSG00000028310	chr5
ENSG00000028528	chr15
ENSG00000028839	chr6
ENSG00000029153	chr12
ENSG00000029363	chr6
ENSG00000029364	chr14
ENSG00000029534	chr8
ENSG00000029559	chr4
ENSG00000029639	chr6
ENSG00000029725	chr17
ENSG00000029993	chrX
ENSG00000030066	chr11
ENSG00000030110	chr6
ENSG00000030304	chr9
ENSG00000030419	chr2
ENSG00000030582	chr17
ENSG00000031003	chr5
ENSG00000031081	chr3
ENSG00000031691	chr6
ENSG00000031698	chr1
ENSG00000031823	chr19
ENSG00000032219	chr14
ENSG00000032389	chr2
ENSG00000032444	chr19
ENSG00000032742	chr13
ENSG00000033011	chr16
ENSG00000033030	chr12
ENSG00000033050	chr7
ENSG00000033100	chr7
ENSG00000033122	chr1
ENSG00000033170	chr14
ENSG00000033178	chr4
ENSG00000033327	chr11
ENSG00000033627	chr17
ENSG00000033800	chr15
ENSG00000033867	chr3
ENSG00000034053	chr15
ENSG00000034152	chr17
ENSG00000034239	chr8
ENSG00000034510	chr2
ENSG00000034533	chr3
ENSG00000034677	chr8
ENSG00000034693	chr6
ENSG00000034713	chr16
ENSG00000034971	chr1
ENSG00000035115	chr2
ENSG00000035141	chr2
ENSG00000035403	chr10
ENSG00000035499	chr5
ENSG00000035664	chr15
ENSG00000035681	chr8
ENSG00000035687	chr1
ENSG00000035720	chr4
ENSG00000035862	chr17
ENSG00000035928	chr4
ENSG00000036054	chr3
ENSG00000036257	chr2
ENSG00000036448	chr8
ENSG00000036473	chrX
ENSG00000036530	chr14
ENSG00000036549	chr1
ENSG00000036565	chr8
ENSG00000036672	chr11
ENSG00000036828	chr3
ENSG00000037042	chr17
ENSG00000037241	chr5
ENSG00000037280	chr5
ENSG00000037474	chr5
ENSG00000037637	chr1
ENSG00000037749	chr5
ENSG00000037757	chr19
ENSG00000037897	chr12
ENSG00000037965	chr12
ENSG00000038002	chr4
ENSG00000038210	chr4
ENSG00000038219	chr4
ENSG00000038274	chr5
ENSG00000038295	chr4
ENSG00000038358	chr16
ENSG00000038382	chr5
ENSG00000038427	chr5
ENSG00000038532	chr16
ENSG00000038945	chr8
ENSG00000039068	chr16
ENSG00000039123	chr5
ENSG00000039139	chr5
ENSG00000039319	chr5
ENSG00000039523	chr16
ENSG00000039537	chr5
ENSG00000039560	chr5
ENSG00000039600	chr5
ENSG00000039650	chr19
ENSG00000039987	chr19
ENSG00000040199	chr16
ENSG00000040275	chr5
ENSG00000040341	chr8
ENSG00000040487	chr1
ENSG00000040531	chr17
ENSG00000040608	chr22
ENSG00000040633	chr17
ENSG00000040731	chr5
ENSG00000040933	chr2
ENSG00000041353	chr18
ENSG00000041357	chr15
ENSG00000041515	chr13
ENSG00000041802	chr3
ENSG00000041880	chr3
ENSG00000041982	chr9
ENSG00000041988	chr1
ENSG00000042062	chr20
ENSG00000042088	chr14
ENSG00000042286	chr10
ENSG00000042304	chr2
ENSG00000042317	chr14
ENSG00000042429	chr11
ENSG00000042445	chr2
ENSG00000042493	chr2
ENSG00000042753	chr19
ENSG00000042781	chr1
ENSG00000042813	chr7
ENSG00000042832	chr8
ENSG00000042980	chr8
ENSG00000043039	chr11
ENSG00000043093	chr3
ENSG00000043143	chr5
ENSG00000043355	chr13
ENSG00000043462	chr5
ENSG00000043514	chr1
ENSG00000043591	chr10
ENSG00000044012	chr1
ENSG00000044090	chr6
ENSG00000044115	chr5
ENSG00000044446	chrX
ENSG00000044459	chr9
ENSG00000044524	chr3
ENSG00000044574	chr9
ENSG00000046604	chr18
ENSG00000046647	chrX
ENSG00000046651	chrX
ENSG00000046653	chrX
ENSG00000046889	chr8
ENSG00000047056	chr10
ENSG00000047188	chr5
ENSG00000047230	chrX
ENSG00000047249	chr8
ENSG00000047315	chr4
ENSG00000047346	chr15
ENSG00000047365	chr4
ENSG00000047410	chr1
ENSG00000047457	chr3
ENSG00000047578	chr16
ENSG00000047579	chr6
ENSG00000047597	chrX
ENSG00000047617	chr12
ENSG00000047621	chr12
ENSG00000047634	chrX
ENSG00000047644	chrX
ENSG00000047648	chrX
ENSG00000047662	chr4
ENSG00000047849	chr3
ENSG00000047932	chr6
ENSG00000047936	chr6
ENSG00000048028	chr11
ENSG00000048052	chr7
ENSG00000048140	chr5
ENSG00000048162	chr5
ENSG00000048342	chr4
ENSG00000048392	chr8
ENSG00000048405	chr7
ENSG00000048462	chr16
ENSG00000048471	chr16
ENSG00000048540	chr12
ENSG00000048544	chr6
ENSG00000048649	chr11
ENSG00000048707	chr1
ENSG00000048740	chr10
ENSG00000048828	chr9
ENSG00000048991	chr2
ENSG00000049089	chr1
ENSG00000049130	chr12
ENSG00000049167	chr5
ENSG00000049192	chr5
ENSG00000049239	chr1
ENSG00000049245	chr1
ENSG00000049246	chr1
ENSG00000049247	chr1
ENSG00000049249	chr1
ENSG00000049283	chr17
ENSG00000049323	chr2
ENSG00000049449	chr11
ENSG00000049540	chr7
ENSG00000049541	chr7
ENSG00000049618	chr6
ENSG00000049656	chr5
ENSG00000049759	chr18
ENSG00000049768	chrX
ENSG00000049769	chrX
ENSG00000049860	chr5
ENSG00000049883	chr5
ENSG00000050030	chrX
ENSG00000050130	chr14
ENSG00000050165	chr11
ENSG00000050327	chr7
ENSG00000050344	chr7
ENSG00000050393	chr6
ENSG00000050405	chr12
ENSG00000050426	chr12
ENSG00000050438	chr12
ENSG00000050555	chr9
ENSG00000050628	chr1
ENSG00000050730	chr4
ENSG00000050748	chr5
ENSG00000050767	chr5
ENSG00000050820	chr16
ENSG00000051009	chr11
ENSG00000051108	chr16
ENSG00000051128	chr19
ENSG00000051180	chr15
ENSG00000051341	chr3
ENSG00000051382	chr3
ENSG00000051523	chr16
ENSG00000051596	chr5
ENSG00000051620	chr6
ENSG00000051825	chr12
ENSG00000052126	chr12
ENSG00000052344	chr16
ENSG00000052723	chr1
ENSG00000052749	chr10
ENSG00000052795	chr4
ENSG00000052802	chr4
ENSG00000052841	chr11
ENSG00000052850	chr11
ENSG00000053108	chr5
ENSG00000053254	chr14
ENSG00000053328	chr6
ENSG00000053371	chr1
ENSG00000053372	chr1
ENSG00000053438	chr20
ENSG00000053501	chr19
ENSG00000053524	chr3
ENSG00000053702	chr12
ENSG00000053747	chr18
ENSG00000053770	chr14
ENSG00000053900	chr4
ENSG00000053918	chr11
ENSG00000054116	chr1
ENSG00000054118	chr1
ENSG00000054148	chr9
ENSG00000054179	chr9
ENSG00000054219	chr2
ENSG00000054267	chr1
ENSG00000054277	chr1
ENSG00000054282	chr1
ENSG00000054356	chr2
ENSG00000054392	chr1
ENSG00000054523	chr1
ENSG00000054598	chr6
ENSG00000054611	chr22
ENSG00000054654	chr14
ENSG00000054690	chr14
ENSG00000054793	chr20
ENSG00000054796	chr20
ENSG00000054803	chr20
ENSG00000054938	chr11
ENSG00000054965	chr11
ENSG00000054967	chr11
ENSG00000054983	chr14
ENSG00000055044	chr2
ENSG00000055070	chr1
ENSG00000055118	chr7
ENSG00000055130	chr7
ENSG00000055147	chr5
ENSG00000055163	chr5
ENSG00000055208	chr6
ENSG00000055211	chr6
ENSG00000055332	chr2
ENSG00000055483	chr17
ENSG00000055609	chr7
ENSG00000055732	chr1
ENSG00000055813	chr2
ENSG00000055917	chr2
ENSG00000055950	chr10
ENSG00000055955	chr3
ENSG00000055957	chr3
ENSG00000056050	chr4
ENSG00000056097	chr5
ENSG00000056277	chrX
ENSG00000056291	chr4
ENSG00000056487	chr22
ENSG00000056558	chr9
ENSG00000056586	chr9
ENSG00000056736	chr3
ENSG00000056972	chr6
ENSG00000056998	chrX
ENSG00000057019	chr3
ENSG00000057149	chr18
ENSG00000057252	chr1
ENSG00000057294	chr12
ENSG00000057468	chr1
ENSG00000057593	chr13
ENSG00000057608	chr10
ENSG00000057657	chr6
ENSG00000057663	chr6
ENSG00000057704	chr12
ENSG00000057757	chr1
ENSG00000057935	chr2
ENSG00000058056	chr3
ENSG00000058063	chr3
ENSG00000058085	chr1
ENSG00000058091	chr7
ENSG00000058262	chr3
ENSG00000058272	chr12
ENSG00000058335	chr15
ENSG00000058404	chr7
ENSG00000058453	chr1
ENSG00000058600	chr16
ENSG00000058668	chr1
ENSG00000058673	chr1
ENSG00000058729	chr5
ENSG00000058799	chr1
ENSG00000058804	chr1
ENSG00000058866	chr3
ENSG00000059122	chr16
ENSG00000059145	chr16
ENSG00000059377	chr7
ENSG00000059378	chr7
ENSG00000059573	chr10
ENSG00000059588	chr1
ENSG00000059691	chr4
ENSG00000059728	chr2
ENSG00000059758	chr12
ENSG00000059769	chr9
ENSG00000059804	chr12
ENSG00000059915	chr10
ENSG00000060069	chr18
ENSG00000060138	chr12
ENSG00000060140	chr12
ENSG00000060237	chr12
ENSG00000060339	chr10
ENSG00000060491	chr20
ENSG00000060558	chr19
ENSG00000060566	chr19
ENSG00000060642	chr1
ENSG00000060656	chr1
ENSG00000060688	chr1
ENSG00000060709	chr12
ENSG00000060718	chr1
ENSG00000060749	chr11
ENSG00000060762	chr6
ENSG00000060971	chr3
ENSG00000060982	chr12
ENSG00000061273	chr12
ENSG00000061337	chr8
ENSG00000061455	chr5
ENSG00000061492	chr5
ENSG00000061656	chr20
ENSG00000061676	chr2
ENSG00000061794	chr12
ENSG00000061918	chr4
ENSG00000061936	chr12
ENSG00000061938	chr3
ENSG00000061987	chr12
ENSG00000062038	chr16
ENSG00000062096	chrX
ENSG00000062194	chr5
ENSG00000062282	chr11
ENSG00000062370	chr19
ENSG00000062485	chr12
ENSG00000062524	chr15
ENSG00000062582	chr7
ENSG00000062598	chr20
ENSG00000062650	chr10
ENSG00000062716	chr17
ENSG00000062725	chr17
ENSG00000062822	chr19
ENSG00000063015	chr17
ENSG00000063046	chr12
ENSG00000063127	chr19
ENSG00000063169	chr19
ENSG00000063176	chr19
ENSG00000063177	chr19
ENSG00000063180	chr19
ENSG00000063241	chr19
ENSG00000063244	chr19
ENSG00000063245	chr19
ENSG00000063322	chr19
ENSG00000063438	chr5
ENSG00000063587	chrX
ENSG00000063601	chrX
ENSG00000063660	chr2
ENSG00000063761	chr14
ENSG00000063854	chr16
ENSG00000063978	chr4
ENSG00000064012	chr2
ENSG00000064042	chr4
ENSG00000064102	chr12
ENSG00000064115	chr12
ENSG00000064195	chr17
ENSG00000064199	chr11
ENSG00000064201	chr11
ENSG00000064205	chr20
ENSG00000064218	chr9
ENSG00000064225	chr3
ENSG00000064270	chr16
ENSG00000064300	chr17
ENSG00000064309	chr11
ENSG00000064313	chr8
ENSG00000064393	chr7
ENSG00000064419	chr7
ENSG00000064490	chr19
ENSG00000064545	chr19
ENSG00000064547	chr19
ENSG00000064601	chr20
ENSG00000064607	chr19
ENSG00000064651	chr5
ENSG00000064652	chr5
ENSG00000064655	chr20
ENSG00000064666	chr19
ENSG00000064687	chr19
ENSG00000064692	chr5
ENSG00000064703	chr1
ENSG00000064726	chr15
ENSG00000064763	chr12
ENSG00000064787	chr20
ENSG00000064886	chr1
ENSG00000064932	chr19
ENSG00000064933	chr2
ENSG00000064961	chr19
ENSG00000064989	chr2
ENSG00000064995	chr6
ENSG00000064999	chr6
ENSG00000065000	chr19
ENSG00000065029	chr6
ENSG00000065054	chr16
ENSG00000065057	chr16
ENSG00000065060	chr6
ENSG00000065135	chr1
ENSG00000065150	chr13
ENSG00000065154	chr10
ENSG00000065183	chr1
ENSG00000065243	chr1
ENSG00000065268	chr19
ENSG00000065308	chr6
ENSG00000065320	chr17
ENSG00000065325	chr17
ENSG00000065328	chr10
ENSG00000065357	chr12
ENSG00000065361	chr12
ENSG00000065371	chr3
ENSG00000065413	chr2
ENSG00000065427	chr16
ENSG00000065457	chr16
ENSG00000065485	chr3
ENSG00000065491	chr6
ENSG00000065518	chr3
ENSG00000065526	chr1
ENSG00000065534	chr3
ENSG00000065548	chr2
ENSG00000065559	chr17
ENSG00000065600	chr1
ENSG00000065609	chr6
ENSG00000065613	chr10
ENSG00000065615	chr6
ENSG00000065618	chr10
ENSG00000065621	chr10
ENSG00000065665	chr10
ENSG00000065675	chr10
ENSG00000065717	chr19
ENSG00000065802	chr2
ENSG00000065809	chr10
ENSG00000065833	chr6
ENSG00000065882	chr4
ENSG00000065883	chr7
ENSG00000065911	chr2
ENSG00000065923	chrX
ENSG00000065970	chr12
ENSG00000065978	chr1
ENSG00000065989	chr19
ENSG00000066027	chr1
ENSG00000066032	chr2
ENSG00000066044	chr19
ENSG00000066056	chr1
ENSG00000066084	chr12
ENSG00000066117	chr12
ENSG00000066135	chr1
ENSG00000066136	chr1
ENSG00000066185	chr1
ENSG00000066230	chr5
ENSG00000066248	chr2
ENSG00000066279	chr1
ENSG00000066294	chr1
ENSG00000066322	chr1
ENSG00000066336	chr11
ENSG00000066379	chr6
ENSG00000066382	chr11
ENSG00000066405	chr3
ENSG00000066422	chr3
ENSG00000066427	chr14
ENSG00000066455	chr14
ENSG00000066468	chr10
ENSG00000066557	chr1
ENSG00000066583	chr5
ENSG00000066629	chr14
ENSG00000066651	chr6
ENSG00000066654	chr16
ENSG00000066697	chr9
ENSG00000066735	chr14
ENSG00000066739	chr14
ENSG00000066777	chr8
ENSG00000066813	chr16
ENSG00000066827	chr8
ENSG00000066855	chr8
ENSG00000066923	chr7
ENSG00000066926	chr18
ENSG00000066933	chr15
ENSG00000067048	chrY
ENSG00000067057	chr10
ENSG00000067064	chr10
ENSG00000067066	chr2
ENSG00000067082	chr10
ENSG00000067113	chr5
ENSG00000067141	chr15
ENSG00000067167	chr8
ENSG00000067177	chrX
ENSG00000067182	chr12
ENSG00000067191	chr17
ENSG00000067208	chr1
ENSG00000067221	chr15
ENSG00000067225	chr15
ENSG00000067248	chr5
ENSG00000067334	chr1
ENSG00000067365	chr16
ENSG00000067369	chr15
ENSG00000067445	chrX
ENSG00000067533	chr1
ENSG00000067560	chr3
ENSG00000067596	chr17
ENSG00000067606	chr1
ENSG00000067646	chrY
ENSG00000067704	chr1
ENSG00000067715	chr12
ENSG00000067798	chr12
ENSG00000067829	chrX
ENSG00000067836	chr16
ENSG00000067840	chrX
ENSG00000067842	chrX
ENSG00000067900	chr18
ENSG00000067955	chr16
ENSG00000067992	chrX
ENSG00000068001	chr3
ENSG00000068024	chr2
ENSG00000068028	chr3
ENSG00000068078	chr4
ENSG00000068079	chr17
ENSG00000068097	chr17
ENSG00000068120	chr17
ENSG00000068137	chr17
ENSG00000068305	chr15
ENSG00000068308	chrX
ENSG00000068323	chrX
ENSG00000068354	chrX
ENSG00000068366	chrX
ENSG00000068383	chr10
ENSG00000068394	chrX
ENSG00000068400	chrX
ENSG00000068438	chrX
ENSG00000068489	chr17
ENSG00000068615	chr2
ENSG00000068650	chr13
ENSG00000068654	chr2
ENSG00000068697	chr2
ENSG00000068724	chr2
ENSG00000068745	chr3
ENSG00000068781	chr2
ENSG00000068784	chr2
ENSG00000068796	chr5
ENSG00000068831	chr11
ENSG00000068878	chr2
ENSG00000068885	chr3
ENSG00000068903	chr19
ENSG00000068912	chr2
ENSG00000068971	chr11
ENSG00000068976	chr11
ENSG00000068985	chrX
ENSG00000069011	chr5
ENSG00000069018	chr5
ENSG00000069020	chr5
ENSG00000069122	chr6
ENSG00000069188	chr17
ENSG00000069206	chr8
ENSG00000069248	chr1
ENSG00000069275	chr1
ENSG00000069329	chr16
ENSG00000069345	chr16
ENSG00000069399	chr19
ENSG00000069424	chr1
ENSG00000069431	chr12
ENSG00000069482	chr11
ENSG00000069493	chr12
ENSG00000069509	chrX
ENSG00000069535	chrX
ENSG00000069667	chr15
ENSG00000069696	chr11
ENSG00000069702	chr1
ENSG00000069764	chr16
ENSG00000069812	chr1
ENSG00000069849	chr3
ENSG00000069869	chr15
ENSG00000069943	chr15
ENSG00000069956	chr15
ENSG00000069966	chr15
