gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_D1	V12Y31-080_A1	V13M13-362_A1	V13M13-362_D1	nsigsamps	meanrank
ENSG00000008735	MAPK8IP2	1705		1829		503		823			4	1215
ENSG00000008838	MED24		2406		2452						2	2429
ENSG00000008952	SEC62						1440	607			2	1023.5
ENSG00000008988	RPS20	482	2089	661	1132			2229			5	1318.6
ENSG00000009307	CSDE1		547				584	1254			3	795
ENSG00000009413	REV3L		2340								1	2340
ENSG00000009694	TENM1	530		802	313		1159		187		5	598.2
ENSG00000009844	VTA1		3063		2461						2	2762
ENSG00000009954	BAZ1B			2728							1	2728
ENSG00000010017	RANBP9	1898	627	1087							3	1204
ENSG00000010219	DYRK4		1956			439		2039			3	1478
ENSG00000010244	ZNF207			2959							1	2959
ENSG00000010256	UQCRC1	1152	2002								2	1577
ENSG00000010270	STARD3NL	1619			595			1829			3	1347.66666666667
ENSG00000010278	CD9	1481	503	817	358		930	600			6	781.5
ENSG00000010282	HHATL	1468	733	1663			1351				4	1303.75
ENSG00000010295	IFFO1								851		1	851
ENSG00000010322	NISCH	927	2770				1503			593	4	1448.25
ENSG00000010361	FUZ		3289		2192						2	2740.5
ENSG00000010404	IDS		1718	856	1075						3	1216.33333333333
ENSG00000010438	PRSS3		2478	2280	2557						3	2438.33333333333
ENSG00000010626	LRRC23	563		2269							2	1416
ENSG00000010803	SCMH1		2284								1	2284
ENSG00000010810	FYN		2595								1	2595
ENSG00000011007	ELOA							2068			1	2068
ENSG00000011009	LYPLA2				1350						1	1350
ENSG00000011021	CLCN6		2707								1	2707
ENSG00000011028	MRC2			2682			689	1057			3	1476
ENSG00000011143	MKS1	1964									1	1964
ENSG00000011201	ANOS1	437		798							2	617.5
ENSG00000011275	RNF216		2413			233					2	1323
ENSG00000011295	TTC19		1929				1807	1630			3	1788.66666666667
ENSG00000011304	PTBP1						1478				1	1478
ENSG00000011332	DPF1		1264								1	1264
ENSG00000011347	SYT7		2270	2164							2	2217
ENSG00000011405	PIK3C2A	1816		1776	2097						3	1896.33333333333
ENSG00000011426	ANLN		1528	451	519			360			4	714.5
ENSG00000011454	RABGAP1							1436			1	1436
ENSG00000011465	DCN	23	407	25	134	283	522	2034			7	489.714285714286
ENSG00000011566	MAP4K3		2416		1184						2	1800
ENSG00000011600	TYROBP		1360					1217			2	1288.5
ENSG00000011638	TMEM159			2558							1	2558
ENSG00000011677	GABRA3	1788		1332							2	1560
ENSG00000012171	SEMA3B		3169		370					444	3	1327.66666666667
ENSG00000012174	MBTPS2			1660	1638						2	1649
ENSG00000012660	ELOVL5	1557		2066				1947			3	1856.66666666667
ENSG00000012822	CALCOCO1	2136	1862								2	1999
ENSG00000012983	MAP4K5							2192			1	2192
ENSG00000013275	PSMC4						952				1	952
ENSG00000013288	MAN2B2						667				1	667
ENSG00000013293	SLC7A14		333	2532	214					184	4	815.75
ENSG00000013297	CLDN11	240	1687	215	306		265	74	690		7	496.714285714286
ENSG00000013364	MVP	1073									1	1073
ENSG00000013392	RWDD2A						316				1	316
ENSG00000013441	CLK1	1427	840	733	512		836	1540			6	981.333333333333
ENSG00000013523	ANGEL1			1855							1	1855
ENSG00000013561	RNF14		1502				511				2	1006.5
ENSG00000013563	DNASE1L1			2727	2073						2	2400
ENSG00000013583	HEBP1							974			1	974
ENSG00000013619	MAMLD1		847	1925			489	1282	502		5	1009
ENSG00000014123	UFL1				1962						1	1962
ENSG00000014641	MDH1	490	306	374	515		203	194			6	347
ENSG00000014824	SLC30A9		3447								1	3447
ENSG00000014914	MTMR11	867					1483				2	1175
ENSG00000015153	YAF2							1274			1	1274
ENSG00000015592	STMN4	698		1531	437						3	888.666666666667
ENSG00000015676	NUDCD3		2481								1	2481
ENSG00000016082	ISL1	980	771	308	244			1938			5	848.2
ENSG00000016402	IL20RA			1952							1	1952
ENSG00000016864	GLT8D1				1364		2010				2	1687
ENSG00000017260	ATP2C1	2177	1625				1494	461			4	1439.25
ENSG00000017483	SLC38A5		1994		2814		1409				3	2072.33333333333
ENSG00000018189	RUFY3	2093	564	1602	2503		1658	747			6	1527.83333333333
ENSG00000018236	CNTN1	393	472	681	436		1481	516			6	663.166666666667
ENSG00000018408	WWTR1			2734							1	2734
ENSG00000018625	ATP1A2	507	163	501	250		384	75	655		7	362.142857142857
ENSG00000019144	PHLDB1		1902								1	1902
ENSG00000019505	SYT13	1359		833				729	661		4	895.5
ENSG00000019582	CD74	513	292	330	623		78	833	50		7	388.428571428571
ENSG00000019995	ZRANB1	1992	3263		2568						3	2607.66666666667
ENSG00000020129	NCDN	1766		391	1217	122					4	874
ENSG00000020577	SAMD4A	2231		3094							2	2662.5
ENSG00000021300	PLEKHB1	851	206	528	165		1817	259			6	637.666666666667
ENSG00000021355	SERPINB1	1229	1845					1571			3	1548.33333333333
ENSG00000021645	NRXN3		3050				626	480		624	4	1195
ENSG00000022267	FHL1	126		67			250	2307			4	687.5
ENSG00000022355	GABRA1	286	809	239	138	120		1607	137	548	8	485.5
ENSG00000022556	NLRP2		3343								1	3343
ENSG00000023041	ZDHHC6		2018		2638						2	2328
ENSG00000023191	RNH1		1252								1	1252
ENSG00000023228	NDUFS1		3221								1	3221
ENSG00000023287	RB1CC1		2374								1	2374
ENSG00000023445	BIRC3				2673						1	2673
ENSG00000023516	AKAP11		3104					1923			2	2513.5
ENSG00000023734	STRAP		613		978		1060	724	299		5	734.8
ENSG00000023902	PLEKHO1	705		636		109					3	483.333333333333
ENSG00000023909	GCLM					629					1	629
ENSG00000024422	EHD2				2462						1	2462
ENSG00000024862	CCDC28A	774	1188					1937			3	1299.66666666667
ENSG00000025423	HSD17B6	768		335				1584			3	895.666666666667
ENSG00000025708	TYMP			1031		558					2	794.5
ENSG00000025796	SEC63		3112		2372						2	2742
ENSG00000026025	VIM	3	203	5	78	99	70	130	663		8	156.375
ENSG00000026508	CD44		486	919	119	315		1896		678	6	735.5
ENSG00000026559	KCNG1				844						1	844
ENSG00000026652	AGPAT4				1870						1	1870
ENSG00000027697	IFNGR1	1071									1	1071
ENSG00000027847	B4GALT7									326	1	326
ENSG00000028277	POU2F2		589		710					681	3	660
ENSG00000028839	TBPL1		1614		2548		1205				3	1789
ENSG00000029153	ARNTL2							1940			1	1940
ENSG00000029363	BCLAF1			2970		168	543				3	1227
ENSG00000029364	SLC39A9						1034				1	1034
ENSG00000029639	TFB1M							1520			1	1520
ENSG00000029993	HMGB3		1295		531		1254				3	1026.66666666667
ENSG00000030304	MUSK	567		358							2	462.5
ENSG00000030582	GRN		1503		1520			2201	408		4	1408
ENSG00000031003	FAM13B							2182			1	2182
ENSG00000031081	ARHGAP31	1911									1	1911
ENSG00000031698	SARS		438	2152			248	388			4	806.5
ENSG00000031823	RANBP3		1368								1	1368
ENSG00000032219	ARID4A				2342						1	2342
ENSG00000032389	EIPR1	1828	1395				526	1828			4	1394.25
ENSG00000032742	IFT88			977							1	977
ENSG00000033030	ZCCHC8			2743			1813				2	2278
ENSG00000033050	ABCF2		3367								1	3367
ENSG00000033100	CHPF2				2628						1	2628
ENSG00000033122	LRRC7	1726	326		1835						3	1295.66666666667
ENSG00000033170	FUT8							1858			1	1858
ENSG00000033178	UBA6		365				1929				2	1147
ENSG00000033627	ATP6V0A1	1871		2587				948			3	1802
ENSG00000034053	APBA2			818	2410						2	1614
ENSG00000034152	MAP2K3									310	1	310
ENSG00000034239	EFCAB1	31	185	71							3	95.6666666666667
ENSG00000034510	TMSB10	294	266	258	239	29	349	192	151	45	9	202.555555555556
ENSG00000034677	RNF19A		3387								1	3387
ENSG00000034693	PEX3	1334			2282						2	1808
ENSG00000034713	GABARAPL2	1658		2653	1505	393	411	372	186		7	1025.42857142857
ENSG00000035115	SH3YL1	2104									1	2104
ENSG00000035141	FAM136A				2763						1	2763
ENSG00000035403	VCL		2887		2497			1555			3	2313
ENSG00000035862	TIMP2		2449	2159		397		824			4	1457.25
ENSG00000035928	RFC1		1621								1	1621
ENSG00000036672	USP2		2118								1	2118
ENSG00000037042	TUBG2	1552						1752			2	1652
ENSG00000037474	NSUN2							686	413		2	549.5
ENSG00000037637	FBXO42							1471			1	1471
ENSG00000038002	AGA			2875							1	2875
ENSG00000038219	BOD1L1				2449						1	2449
ENSG00000038274	MAT2B						824				1	824
ENSG00000038358	EDC4		1104					1855			2	1479.5
ENSG00000038382	TRIO		1474		859						2	1166.5
ENSG00000038427	VCAN				1741						1	1741
ENSG00000038532	CLEC16A									449	1	449
ENSG00000039123	MTREX		1880								1	1880
ENSG00000039139	DNAH5	228		938							2	583
ENSG00000039319	ZFYVE16				2525			1738		275	3	1512.66666666667
ENSG00000039523	RIPOR1		1851		1282		1793				3	1642
ENSG00000039560	RAI14			2962							1	2962
ENSG00000040731	CDH10		630		2760				741		3	1377
ENSG00000041353	RAB27B	566		796					409		3	590.333333333333
ENSG00000041357	PSMA4		2678								1	2678
ENSG00000041982	TNC	476	1183	190	321			1765			5	787
ENSG00000042429	MED17						751				1	751
ENSG00000042445	RETSAT						1561				1	1561
ENSG00000042493	CAPG	656		1063							2	859.5
ENSG00000042753	AP2S1		1957				1139				2	1548
ENSG00000043143	JADE2							1124			1	1124
ENSG00000043591	ADRB1				2430						1	2430
ENSG00000044090	CUL7						1193				1	1193
ENSG00000044115	CTNNA1	1979			2305						2	2142
ENSG00000044574	HSPA5	2066	591	854	392	66	236	261			7	638
ENSG00000046653	GPM6B	175	131	148	213		98	98		133	7	142.285714285714
ENSG00000046889	PREX2	1178	634	970	852		1401	1206			6	1040.16666666667
ENSG00000047188	YTHDC2				1074						1	1074
ENSG00000047249	ATP6V1H	1099									1	1099
ENSG00000047315	POLR2B						1021				1	1021
ENSG00000047346	FAM214A		1525								1	1525
ENSG00000047410	TPR			2507							1	2507
ENSG00000047578	KIAA0556								762		1	762
ENSG00000047597	XK		3179	2386	1499						3	2354.66666666667
ENSG00000047648	ARHGAP6		1363		1729		829	633			4	1138.5
ENSG00000047849	MAP4				1362			1696		348	3	1135.33333333333
ENSG00000047932	GOPC				2278		1895				2	2086.5
ENSG00000048028	USP28				804						1	804
ENSG00000048052	HDAC9			1494				1347			2	1420.5
ENSG00000048140	TSPAN17			2130							1	2130
ENSG00000048342	CC2D2A			1292					279		2	785.5
ENSG00000048540	LMO3		2323		1160	276	923	1465	591		6	1123
ENSG00000048544	MRPS10			2568			1084				2	1826
ENSG00000048649	RSF1				1647						1	1647
ENSG00000048740	CELF2	2039				243	1128				3	1136.66666666667
ENSG00000048991	R3HDM1			1281							1	1281
ENSG00000049089	COL9A2		1461								1	1461
ENSG00000049239	H6PD				2443						1	2443
ENSG00000049245	VAMP3						239		94		2	166.5
ENSG00000049246	PER3			2876							1	2876
ENSG00000049449	RCN1	1941			1863						2	1902
ENSG00000049540	ELN			850							1	850
ENSG00000049618	ARID1B			2706							1	2706
ENSG00000049656	CLPTM1L		3018	2815				2025			3	2619.33333333333
ENSG00000049759	NEDD4L	991	3033								2	2012
ENSG00000049769	PPP1R3F	2232									1	2232
ENSG00000049883	PTCD2							903			1	903
ENSG00000050030	NEXMIF		1826								1	1826
ENSG00000050130	JKAMP		982		1121			1517			3	1206.66666666667
ENSG00000050165	DKK3	2218	514	898	488		1279	549			6	991
ENSG00000050438	SLC4A8	1305			2153		1944				3	1800.66666666667
ENSG00000050628	PTGER3		291	2109	417			2226		522	5	1113
ENSG00000050748	MAPK9			1803							1	1803
ENSG00000051108	HERPUD1		1258								1	1258
ENSG00000051128	HOMER3		2534								1	2534
ENSG00000051523	CYBA	1015		1115	364						3	831.333333333333
ENSG00000051620	HEBP2		3345								1	3345
ENSG00000051825	MPHOSPH9									357	1	357
ENSG00000052126	PLEKHA5				2653						1	2653
ENSG00000052749	RRP12				2280						1	2280
ENSG00000052795	FNIP2		675								1	675
ENSG00000052802	MSMO1		2794	1141	1668						3	1867.66666666667
ENSG00000052841	TTC17		2509								1	2509
ENSG00000053438	NNAT	47	138	28	266		288	693	91	512	8	257.875
ENSG00000053524	MCF2L2							1994			1	1994
ENSG00000053702	NRIP2	970									1	970
ENSG00000053747	LAMA3		3492								1	3492
ENSG00000053770	AP5M1		3429								1	3429
ENSG00000053900	ANAPC4						1180				1	1180
ENSG00000054118	THRAP3			2994					326		2	1660
ENSG00000054148	PHPT1	1313		2330			1837				3	1826.66666666667
ENSG00000054179	ENTPD2	1328		1522							2	1425
ENSG00000054356	PTPRN	368	505	295			747	337			5	450.4
ENSG00000054523	KIF1B		3320								1	3320
ENSG00000054654	SYNE2	2207		1981							2	2094
ENSG00000054690	PLEKHH1		893	1452				1889			3	1411.33333333333
ENSG00000054793	ATP9A	2108	3246		2007		629				4	1997.5
ENSG00000054803	CBLN4		517		541	151	30	71		388	6	283
ENSG00000054965	FAM168A			1486			1119				2	1302.5
ENSG00000054967	RELT						1923				1	1923
ENSG00000055044	NOP58		1938	2227							2	2082.5
ENSG00000055070	SZRD1			1426							1	1426
ENSG00000055118	KCNH2		499	2071	1659				459		4	1172
ENSG00000055130	CUL1		2347								1	2347
ENSG00000055147	FAM114A2		2766								1	2766
ENSG00000055163	CYFIP2	2073	3244	2595							3	2637.33333333333
ENSG00000055211	GINM1	1369	1834	1789	1644						4	1659
ENSG00000055332	EIF2AK2			1155						455	2	805
ENSG00000055609	KMT2C	1799									1	1799
ENSG00000055813	CCDC85A				2507						1	2507
ENSG00000055917	PUM2				2146				525		2	1335.5
ENSG00000055950	MRPL43							2167			1	2167
ENSG00000056050	HPF1		3376								1	3376
ENSG00000056277	ZNF280C			2905							1	2905
ENSG00000056487	PHF21B		3362		1324						2	2343
ENSG00000056736	IL17RB			911							1	911
ENSG00000056972	TRAF3IP2	977									1	977
ENSG00000057019	DCBLD2								651	400	2	525.5
ENSG00000057252	SOAT1							1401			1	1401
ENSG00000057294	PKP2			1287							1	1287
ENSG00000057608	GDI2			1164			273				2	718.5
ENSG00000057757	PITHD1	856	3058	1743	758		993				5	1481.6
ENSG00000057935	MTA3						896	1642			2	1269
ENSG00000058056	USP13		2441								1	2441
ENSG00000058262	SEC61A1	2112	2660						803		3	1858.33333333333
ENSG00000058272	PPP1R12A		2198		2750					393	3	1780.33333333333
ENSG00000058335	RASGRF1				1429						1	1429
ENSG00000058404	CAMK2B	1008		1359							2	1183.5
ENSG00000058453	CROCC	358		509							2	433.5
ENSG00000058668	ATP2B4			2437							1	2437
ENSG00000058799	YIPF1				1877						1	1877
ENSG00000058804	NDC1			1973							1	1973
ENSG00000059122	FLYWCH1		2835								1	2835
ENSG00000059145	UNKL		1381								1	1381
ENSG00000059378	PARP12						644				1	644
ENSG00000059588	TARBP1	801	1672	1166	974			2252			5	1373
ENSG00000059691	GATB		2507								1	2507
ENSG00000059758	CDK17		2010		1490		1077		332		4	1227.25
ENSG00000059804	SLC2A3	1133	872	1509							3	1171.33333333333
ENSG00000059915	PSD	1764	3442								2	2603
ENSG00000060138	YBX3			2300		595				620	3	1171.66666666667
ENSG00000060237	WNK1		1057								1	1057
ENSG00000060339	CCAR1		1936		1789	499					3	1408
ENSG00000060656	PTPRU		2487		2335						2	2411
ENSG00000060688	SNRNP40		1868								1	1868
ENSG00000060709	RIMBP2		2300		1631		1190				3	1707
ENSG00000060718	COL11A1		3243		836		159	211			4	1112.25
ENSG00000060762	MPC1									324	1	324
ENSG00000060982	BCAT1									386	1	386
ENSG00000061656	SPAG4						1952				1	1952
ENSG00000061676	NCKAP1	1121	3060					1916			3	2032.33333333333
ENSG00000061918	GUCY1B1	337		2721	1414						3	1490.66666666667
ENSG00000061936	SFSWAP				2401						1	2401
ENSG00000061987	MON2		698		1332						2	1015
ENSG00000062194	GPBP1						2006		596		2	1301
ENSG00000062282	DGAT2					553					1	553
ENSG00000062485	CS		2216				1295	2123			3	1878
ENSG00000062582	MRPS24							885			1	885
ENSG00000062716	VMP1		2229								1	2229
ENSG00000063015	SEZ6	1728			1543						2	1635.5
ENSG00000063046	EIF4B		2602		1787						2	2194.5
ENSG00000063177	RPL18	498	617	980	294			819		565	6	628.833333333333
ENSG00000063180	CA11						451				1	451
ENSG00000063245	EPN1		2310				2011				2	2160.5
ENSG00000063601	MTMR1		3372								1	3372
ENSG00000063660	GPC1		2890								1	2890
ENSG00000063761	ADCK1	451	2060	378				1257			4	1036.5
ENSG00000063854	HAGH						391	1353			2	872
ENSG00000063978	RNF4								919		1	919
ENSG00000064102	INTS13									699	1	699
ENSG00000064115	TM7SF3	1889	2440		980		1171	2022			5	1700.4
ENSG00000064199	SPA17	969		771							2	870
ENSG00000064225	ST3GAL6		3581				1552				2	2566.5
ENSG00000064300	NGFR			1967							1	1967
ENSG00000064313	TAF2				2041						1	2041
ENSG00000064393	HIPK2		942	804	1929		513	667			5	971
ENSG00000064601	CTSA		1108					2153			2	1630.5
ENSG00000064607	SUGP2		1550		1967						2	1758.5
ENSG00000064703	DDX20		3211								1	3211
ENSG00000064787	BCAS1	579	247	205	352		169	117	703		7	338.857142857143
ENSG00000064932	SBNO2	542	3103	585							3	1410
ENSG00000064989	CALCRL	318	3413	78							3	1269.66666666667
ENSG00000064995	TAF11	2239									1	2239
ENSG00000064999	ANKS1A				1275						1	1275
ENSG00000065000	AP3D1		3441		1492						2	2466.5
ENSG00000065029	ZNF76			1588							1	1588
ENSG00000065054	SLC9A3R2				2460						1	2460
ENSG00000065060	UHRF1BP1							2263			1	2263
ENSG00000065150	IPO5		2628					1764			2	2196
ENSG00000065154	OAT		493	1318				702			3	837.666666666667
ENSG00000065361	ERBB3			2798				786			2	1792
ENSG00000065413	ANKRD44		820	3099	1965						3	1961.33333333333
ENSG00000065427	KARS		2951								1	2951
ENSG00000065491	TBC1D22B							1670			1	1670
ENSG00000065518	NDUFB4	715			1876		1754	594			4	1234.75
ENSG00000065526	SPEN			2818							1	2818
ENSG00000065534	MYLK			3090	914						2	2002
ENSG00000065559	MAP2K4		957		1496						2	1226.5
ENSG00000065600	PACC1		3333								1	3333
ENSG00000065609	SNAP91	1720	1418	2780			1776				4	1923.5
ENSG00000065613	SLK	1760									1	1760
ENSG00000065665	SEC61A2		2987		1356		827	601			4	1442.75
ENSG00000065717	TLE2				670						1	670
ENSG00000065802	ASB1							1869			1	1869
ENSG00000065809	FAM107B						1731			519	2	1125
ENSG00000065833	ME1					234		1012			2	623
ENSG00000065883	CDK13					587					1	587
ENSG00000065911	MTHFD2			3026	1553	623	1497				4	1674.75
ENSG00000065923	SLC9A7		2117					697			2	1407
ENSG00000065978	YBX1	1981	633	2285	1563	173					5	1327
ENSG00000065989	PDE4A		3350								1	3350
ENSG00000066027	PPP2R5A			1997							1	1997
ENSG00000066032	CTNNA2	1168		1119						172	3	819.666666666667
ENSG00000066044	ELAVL1		696					1790			2	1243
ENSG00000066135	KDM4A					564					1	564
ENSG00000066185	ZMYND12	1395		1442							2	1418.5
ENSG00000066248	NGEF		1465								1	1465
ENSG00000066322	ELOVL1		3563	720							2	2141.5
ENSG00000066382	MPPED2	1517							193		2	855
ENSG00000066557	LRRC40			1827							1	1827
ENSG00000066583	ISOC1			2125							1	2125
ENSG00000066651	TRMT11		2107								1	2107
ENSG00000066654	THUMPD1		2083		1633						2	1858
ENSG00000066739	ATG2B		2824								1	2824
ENSG00000066777	ARFGEF1		1647		2555						2	2101
ENSG00000066933	MYO9A		1408								1	1408
ENSG00000067057	PFKP	862	1570		782					608	4	955.5
ENSG00000067064	IDI1		1724							689	2	1206.5
ENSG00000067113	PLPP1	1849		1903							2	1876
ENSG00000067167	TRAM1		1696	1337							2	1516.5
ENSG00000067177	PHKA1							2268			1	2268
ENSG00000067191	CACNB1						1482	1414			2	1448
ENSG00000067225	PKM		1616	1344	2106		507	569	667		6	1134.83333333333
ENSG00000067369	TP53BP1		1055	2013			447		897		4	1103
ENSG00000067445	TRO	2101	1850	1687	476		502	1037	477		7	1161.42857142857
ENSG00000067560	RHOA	1392		1714							2	1553
ENSG00000067596	DHX8							1303			1	1303
ENSG00000067715	SYT1	57	429	124	233	100	595	262	109	48	9	217.444444444444
ENSG00000067829	IDH3G		3518								1	3518
ENSG00000067836	ROGDI							803			1	803
ENSG00000067840	PDZD4			1667	1980						2	1823.5
ENSG00000067900	ROCK1	1553			2509		632				3	1564.66666666667
ENSG00000067955	CBFB						1601				1	1601
ENSG00000067992	PDK3			1670							1	1670
ENSG00000068001	HYAL2		1673								1	1673
ENSG00000068024	HDAC4				1629		1785				2	1707
ENSG00000068078	FGFR3	1452	319	1027	295			879			5	794.4
ENSG00000068079	IFI35	2149									1	2149
ENSG00000068120	COASY							1076			1	1076
ENSG00000068305	MEF2A		1897		740						2	1318.5
ENSG00000068308	OTUD5		817	1732							2	1274.5
ENSG00000068323	TFE3							964			1	964
ENSG00000068366	ACSL4	1850		2434						701	3	1661.66666666667
ENSG00000068400	GRIPAP1		2256								1	2256
ENSG00000068615	REEP1	1775	1148	783			1307	1985		391	6	1231.5
ENSG00000068697	LAPTM4A	1191	1306				711	845			4	1013.25
ENSG00000068724	TTC7A		2917							561	2	1739
ENSG00000068745	IP6K2		1316	2411	1152	206		2071			5	1431.2
ENSG00000068831	RASGRP2		2822	2552							2	2687
ENSG00000068903	SIRT2	1714			1538					715	3	1322.33333333333
ENSG00000068912	ERLEC1			1201	1205			542			3	982.666666666667
ENSG00000068976	PYGM				647			1694			2	1170.5
ENSG00000069122	ADGRF5				2126						1	2126
ENSG00000069188	SDK2		751		2161					182	3	1031.33333333333
ENSG00000069248	NUP133		3166					1952			2	2559
ENSG00000069275	NUCKS1		2218				1361		721	328	4	1157
ENSG00000069329	VPS35	998						528			2	763
ENSG00000069345	DNAJA2		2697								1	2697
ENSG00000069399	BCL3	1227									1	1227
ENSG00000069424	KCNAB2		1202	1562							2	1382
