Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Bipolar Disorder,Bipolar Disorder,Brain,GOLGA6L5P,ENSG00000230373.8,transcribed_unprocessed_pseudogene,FUSION,4.36E+00,1.27E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Hypothalamus,PLPBP,ENSG00000147471,protein-coding,Element-based TWAS(ETWAS),4.84E+00,1.30E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,GOLGA2P7,ENSG00000225151.10,transcribed_unprocessed_pseudogene,FUSION,4.35E+00,1.35E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,LMAN2L,ENSG00000114988.11,protein-coding,FUSION,-4.83E+00,1.36E-06,TWASP000004
Bipolar Disorder,Bipolar Disorder,Brain Cortex,H2AC18,ENSG00000288825,protein-coding,Element-based TWAS(ETWAS),-4.83E+00,1.39E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Cerebellum,FADS1,ENSG00000149485.18,protein-coding,Element-based TWAS(ETWAS),-4.82E+00,1.43E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,RFT1,ENSG00000163933.9,protein-coding,Element-based TWAS(ETWAS),5.26E+00,1.43E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,GNL3,ENSG00000163938.16,protein-coding,FUSION,4.34E+00,1.45E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,RP11-343C2.7,ENSG00000259900.5,protein-coding,FUSION,4.34E+00,1.45E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Spinal Cord,ZNF584,ENSG00000171574.17,protein-coding,Element-based TWAS(ETWAS),4.82E+00,1.45E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,SNAP91,ENSG00000065609.14,protein-coding,FUSION,5.25E+00,1.49E-07,TWASP000004
Bipolar Disorder,Bipolar Disorder,Nerve Tibial,LMBR1L,ENSG00000139636.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.25E+00,1.49E-07,TWASP000056
Bipolar Disorder,Bipolar Disorder,Nerve Tibial,LMBR1L,ENSG00000139636.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.25E+00,1.49E-07,TWASP000054
Bipolar Disorder,Bipolar Disorder,Brain Frontal Cortex,MUS81,ENSG00000172732.11,protein-coding,Element-based TWAS(ETWAS),4.81E+00,1.51E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,NMB,ENSG00000197696.9,protein-coding,FUSION,-5.25E+00,1.51E-07,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,SEMA3G,ENSG00000010319.6,protein-coding,FUSION,4.80E+00,1.60E-06,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,XPNPEP3,ENSG00000196236.12,protein-coding,FUSION,5.24E+00,1.60E-07,TWASP000083
Bipolar Disorder,Bipolar Disorder,Testis,GNL3,ENSG00000163938.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.24E+00,1.61E-07,TWASP000056
Bipolar Disorder,Bipolar Disorder,Testis,GNL3,ENSG00000163938.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.24E+00,1.61E-07,TWASP000054
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,PHF7,ENSG00000010318.20,protein-coding,Element-based TWAS(ETWAS),5.65E+00,1.61E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Frontal Cortex,GLYCTK,ENSG00000168237.17,protein-coding,Element-based TWAS(ETWAS),4.79E+00,1.65E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,TSSK6,ENSG00000178093.13,protein-coding,FUSION,5.64E+00,1.66E-08,TWASP000004
Bipolar Disorder,Bipolar Disorder,Brain Caudate Basal Ganglia,NEK4,ENSG00000114904.12,protein-coding,Element-based TWAS(ETWAS),6.03E+00,1.66E-09,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,CSPG4P11,ENSG00000259726.1,unprocessed_pseudogene,FUSION,4.79E+00,1.67E-06,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,DCLK3,ENSG00000163673.7,protein-coding,FUSION,-7.37E+00,1.67E-13,TWASP000004
Bipolar Disorder,Bipolar Disorder,Esophagus Gastroesophageal,LMBR1L,ENSG00000139636.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.23E+00,1.69E-07,TWASP000056
Bipolar Disorder,Bipolar Disorder,Esophagus Gastroesophageal,LMBR1L,ENSG00000139636.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.23E+00,1.69E-07,TWASP000054
Bipolar Disorder,Bipolar Disorder,Brain Cerebellum,CDAN1,ENSG00000140326.12,protein-coding,Element-based TWAS(ETWAS),4.78E+00,1.73E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,NEK4,ENSG00000114904.12,protein-coding,Element-based TWAS(ETWAS),4.77E+00,1.88E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,HLF,ENSG00000108924.13,protein-coding,FUSION,-4.77E+00,1.88E-06,TWASP000004
Bipolar Disorder,Bipolar Disorder,Brain,NIP7,ENSG00000132603.13,protein-coding,FUSION,-4.27E+00,1.92E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,EBV-Transformed Lymphocyte,PRKAG1,ENSG00000181929.11,protein-coding,Summary-PrediXcan(S-PrediXcan),5.62E+00,1.93E-08,TWASP000054
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,RRP9,ENSG00000114767.6,protein-coding,Element-based TWAS(ETWAS),5.62E+00,1.93E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,EBV-Transformed Lymphocyte,PRKAG1,ENSG00000181929.11,protein-coding,Summary-PrediXcan(S-PrediXcan),5.62E+00,1.93E-08,TWASP000056
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,GPR62,ENSG00000180929.5,protein-coding,Element-based TWAS(ETWAS),5.62E+00,1.94E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Cells Transformed Fibroblast,LRFN4,ENSG00000173621.8,protein-coding,Summary-PrediXcan(S-PrediXcan),5.20E+00,1.96E-07,TWASP000054
Bipolar Disorder,Bipolar Disorder,Cells Transformed Fibroblast,LRFN4,ENSG00000173621.8,protein-coding,Summary-PrediXcan(S-PrediXcan),5.20E+00,1.96E-07,TWASP000056
Bipolar Disorder,Bipolar Disorder,Brain Hypothalamus,BAP1,ENSG00000163930.9,protein-coding,Element-based TWAS(ETWAS),4.76E+00,1.98E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Hypothalamus,POC1A,ENSG00000164087.7,protein-coding,Element-based TWAS(ETWAS),5.20E+00,1.99E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Frontal Cortex,GNL3,ENSG00000163938.16,protein-coding,Element-based TWAS(ETWAS),5.20E+00,2.02E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,UBE2Q2L,ENSG00000259511.2,protein-coding,FUSION,4.25E+00,2.11E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Cerebellum,PBX4,ENSG00000105717.13,protein-coding,Element-based TWAS(ETWAS),5.60E+00,2.13E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,KIAA1143,ENSG00000163807.5,protein-coding,FUSION,4.25E+00,2.16E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Skin Sun Exposed,MUSTN1,ENSG00000272573.5,protein-coding,Summary-PrediXcan(S-PrediXcan),5.18E+00,2.16E-07,TWASP000054
Bipolar Disorder,Bipolar Disorder,Brain,GOLGA6L4,ENSG00000184206.11,protein-coding,FUSION,5.18E+00,2.23E-07,TWASP000083
Bipolar Disorder,Bipolar Disorder,Adult Cerebral Cortex,LRRC57,ENSG00000180979.9,protein-coding,FUSION,4.24E+00,2.24E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Adult Cerebral Cortex,NMB,ENSG00000197696.9,protein-coding,FUSION,4.24E+00,2.26E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Cerebellar Hemisphere,RP11-382A20.3,ENSG00000166503.8,protein-coding,Element-based TWAS(ETWAS),5.59E+00,2.32E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Cerebellar Hemisphere,HDAC5,ENSG00000108840.15,protein-coding,Element-based TWAS(ETWAS),5.58E+00,2.41E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,GLYCTK,ENSG00000168237.17,protein-coding,Element-based TWAS(ETWAS),4.71E+00,2.48E-06,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,GLT8D1,ENSG00000016864.18,protein-coding,FUSION,5.57E+00,2.56E-08,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,BMPR1B,ENSG00000138696.10,protein-coding,FUSION,-4.70E+00,2.57E-06,TWASP000004
Bipolar Disorder,Bipolar Disorder,Brain,RP11-182J1.14,ENSG00000259683.1,unprocessed_pseudogene,FUSION,-4.70E+00,2.61E-06,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,LRRC57,ENSG00000180979.9,protein-coding,FUSION,5.14E+00,2.71E-07,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,SYS1-DBNDD2,ENSG00000254806.5,protein-coding,FUSION,-4.69E+00,2.73E-06,TWASP000004
Bipolar Disorder,Bipolar Disorder,Brain,RN7SL417P,ENSG00000244056.3,misc_RNA,FUSION,-4.69E+00,2.75E-06,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,TOP3BP1,ENSG00000228050.1,processed_pseudogene,FUSION,-5.13E+00,2.84E-07,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Frontal Cortex,PACS1,ENSG00000175115.11,protein-coding,Element-based TWAS(ETWAS),5.55E+00,2.84E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Caudate Basal Ganglia,GLT8D1,ENSG00000016864.18,protein-coding,Element-based TWAS(ETWAS),5.13E+00,2.90E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Adult Cerebral Cortex,GOLGA2P7,ENSG00000225151.10,transcribed_unprocessed_pseudogene,FUSION,4.16E+00,3.13E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,TMEM258,ENSG00000134825.15,protein-coding,FUSION,4.66E+00,3.17E-06,TWASP000004
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,GNL3,ENSG00000163938.16,protein-coding,Element-based TWAS(ETWAS),5.11E+00,3.26E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,TTC39A,ENSG00000085831.15,protein-coding,FUSION,4.65E+00,3.33E-06,TWASP000004
Bipolar Disorder,Bipolar Disorder,Brain,VPS45,ENSG00000136631.12,protein-coding,FUSION,-5.10E+00,3.44E-07,TWASP000004
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,CACNA1D,ENSG00000157388.15,protein-coding,Element-based TWAS(ETWAS),5.09E+00,3.52E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,LL22NC03-86G7.1,ENSG00000224086.5,antisense,FUSION,4.63E+00,3.63E-06,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Cerebellum,ADD3,ENSG00000148700.14,protein-coding,Element-based TWAS(ETWAS),5.09E+00,3.68E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,CDKN2C,ENSG00000123080.10,protein-coding,FUSION,5.08E+00,3.73E-07,TWASP000004
Bipolar Disorder,Bipolar Disorder,Aortic Artery,LMBR1L,ENSG00000139636.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.50E+00,3.88E-08,TWASP000054
Bipolar Disorder,Bipolar Disorder,Brain Cerebellar Hemisphere,FADS1,ENSG00000149485.18,protein-coding,Element-based TWAS(ETWAS),-5.07E+00,3.90E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,ILF3,ENSG00000129351.17,protein-coding,FUSION,-5.07E+00,3.94E-07,TWASP000004
Bipolar Disorder,Bipolar Disorder,Brain,RP5-966M1.7,ENSG00000275956.1,processed_pseudogene,FUSION,5.07E+00,4.06E-07,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Substantia Nigra,LMAN2L,ENSG00000114988.11,protein-coding,Element-based TWAS(ETWAS),-5.48E+00,4.36E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,GPR62,ENSG00000180929.5,protein-coding,Element-based TWAS(ETWAS),5.47E+00,4.46E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,ZNFX1,ENSG00000124201.14,protein-coding,FUSION,4.07E+00,4.61E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,CDK10,ENSG00000185324.21,protein-coding,FUSION,4.58E+00,4.66E-06,TWASP000083
Bipolar Disorder,Bipolar Disorder,Adult Cerebral Cortex,RP11-182J1.14,ENSG00000259683.1,unprocessed_pseudogene,FUSION,-4.55E+00,5.31E-06,TWASP000083
Bipolar Disorder,Bipolar Disorder,Testis,PRKAG1,ENSG00000181929.11,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.43E+00,5.67E-08,TWASP000054
Bipolar Disorder,Bipolar Disorder,Testis,PRKAG1,ENSG00000181929.11,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.43E+00,5.67E-08,TWASP000056
Bipolar Disorder,Bipolar Disorder,Brain,SAT2,ENSG00000141504.11,protein-coding,FUSION,4.02E+00,5.87E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,NEK4,ENSG00000114904.12,protein-coding,FUSION,4.01E+00,6.02E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,GLYCTK,ENSG00000168237.17,protein-coding,Element-based TWAS(ETWAS),4.98E+00,6.25E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Nucleus Accumbens Basal Ganglia,FTCD,ENSG00000160282.13,protein-coding,Element-based TWAS(ETWAS),-5.39E+00,7.08E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Esophagus Mucosa,LMBR1L,ENSG00000139636.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.39E+00,7.11E-08,TWASP000056
Bipolar Disorder,Bipolar Disorder,Esophagus Mucosa,LMBR1L,ENSG00000139636.15,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.39E+00,7.11E-08,TWASP000054
Bipolar Disorder,Bipolar Disorder,Brain Hippocampus,H3C14,ENSG00000203811,protein-coding,Element-based TWAS(ETWAS),-4.96E+00,7.12E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Caudate Basal Ganglia,GNL3,ENSG00000163938.16,protein-coding,Element-based TWAS(ETWAS),4.96E+00,7.19E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Amygdala,NEK4,ENSG00000114904.12,protein-coding,Element-based TWAS(ETWAS),5.78E+00,7.38E-09,TWASP000174
Bipolar Disorder,Bipolar Disorder,Whole Blood,PTPRE,ENSG00000132334.16,protein-coding,PrediXcan,4.94E+00,7.71E-07,TWASP000065
Bipolar Disorder,Bipolar Disorder,Brain,CKMT1A,ENSG00000223572.9,protein-coding,FUSION,5.37E+00,7.90E-08,TWASP000004
Bipolar Disorder,Bipolar Disorder,Brain,GPN1,ENSG00000198522.13,protein-coding,FUSION,-4.47E+00,7.91E-06,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,UBE2Q2P1,ENSG00000189136.8,transcribed_unprocessed_pseudogene,FUSION,4.46E+00,8.21E-06,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,SCUBE1,ENSG00000159307.18,protein-coding,FUSION,3.94E+00,8.28E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,ARPC3,ENSG00000111229.15,protein-coding,FUSION,3.93E+00,8.35E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Spinal Cord,SEMA3G,ENSG00000010319.6,protein-coding,Element-based TWAS(ETWAS),4.93E+00,8.40E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,NT5DC2,ENSG00000168268.10,protein-coding,FUSION,3.92E+00,8.69E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,DNM1P51,ENSG00000235370.6,transcribed_unprocessed_pseudogene,FUSION,3.92E+00,8.83E-05,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,RHEBL1,ENSG00000167550.10,protein-coding,Summary-PrediXcan(S-PrediXcan),5.34E+00,9.21E-08,TWASP000054
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,RHEBL1,ENSG00000167550.10,protein-coding,Summary-PrediXcan(S-PrediXcan),5.34E+00,9.21E-08,TWASP000056
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,DUSP7,ENSG00000164086.9,protein-coding,Element-based TWAS(ETWAS),4.91E+00,9.29E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Cerebellar Hemisphere,ASB16,ENSG00000161664.6,protein-coding,Element-based TWAS(ETWAS),5.34E+00,9.29E-08,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain,PACS1,ENSG00000175115.11,protein-coding,FUSION,5.74E+00,9.70E-09,TWASP000083
Bipolar Disorder,Bipolar Disorder,Brain,RP11-182J1.10,ENSG00000259551.1,lincRNA,FUSION,4.90E+00,9.72E-07,TWASP000004
Bipolar Disorder,Bipolar Disorder,Amygdala,TKT,ENSG00000163931.15,protein-coding,Element-based TWAS(ETWAS),4.90E+00,9.81E-07,TWASP000174
Bipolar Disorder,Bipolar Disorder,Brain Frontal Cortex,BCKDK,ENSG00000103507.13,protein-coding,-,-,1.00E-07,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Hypothalamus,AS3MT,ENSG00000214435.7,protein-coding,-,-,1.02E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Colon Transverse,VPS45,ENSG00000136631.12,protein-coding,-,-,1.03E-28,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Nucleus Accumbens,SPSB3,ENSG00000162032.15,protein-coding,-,-,1.03E-41,TWASP000194
Bipolar Disorder,Bipolar Disorder,Esophagus Mucosa,TNFRSF18,ENSG00000186891.13,protein-coding,-,-,1.04E-10,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Cortex,ZNF197,ENSG00000186448.14,protein-coding,-,-,1.04E-10,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Hippocampus,CTF1,ENSG00000150281.6,protein-coding,-,-,1.04E-12,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Hypothalamus,VPS45,ENSG00000136631.12,protein-coding,-,-,1.06E-12,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Cortex,PRKAR2A,ENSG00000114302.15,protein-coding,-,-,1.07E-08,TWASP000194
Bipolar Disorder,Bipolar Disorder,Esophagus Mucosa,UBE2J2,ENSG00000160087.20,protein-coding,-,-,1.07E-55,TWASP000194
Bipolar Disorder,Bipolar Disorder,Esophagus Mucosa,COL7A1,ENSG00000114270.17,protein-coding,-,-,1.09E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Whole Blood,SLC48A1,ENSG00000211584.13,protein-coding,Kernel-based TWAS(kTWAS),-,1.12E-06,TWASP000182
Bipolar Disorder,Bipolar Disorder,Small Intestine,TMEM258,ENSG00000134825.15,protein-coding,-,-,1.13E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Liver,LRRFIP2,ENSG00000093167.17,protein-coding,-,-,1.14E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Pancreas,CDK11B,ENSG00000248333.8,protein-coding,-,-,1.15E-07,TWASP000194
Bipolar Disorder,Bipolar Disorder,Esophagus Mucosa,SFMBT1,ENSG00000163935.13,protein-coding,-,-,1.15E-10,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Nucleus Accumbens,BCL7A,ENSG00000110987.8,protein-coding,-,-,1.18E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Anterior Cingulate Cortex,SLC22A9,ENSG00000149742.9,protein-coding,-,-,1.20E-15,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Cerebellum,GDPD3,ENSG00000102886.14,protein-coding,-,-,1.21E-08,TWASP000194
Bipolar Disorder,Bipolar Disorder,Liver,UQCR10,ENSG00000184076.13,protein-coding,-,-,1.23E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Liver,ZNF823,ENSG00000197933.12,protein-coding,-,-,1.24E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Skin Sun Exposed,MUSTN1,ENSG00000272573.5,protein-coding,Summary-MultiXcan(S-MultiXcan),-,1.24E-07,TWASP000056
Bipolar Disorder,Bipolar Disorder,Brain Cortex,RNF123,ENSG00000164068.15,protein-coding,-,-,1.25E-10,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Cortex,INKA1,ENSG00000185614,protein-coding,-,-,1.26E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,NDST3,ENSG00000164100.8,protein-coding,-,-,1.26E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Esophagus Gastroesophageal,ECI1,ENSG00000167969.12,protein-coding,-,-,1.31E-28,TWASP000194
Bipolar Disorder,Bipolar Disorder,Whole Blood,MTRFR,ENSG00000130921,protein-coding,-,-,1.32E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,ZNF646,ENSG00000167395.10,protein-coding,-,-,1.32E-11,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Hippocampus,ADCK5,ENSG00000173137.11,protein-coding,-,-,1.32E-50,TWASP000194
Bipolar Disorder,Bipolar Disorder,Esophagus Gastroesophageal,MAPK3,ENSG00000102882.11,protein-coding,-,-,1.33E-09,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Cerebellum,DCTPP1,ENSG00000179958.8,protein-coding,-,-,1.33E-10,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Cerebellum,FOXD4L6,ENSG00000273514.1,protein-coding,-,-,1.34E-08,TWASP000194
Bipolar Disorder,Bipolar Disorder,Dorsal Lateral Prefrontal Cortex,TRANK1,ENSG00000168016.13,protein-coding,Summary data-based Mendelian Randomization(SMR),-,1.34E-09,TWASP000097
Bipolar Disorder,Bipolar Disorder,Brain Hippocampus,VPS45,ENSG00000136631.12,protein-coding,-,-,1.35E-09,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Hippocampus,ZNF668,ENSG00000167394.12,protein-coding,-,-,1.37E-11,TWASP000194
Bipolar Disorder,Bipolar Disorder,Esophagus Gastroesophageal,CTF1,ENSG00000150281.6,protein-coding,-,-,1.38E-08,TWASP000194
Bipolar Disorder,Bipolar Disorder,Small Intestine,NDUFAF3,ENSG00000178057.14,protein-coding,-,-,1.38E-08,TWASP000194
Bipolar Disorder,Bipolar Disorder,Colon Transverse,PCDHA6,ENSG00000081842.17,protein-coding,-,-,1.39E-10,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Cerebellar Hemisphere,FAM193A,ENSG00000125386.15,protein-coding,-,-,1.39E-46,TWASP000194
Bipolar Disorder,Bipolar Disorder,Colon Sigmoid,SHISA5,ENSG00000164054.15,protein-coding,-,-,1.41E-09,TWASP000194
Bipolar Disorder,Bipolar Disorder,Esophagus Gastroesophageal,ZNF646,ENSG00000167395.10,protein-coding,-,-,1.41E-10,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Hypothalamus,DCTPP1,ENSG00000179958.8,protein-coding,-,-,1.43E-17,TWASP000194
Bipolar Disorder,Bipolar Disorder,Pancreas,SKI,ENSG00000157933.9,protein-coding,-,-,1.44E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Hippocampus,CACNA2D4,ENSG00000151062.14,protein-coding,-,-,1.47E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Colon Sigmoid,MRPS33,ENSG00000090263.15,protein-coding,-,-,1.50E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Cerebellum,MRPL37,ENSG00000116221.15,protein-coding,-,-,1.50E-06,TWASP000194
Bipolar Disorder,Bipolar Disorder,Small Intestine,MLLT11,ENSG00000213190.3,protein-coding,-,-,1.51E-07,TWASP000194
Bipolar Disorder,Bipolar Disorder,Brain Putamen Basal Ganglia,ARL3,ENSG00000138175.8,protein-coding,-,-,1.51E-07,TWASP000194
