Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Body Mass Index,Body Mass Index,Pituitary,CCDC171,ENSG00000164989.16,protein-coding,PrediXcan,7.13E+00,1.01E-12,TWASP000056
Body Mass Index,Body Mass Index,Small Intestine-Terminal Ileum,POC5,ENSG00000152359.14,protein-coding,PrediXcan,7.74E+00,1.01E-14,TWASP000056
Body Mass Index,Body Mass Index,Artery Tibia,NPIPB7,ENSG00000233232.6,protein-coding,FUSION,-8.30E+00,1.01E-16,TWASP000150
Body Mass Index,Body Mass Index,Whole Blood,POLL,ENSG00000166169.16,protein-coding,Linear Regression Models,1.46E-02,1.01E-19,TWASP000012
Body Mass Index,Body Mass Index,Thyroid,SKIV2L,ENSG00000204351.11,protein-coding,PrediXcan,9.09E+00,1.01E-19,TWASP000056
Body Mass Index,Body Mass Index,Cells Transformed Fibroblast,EFEMP2,ENSG00000172638.12,protein-coding,PrediXcan,-9.34E+00,1.01E-20,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,HAL,ENSG00000084110.10,protein-coding,Linear Regression Models,-6.90E-03,1.02E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,PITPNA,ENSG00000174238.14,protein-coding,Linear Regression Models,-4.70E-03,1.02E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,AHCY,ENSG00000101444.12,protein-coding,Linear Regression Models,-5.50E-03,1.02E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,NCSTN,ENSG00000162736.15,protein-coding,Linear Regression Models,-6.30E-03,1.02E-05,TWASP000012
Body Mass Index,Body Mass Index,Nerve Tibial,MAP2K5,ENSG00000137764.19,protein-coding,FUSION,-4.89E+00,1.02E-06,TWASP000003
Body Mass Index,Body Mass Index,Whole Blood,CYP4F22,ENSG00000171954.12,protein-coding,Linear Regression Models,8.70E-03,1.02E-06,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,CYB5R3,ENSG00000100243.20,protein-coding,Linear Regression Models,6.60E-03,1.02E-07,TWASP000012
Body Mass Index,Body Mass Index,Pancreas,GIPC2,ENSG00000137960.5,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.02E-07,TWASP000054
Body Mass Index,Body Mass Index,Lung,CARF,ENSG00000138380.17,protein-coding,PrediXcan,-5.32E+00,1.02E-07,TWASP000056
Body Mass Index,Body Mass Index,Adrenal Gland,SRR,ENSG00000167720.12,protein-coding,PrediXcan,-5.32E+00,1.02E-07,TWASP000056
Body Mass Index,Body Mass Index,Pancreas,GIPC2,ENSG00000137960.5,protein-coding,Summary-PrediXcan(S-PrediXcan),5.32E+00,1.02E-07,TWASP000056
Body Mass Index,Body Mass Index,Spleen,ADORA2B,ENSG00000170425.3,protein-coding,PrediXcan,5.32E+00,1.02E-07,TWASP000056
Body Mass Index,Body Mass Index,Nerve Tibial,VPS11,ENSG00000160695.14,protein-coding,PrediXcan,5.32E+00,1.02E-07,TWASP000056
Body Mass Index,Body Mass Index,Heart Left Ventricle,ICA1L,ENSG00000163596.16,protein-coding,PrediXcan,5.32E+00,1.02E-07,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,NEXN,ENSG00000162614.18,protein-coding,PrediXcan,-5.32E+00,1.02E-07,TWASP000056
Body Mass Index,Body Mass Index,Aortic Artery,FHIP1A,ENSG00000164142,protein-coding,PrediXcan,-5.73E+00,1.02E-08,TWASP000056
Body Mass Index,Body Mass Index,Colon Sigmoid,INVS,ENSG00000119509.12,protein-coding,PrediXcan,-5.73E+00,1.02E-08,TWASP000056
Body Mass Index,Body Mass Index,Esophagus Muscularis,SUOX,ENSG00000139531.12,protein-coding,PrediXcan,-5.73E+00,1.02E-08,TWASP000056
Body Mass Index,Body Mass Index,Brain Cerebellum,KLHL40,ENSG00000157119.11,protein-coding,PrediXcan,-5.73E+00,1.02E-08,TWASP000056
Body Mass Index,Body Mass Index,Spleen,CTNNAL1,ENSG00000119326.14,protein-coding,PrediXcan,-6.11E+00,1.02E-09,TWASP000056
Body Mass Index,Body Mass Index,Pituitary,COG8,ENSG00000213380.14,protein-coding,PrediXcan,-6.11E+00,1.02E-09,TWASP000056
Body Mass Index,Body Mass Index,Heart Atrial Appendage,ATP5MC1,ENSG00000159199,protein-coding,PrediXcan,-6.11E+00,1.02E-09,TWASP000056
Body Mass Index,Body Mass Index,Spleen,SUOX,ENSG00000139531.12,protein-coding,PrediXcan,-6.11E+00,1.02E-09,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,CISD2,ENSG00000145354.9,protein-coding,Linear Regression Models,9.10E-03,1.02E-09,TWASP000012
Body Mass Index,Body Mass Index,Brain Hypothalamus,SNX32,ENSG00000172803.17,protein-coding,PrediXcan,-6.46E+00,1.02E-10,TWASP000056
Body Mass Index,Body Mass Index,Adipose,GDPD3,ENSG00000102886.14,protein-coding,PrediXcan,6.46E+00,1.02E-10,TWASP000056
Body Mass Index,Body Mass Index,Skin Not Sun Exposed,CHTF8,ENSG00000168802.12,protein-coding,PrediXcan,-6.80E+00,1.02E-11,TWASP000056
Body Mass index Standard Deviation Score,Body Mass Index,Adipose,CENPO,ENSG00000138092.10,protein-coding,Summary-PrediXcan(S-PrediXcan),6.80E+00,1.02E-11,TWASP000054
Body Mass Index,Body Mass Index,Skin Sun Exposed,SNX32,ENSG00000172803.17,protein-coding,PrediXcan,-6.80E+00,1.02E-11,TWASP000056
Body Mass index Standard Deviation Score,Body Mass Index,Adipose,CENPO,ENSG00000138092.10,protein-coding,Summary-PrediXcan(S-PrediXcan),6.80E+00,1.02E-11,TWASP000056
Body Mass Index,Body Mass Index,Esophagus Gastroesophageal,SF3B3,ENSG00000189091.12,protein-coding,PrediXcan,-7.13E+00,1.02E-12,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,ATP5MF,ENSG00000241468,protein-coding,Linear Regression Models,9.60E-03,1.02E-12,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,ULK1,ENSG00000177169.9,protein-coding,Linear Regression Models,-1.04E-02,1.02E-12,TWASP000012
Body Mass Index,Body Mass Index,Pancreas,KNOP1,ENSG00000103550.13,protein-coding,PrediXcan,7.13E+00,1.02E-12,TWASP000056
Body Mass Index,Body Mass Index,Nerve Tibial,C1QTNF4,ENSG00000172247.3,protein-coding,Summary-PrediXcan(S-PrediXcan),-8.02E+00,1.02E-15,TWASP000056
Body Mass Index,Body Mass Index,Nerve Tibial,C1QTNF4,ENSG00000172247.3,protein-coding,Summary-PrediXcan(S-PrediXcan),-8.02E+00,1.02E-15,TWASP000054
Body Mass Index,Body Mass Index,Brain Nucleus Accumbens,CCDC171,ENSG00000164989.16,protein-coding,PrediXcan,8.30E+00,1.02E-16,TWASP000056
Body Mass Index,Body Mass Index,Brain,NFATC2IP,ENSG00000176953.12,protein-coding,FUSION,-8.57E+00,1.02E-17,TWASP000003
Body Mass Index,Body Mass Index,Whole Blood,RPS15A,ENSG00000134419.15,protein-coding,Linear Regression Models,2.98E-02,1.02E-20,TWASP000012
Body Mass Index,Body Mass Index,Adrenal Gland,RNF40,ENSG00000103549.21,protein-coding,PrediXcan,9.33E+00,1.02E-20,TWASP000056
Body Mass Index,Body Mass Index,Adipose,SKOR1,ENSG00000188779.10,protein-coding,PrediXcan,-9.81E+00,1.02E-22,TWASP000056
Body Mass Index,Body Mass Index,Cells Transformed Fibroblast,C1QTNF4,ENSG00000172247.3,protein-coding,PrediXcan,1.05E+01,1.02E-25,TWASP000056
Body Mass Index,Body Mass Index,Pituitary,GPX1,ENSG00000233276.3,protein-coding,PrediXcan,-1.11E+01,1.02E-28,TWASP000056
Body Mass Index,Body Mass Index,Prostate,SULT1A2,ENSG00000197165.10,protein-coding,PrediXcan,-1.13E+01,1.02E-29,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,MSL3,ENSG00000005302.17,protein-coding,Linear Regression Models,6.20E-03,1.03E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,SHOC1,ENSG00000165181,protein-coding,Linear Regression Models,4.70E-03,1.03E-05,TWASP000012
Body Mass Index,Body Mass Index,Putamen Basal Ganglia,GOSR2,ENSG00000108433.16,protein-coding,FUSION,-4.41E+00,1.03E-05,TWASP000150
Body Mass Index,Body Mass Index,Blood,UHRF1BP1,ENSG00000065060.16,protein-coding,FUSION,-4.88E+00,1.03E-06,TWASP000003
Body Mass Index,Body Mass Index,Breast Mammary Tissue,MVP,ENSG00000013364.18,protein-coding,FUSION,4.89E+00,1.03E-06,TWASP000150
Body Mass Index,Body Mass Index,Whole Blood,ITCH-IT1,ENSG00000231795.1,sense_intronic,Linear Regression Models,-9.20E-03,1.03E-06,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,ILVBL,ENSG00000105135.15,protein-coding,Linear Regression Models,-6.10E-03,1.03E-06,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,ESRRA,ENSG00000173153.13,protein-coding,Linear Regression Models,-6.10E-03,1.03E-06,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,FXYD6,ENSG00000137726.16,protein-coding,Linear Regression Models,-5.90E-03,1.03E-06,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,ZNF394,ENSG00000160908.14,protein-coding,Linear Regression Models,-8.70E-03,1.03E-06,TWASP000012
Body Mass Index,Body Mass Index,Aortic Artery,RP9,ENSG00000164610.8,protein-coding,PrediXcan,5.32E+00,1.03E-07,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,INO80D,ENSG00000114933.15,protein-coding,Linear Regression Models,-6.30E-03,1.03E-07,TWASP000012
Body Mass Index,Body Mass Index,Nerve Tibial,PRSS36,ENSG00000178226.10,protein-coding,PrediXcan,5.32E+00,1.03E-07,TWASP000056
Body Mass Index,Body Mass Index,Colon Sigmoid,SMN2,ENSG00000205571.13,protein-coding,PrediXcan,5.32E+00,1.03E-07,TWASP000056
Body Mass Index,Body Mass Index,Brain Cerebellar Hemisphere,CYB561D2,ENSG00000114395.10,protein-coding,PrediXcan,-5.73E+00,1.03E-08,TWASP000056
Body Mass Index,Body Mass Index,Skin Not Sun Exposed,PRR14,ENSG00000156858.11,protein-coding,PrediXcan,5.73E+00,1.03E-08,TWASP000056
Body Mass Index,Body Mass Index,EBV-Transformed Lymphocyte,KNOP1,ENSG00000103550.13,protein-coding,PrediXcan,5.73E+00,1.03E-08,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,COPZ1,ENSG00000111481.9,protein-coding,Linear Regression Models,7.00E-03,1.03E-08,TWASP000012
Body Mass Index,Body Mass Index,Colon Transverse,SLC5A11,ENSG00000158865.12,protein-coding,PrediXcan,5.73E+00,1.03E-08,TWASP000056
Body Mass Index,Body Mass Index,Breast Mammary Tissue,MAP2K5,ENSG00000137764.19,protein-coding,FUSION,6.10E+00,1.03E-09,TWASP000150
Body Mass Index,Body Mass Index,Heart Atrial Appendage,HPR,ENSG00000261701.6,protein-coding,PrediXcan,-6.10E+00,1.03E-09,TWASP000056
Body Mass Index,Body Mass Index,Adrenal Gland,ERCC8,ENSG00000049167.13,protein-coding,PrediXcan,-6.10E+00,1.03E-09,TWASP000056
Body Mass Index,Body Mass Index,Nerve Tibial,HEMK1,ENSG00000114735.9,protein-coding,PrediXcan,-6.10E+00,1.03E-09,TWASP000056
Body Mass Index,Body Mass Index,Anterior Cingulate Cortex,RBL2,ENSG00000103479.15,protein-coding,FUSION,-6.80E+00,1.03E-11,TWASP000150
Body Mass Index,Body Mass Index,Whole Blood,MXI1,ENSG00000119950.20,protein-coding,Linear Regression Models,9.40E-03,1.03E-12,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,CYP4F3,ENSG00000186529.15,protein-coding,Linear Regression Models,-1.74E-02,1.03E-12,TWASP000012
Body Mass Index,Body Mass Index,Liver,SH2B1,ENSG00000178188.14,protein-coding,PrediXcan,7.13E+00,1.03E-12,TWASP000056
Body Mass Index,Body Mass Index,Cells Transformed Fibroblast,AARS1,ENSG00000090861,protein-coding,PrediXcan,-7.44E+00,1.03E-13,TWASP000056
Body Mass Index,Body Mass Index,Brain Frontal Cortex,HYAL3,ENSG00000186792.16,protein-coding,PrediXcan,7.74E+00,1.03E-14,TWASP000056
Body Mass Index,Body Mass Index,Adipose,POC5,ENSG00000152359.14,protein-coding,PrediXcan,8.02E+00,1.03E-15,TWASP000056
Body Mass Index,Body Mass Index,Heart Left Ventricle,HSD17B12,ENSG00000149084.12,protein-coding,PrediXcan,8.57E+00,1.03E-17,TWASP000056
Body Mass Index,Body Mass Index,Skin Not Sun Exposed,CTSW,ENSG00000172543.7,protein-coding,PrediXcan,8.57E+00,1.03E-17,TWASP000056
Body Mass Index,Body Mass Index,Muscle Skeletal,TRIM73,ENSG00000178809.11,protein-coding,PrediXcan,8.83E+00,1.03E-18,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,CPT2,ENSG00000157184.6,protein-coding,Linear Regression Models,-9.70E-03,1.03E-18,TWASP000012
Body Mass Index,Body Mass Index,Skin Sun Exposed,FUBP1,ENSG00000162613.16,protein-coding,PrediXcan,9.81E+00,1.03E-22,TWASP000056
Body Mass Index,Body Mass Index,Brain Nucleus Accumbens,RNF123,ENSG00000164068.15,protein-coding,PrediXcan,-1.27E+01,1.03E-36,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,HAGH,ENSG00000063854.12,protein-coding,Linear Regression Models,3.98E-02,1.03E-39,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,CENPO,ENSG00000138092.10,protein-coding,PrediXcan,-1.44E+01,1.03E-46,TWASP000056
Body Mass Index,Body Mass Index,Amygdala,EFCAB13,ENSG00000178852.15,protein-coding,FUSION,-4.41E+00,1.04E-05,TWASP000150
Body Mass Index,Body Mass Index,Whole Blood,HNRNPK,ENSG00000165119.20,protein-coding,Linear Regression Models,-6.30E-03,1.04E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,DGCR8,ENSG00000128191.15,protein-coding,Linear Regression Models,6.20E-03,1.04E-05,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,HIVEP1,ENSG00000095951.16,protein-coding,Linear Regression Models,-5.30E-03,1.04E-06,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,SAMSN1,ENSG00000155307.17,protein-coding,Linear Regression Models,-8.40E-03,1.04E-06,TWASP000012
Body Mass Index,Body Mass Index,Skin Sun Exposed,AP1S1,ENSG00000106367.13,protein-coding,PrediXcan,-5.32E+00,1.04E-07,TWASP000056
Body Mass Index,Body Mass Index,Breast Mammary Tissue,SKOR1,ENSG00000188779.10,protein-coding,FUSION,5.32E+00,1.04E-07,TWASP000150
Body Mass Index,Body Mass Index,Whole Blood,LILRB2,ENSG00000131042.14,protein-coding,Linear Regression Models,-8.50E-03,1.04E-07,TWASP000012
Body Mass Index,Body Mass Index,Muscle Skeletal,BOLA2B,ENSG00000169627.7,protein-coding,PrediXcan,5.32E+00,1.04E-07,TWASP000056
Body Mass Index,Body Mass Index,Breast Mammary Tissue,SUOX,ENSG00000139531.12,protein-coding,PrediXcan,-5.32E+00,1.04E-07,TWASP000056
Body Mass Index,Body Mass Index,Esophagus Mucosa,EXOSC10,ENSG00000171824.13,protein-coding,PrediXcan,-5.32E+00,1.04E-07,TWASP000056
Body Mass Index,Body Mass Index,Brain Hippocampus,BUD31,ENSG00000106245.10,protein-coding,PrediXcan,-5.72E+00,1.04E-08,TWASP000056
Body Mass Index,Body Mass Index,Esophagus Mucosa,UHRF1BP1,ENSG00000065060.16,protein-coding,FUSION,-5.72E+00,1.04E-08,TWASP000003
Body Mass Index,Body Mass Index,Whole Blood,RPS3A,ENSG00000145425.9,protein-coding,Linear Regression Models,2.02E-02,1.04E-08,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,BOLA2,ENSG00000183336.8,protein-coding,Linear Regression Models,7.40E-03,1.04E-08,TWASP000012
Body Mass Index,Body Mass Index,Adipose,RPS18,ENSG00000231500.6,protein-coding,PrediXcan,-5.72E+00,1.04E-08,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,BOLA3,ENSG00000163170.11,protein-coding,Linear Regression Models,8.10E-03,1.04E-08,TWASP000012
Body Mass Index,Body Mass Index,Brain Nucleus Accumbens,RPL3,ENSG00000100316.15,protein-coding,PrediXcan,5.72E+00,1.04E-08,TWASP000056
Body Mass Index,Body Mass Index,Adipose,RMC1,ENSG00000141452,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.72E+00,1.04E-08,TWASP000056
Body Mass Index,Body Mass Index,Adipose,RMC1,ENSG00000141452,protein-coding,Summary-PrediXcan(S-PrediXcan),-5.72E+00,1.04E-08,TWASP000054
Body Mass Index,Body Mass Index,Whole Blood,TIMM23,ENSG00000265354.3,protein-coding,Linear Regression Models,9.40E-03,1.04E-08,TWASP000012
Body Mass Index,Body Mass Index,Thyroid,BTBD2,ENSG00000133243.8,protein-coding,PrediXcan,6.10E+00,1.04E-09,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,MSN,ENSG00000147065.16,protein-coding,Linear Regression Models,-8.60E-03,1.04E-09,TWASP000012
Body Mass Index,Body Mass Index,Whole Blood,RRAS,ENSG00000126458.3,protein-coding,Linear Regression Models,9.30E-03,1.04E-09,TWASP000012
Body Mass Index,Body Mass Index,Lung,AC002550.5,ENSG00000261312.1,antisense,FUSION,6.10E+00,1.04E-09,TWASP000003
Body Mass Index,Body Mass Index,Whole Blood,INPP5A,ENSG00000068383.18,protein-coding,Linear Regression Models,-8.20E-03,1.04E-09,TWASP000012
Body Mass Index,Body Mass Index,Testis,SUOX,ENSG00000139531.12,protein-coding,PrediXcan,-6.10E+00,1.04E-09,TWASP000056
Body Mass Index,Body Mass Index,Heart Left Ventricle,HFE,ENSG00000010704.18,protein-coding,PrediXcan,6.10E+00,1.04E-09,TWASP000056
Body Mass Index,Body Mass Index,Breast Mammary Tissue,AC002550.5,ENSG00000261312.1,antisense,FUSION,6.46E+00,1.04E-10,TWASP000003
Body Mass Index,Body Mass Index,Liver,C1QTNF4,ENSG00000172247.3,protein-coding,Summary-PrediXcan(S-PrediXcan),-6.46E+00,1.04E-10,TWASP000056
Body Mass Index,Body Mass Index,Whole Blood,AGAP6,ENSG00000204149.10,protein-coding,Linear Regression Models,-9.50E-03,1.04E-10,TWASP000012
Body Mass Index,Body Mass Index,Aortic Artery,SGF29,ENSG00000176476.8,protein-coding,FUSION,-6.46E+00,1.04E-10,TWASP000150
Body Mass Index,Body Mass Index,Whole Blood,GNAI2,ENSG00000114353.16,protein-coding,Linear Regression Models,-8.20E-03,1.04E-10,TWASP000012
Body Mass Index,Body Mass Index,Liver,KAT8,ENSG00000103510.19,protein-coding,PrediXcan,-6.46E+00,1.04E-10,TWASP000056
Body Mass Index,Body Mass Index,Adipose,CRIPT,ENSG00000119878.5,protein-coding,PrediXcan,6.46E+00,1.04E-10,TWASP000056
Body Mass Index,Body Mass Index,Liver,C1QTNF4,ENSG00000172247.3,protein-coding,Summary-PrediXcan(S-PrediXcan),-6.46E+00,1.04E-10,TWASP000054
Body Mass Index,Body Mass Index,Cells Transformed Fibroblast,HYAL1,ENSG00000114378.16,protein-coding,PrediXcan,-6.80E+00,1.04E-11,TWASP000056
Body Mass Index,Body Mass Index,Nerve Tibial,ANAPC4,ENSG00000053900.10,protein-coding,PrediXcan,-6.80E+00,1.04E-11,TWASP000056
Body Mass Index,Body Mass Index,Skin Sun Exposed,EXOSC6,ENSG00000223496.2,protein-coding,PrediXcan,7.13E+00,1.04E-12,TWASP000056
Body Mass Index,Body Mass Index,Skin Sun Exposed,EIF3CL,ENSG00000205609.12,protein-coding,Summary-PrediXcan(S-PrediXcan),7.13E+00,1.04E-12,TWASP000056
Body Mass Index,Body Mass Index,Skin Sun Exposed,EIF3CL,ENSG00000205609.12,protein-coding,Summary-PrediXcan(S-PrediXcan),7.13E+00,1.04E-12,TWASP000054
