Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Nucleus Accumbens,LSG1,ENSG00000041802.10,protein-coding,FUSION,4.39E+00,1.14E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellum,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.86E+00,1.17E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,ELOVL1,ENSG00000066322.14,protein-coding,FUSION,5.30E+00,1.18E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hippocampus,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.38E+00,1.20E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,HYAL3,ENSG00000186792.16,protein-coding,FUSION,-4.38E+00,1.20E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain,TIE1,ENSG00000066056.13,protein-coding,FUSION,4.86E+00,1.20E-06,TWASP000083
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hippocampus,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.37E+00,1.23E-05,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellum,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.85E+00,1.26E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Caudate Basal Ganglia,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.84E+00,1.30E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,TIE1,ENSG00000066056.13,protein-coding,FUSION,5.28E+00,1.31E-07,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Putamen Basal Ganglia,ARTN,ENSG00000117407.16,protein-coding,FUSION,5.68E+00,1.31E-08,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,RPLP2,ENSG00000177600.8,protein-coding,FUSION,-4.84E+00,1.32E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Nucleus Accumbens,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.36E+00,1.33E-05,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Nucleus Accumbens,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.83E+00,1.33E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Adipose,FOXP2,ENSG00000128573.24,protein-coding,FUSION,-5.27E+00,1.33E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,LRRC37A15P,ENSG00000230069.3,processed_pseudogene,FUSION,4.83E+00,1.34E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Frontal Cortex,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.35E+00,1.39E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Thyroid,RP11-1109F11.5,ENSG00000271259.1,lincRNA,FUSION,5.26E+00,1.41E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,LRRC37A15P,ENSG00000230069.3,processed_pseudogene,FUSION,4.82E+00,1.43E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Adipose,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.82E+00,1.43E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,MANBA,ENSG00000109323.8,protein-coding,FUSION,5.26E+00,1.43E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Caudate Basal Ganglia,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.82E+00,1.45E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Colon Transverse,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.82E+00,1.47E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Whole Blood,AP006621.5,ENSG00000255284.1,lincRNA,Summary data-based Mendelian Randomization(SMR),1.60E-01,1.50E-06,TWASP000098
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,RP11-10L12.2,ENSG00000251288.2,processed_pseudogene,FUSION,4.32E+00,1.53E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,CDHR5,ENSG00000099834.18,protein-coding,FUSION,-4.80E+00,1.58E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,ARTN,ENSG00000117407.16,protein-coding,FUSION,5.65E+00,1.59E-08,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain,AMT,ENSG00000145020.15,protein-coding,FUSION,-4.31E+00,1.60E-05,TWASP000083
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Nucleus Accumbens,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.80E+00,1.60E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,ELOVL1,ENSG00000066322.14,protein-coding,FUSION,5.65E+00,1.62E-08,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,MANBA,ENSG00000109323.8,protein-coding,FUSION,-4.30E+00,1.70E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Colon Transverse,KRT8P46,ENSG00000248971.2,processed_pseudogene,FUSION,4.78E+00,1.76E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Putamen Basal Ganglia,GMPPB,ENSG00000173540.12,protein-coding,FUSION,4.29E+00,1.78E-05,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,MED8,ENSG00000159479.16,protein-coding,FUSION,-5.22E+00,1.80E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellum,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.77E+00,1.83E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Anterior Cingulate Cortex,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.77E+00,1.83E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Anterior Cingulate Cortex,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.77E+00,1.83E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Colon Sigmoid,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.77E+00,1.83E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,TIE1,ENSG00000066056.13,protein-coding,FUSION,5.20E+00,1.96E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Adipose,TIE1,ENSG00000066056.13,protein-coding,FUSION,5.20E+00,1.96E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellum,MANBA,ENSG00000109323.8,protein-coding,FUSION,4.27E+00,1.97E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain,CMB9-55F22.1,ENSG00000279672.1,TEC,FUSION,4.27E+00,1.98E-05,TWASP000083
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hippocampus,H2AC20,ENSG00000184260,protein-coding,FUSION,4.76E+00,1.98E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Nucleus Accumbens,CTC-498M16.4,ENSG00000271904.1,lincRNA,FUSION,-4.26E+00,2.03E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hypothalamus,LRRC37A15P,ENSG00000230069.3,processed_pseudogene,FUSION,4.26E+00,2.03E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hypothalamus,LRRC37A15P,ENSG00000230069.3,processed_pseudogene,FUSION,4.26E+00,2.03E-05,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,MANBA,ENSG00000109323.8,protein-coding,FUSION,5.20E+00,2.04E-07,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,CISD2,ENSG00000145354.9,protein-coding,FUSION,-4.26E+00,2.06E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.74E+00,2.09E-06,TWASP000083
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Amygdala,CTC-498M16.4,ENSG00000271904.1,lincRNA,FUSION,-4.74E+00,2.10E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.74E+00,2.11E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Amygdala,ENPP7P4,ENSG00000241278.1,unprocessed_pseudogene,FUSION,-4.25E+00,2.16E-05,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cortex,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.73E+00,2.21E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Adipose,CCDC138,ENSG00000163006.11,protein-coding,FUSION,-4.73E+00,2.21E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Adipose,GMPPB,ENSG00000173540.12,protein-coding,FUSION,4.73E+00,2.24E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.72E+00,2.32E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Anterior Cingulate Cortex,AMT,ENSG00000145020.15,protein-coding,FUSION,-4.22E+00,2.49E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.71E+00,2.51E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.71E+00,2.51E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,PNPLA2,ENSG00000177666.16,protein-coding,FUSION,-4.71E+00,2.51E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,RPLP2,ENSG00000177600.8,protein-coding,FUSION,-4.71E+00,2.51E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,PNPLA2,ENSG00000177666.16,protein-coding,FUSION,-4.70E+00,2.55E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hypothalamus,ZNF251,ENSG00000198169.8,protein-coding,FUSION,-4.21E+00,2.57E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Thyroid,LRRC37A15P,ENSG00000230069.3,processed_pseudogene,FUSION,4.70E+00,2.59E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain,NPY5R,ENSG00000164129.11,protein-coding,FUSION,4.21E+00,2.60E-05,TWASP000083
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Colon Transverse,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.70E+00,2.63E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Thyroid,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.69E+00,2.71E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,MED8,ENSG00000159479.16,protein-coding,FUSION,-5.14E+00,2.72E-07,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Adipose,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.69E+00,2.73E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Whole Blood,MED8,ENSG00000159479.16,protein-coding,Summary data-based Mendelian Randomization(SMR),3.10E-01,2.80E-07,TWASP000098
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Thyroid,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.68E+00,2.86E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Colon Transverse,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.68E+00,2.86E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cortex,LSG1,ENSG00000041802.10,protein-coding,FUSION,4.18E+00,2.88E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,CACNA1D,ENSG00000157388.15,protein-coding,FUSION,-4.18E+00,2.89E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Thyroid,KRT8P46,ENSG00000248971.2,processed_pseudogene,FUSION,4.68E+00,2.91E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Anterior Cingulate Cortex,RP5-1159O4.1,ENSG00000272894.5,lincRNA,FUSION,4.18E+00,2.92E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,HYAL3,ENSG00000186792.16,protein-coding,FUSION,-4.18E+00,2.96E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Frontal Cortex,PNPLA2,ENSG00000177666.16,protein-coding,FUSION,-4.67E+00,2.96E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Frontal Cortex,PNPLA2,ENSG00000177666.16,protein-coding,FUSION,-4.67E+00,3.03E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain,ST3GAL3,ENSG00000126091.19,protein-coding,FUSION,7.29E+00,3.06E-13,TWASP000083
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Anterior Cingulate Cortex,TXNL4B,ENSG00000140830.8,protein-coding,FUSION,4.16E+00,3.14E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Adipose,ST3GAL3,ENSG00000126091.19,protein-coding,FUSION,-5.11E+00,3.15E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Caudate Basal Ganglia,RP11-7O11.3,ENSG00000237950.1,antisense,FUSION,-5.11E+00,3.20E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Substantia Nigra,AMT,ENSG00000145020.15,protein-coding,FUSION,-4.16E+00,3.23E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Nucleus Accumbens,RP11-379B18.5,ENSG00000241288.7,processed_transcript,FUSION,4.15E+00,3.28E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Putamen Basal Ganglia,RUNX1T1,ENSG00000079102.16,protein-coding,FUSION,-4.65E+00,3.39E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Frontal Cortex,OBI1-AS1,ENSG00000234377,ncRNA,FUSION,5.10E+00,3.39E-07,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain,LRRC37A15P,ENSG00000230069.3,processed_pseudogene,FUSION,4.14E+00,3.46E-05,TWASP000083
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Amygdala,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.64E+00,3.51E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Amygdala,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.64E+00,3.51E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hippocampus,LSG1,ENSG00000041802.10,protein-coding,FUSION,4.14E+00,3.55E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cortex,PIDD1,ENSG00000177595.17,protein-coding,FUSION,4.12E+00,3.72E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Frontal Cortex,HYAL1,ENSG00000114378.16,protein-coding,FUSION,4.12E+00,3.73E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Adrenal Gland,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.62E+00,3.86E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,CDHR5,ENSG00000099834.18,protein-coding,FUSION,-4.61E+00,3.96E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain,HSF1,ENSG00000185122.10,protein-coding,FUSION,4.11E+00,3.97E-05,TWASP000083
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Nucleus Accumbens,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.61E+00,3.99E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Thyroid,NPY1R,ENSG00000164128.6,protein-coding,FUSION,4.61E+00,4.01E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Frontal Cortex,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.11E+00,4.03E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,CTC-498M16.4,ENSG00000271904.1,lincRNA,FUSION,-4.10E+00,4.07E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Caudate Basal Ganglia,TMEM125,ENSG00000179178.10,protein-coding,FUSION,4.61E+00,4.10E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Caudate Basal Ganglia,TMEM125,ENSG00000179178.10,protein-coding,FUSION,4.61E+00,4.10E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Dorsal Lateral Prefrontal Cortex,RMI1,ENSG00000178966.16,protein-coding,FUSION,4.10E+00,4.12E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Amygdala,CTC-498M16.4,ENSG00000271904.1,lincRNA,FUSION,-4.61E+00,4.12E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Putamen Basal Ganglia,RUNX1T1,ENSG00000079102.16,protein-coding,FUSION,-4.60E+00,4.22E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,RP11-223I10.1,ENSG00000261829.1,sense_overlapping,FUSION,-4.09E+00,4.26E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Thyroid,AP006621.6,ENSG00000255142.1,lincRNA,FUSION,4.60E+00,4.30E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cortex,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.59E+00,4.41E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.59E+00,4.45E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellum,PNPLA2,ENSG00000177666.16,protein-coding,FUSION,-5.05E+00,4.46E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Hippocampus,MANBA,ENSG00000109323.8,protein-coding,FUSION,4.08E+00,4.53E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Nucleus Accumbens,PNPLA2,ENSG00000177666.16,protein-coding,FUSION,-4.08E+00,4.53E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Substantia Nigra,ZNF34,ENSG00000196378.11,protein-coding,FUSION,-4.08E+00,4.54E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellum,LSG1,ENSG00000041802.10,protein-coding,FUSION,4.08E+00,4.55E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Frontal Cortex,HYAL3,ENSG00000186792.16,protein-coding,FUSION,-4.07E+00,4.62E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Thyroid,TIE1,ENSG00000066056.13,protein-coding,FUSION,5.04E+00,4.72E-07,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,AP006621.5,ENSG00000255284.1,lincRNA,FUSION,4.58E+00,4.73E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellum,HYAL3,ENSG00000186792.16,protein-coding,FUSION,-4.06E+00,4.82E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Anterior Cingulate Cortex,RP11-134K13.4,ENSG00000271967.1,lincRNA,FUSION,4.57E+00,4.83E-06,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Colon Transverse,LRRC37A15P,ENSG00000230069.3,processed_pseudogene,FUSION,4.57E+00,4.83E-06,TWASP000198
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Brain Cerebellar Hemisphere,FASTKD3,ENSG00000124279.11,protein-coding,FUSION,4.06E+00,4.85E-05,TWASP000001
Attention Deficit/Hyperactivity Disorder,Attention Deficit Hyperactivity Disorder,Anterior Cingulate Cortex,CTC-467M3.3,ENSG00000250377.1,lincRNA,FUSION,4.57E+00,4.86E-06,TWASP000001
