gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_B1	V12D07-075_D1	V12Y31-080_A1	meanrank
ENSG00000004534	RBM6	4897	4031	6302	5371	NA	NA	3734	NA	4867
ENSG00000004660	CAMKK1	NA	4284	4424	2319	NA	NA	2899	3259	3437
ENSG00000004700	RECQL	NA	NA	NA	NA	2073	NA	NA	NA	2073
ENSG00000004766	VPS50	NA	5503	5758	4687	NA	NA	4091	NA	5009.75
ENSG00000004779	NDUFAB1	661	1024	633	1161	1070	NA	591	692	833.142857142857
ENSG00000004799	PDK4	NA	NA	5974	NA	NA	NA	NA	2485	4229.5
ENSG00000004838	ZMYND10	190	NA	239	NA	NA	NA	NA	NA	214.5
ENSG00000004848	ARX	NA	NA	NA	NA	NA	200	NA	NA	200
ENSG00000004866	ST7	NA	5443	5819	NA	NA	NA	NA	NA	5631
ENSG00000004897	CDC27	3662	3666	3269	4581	2586	NA	3648	3703	3587.85714285714
ENSG00000004948	CALCR	NA	628	NA	313	NA	170	308	108	305.4
ENSG00000005007	UPF1	3529	5076	4082	3438	2431	NA	3513	3602	3667.28571428571
ENSG00000005020	SKAP2	5632	5604	6269	3339	2534	NA	NA	NA	4675.6
ENSG00000005022	SLC25A5	3733	2875	5835	3597	3246	NA	4028	3821	3876.42857142857
ENSG00000005075	POLR2J	3510	3962	6161	5815	2807	NA	3784	2350	4055.57142857143
ENSG00000005108	THSD7A	NA	NA	NA	3595	NA	NA	NA	NA	3595
ENSG00000005175	RPAP3	NA	3812	NA	5551	NA	NA	NA	NA	4681.5
ENSG00000005194	CIAPIN1	3506	4905	5160	5555	NA	NA	2071	2806	4000.5
ENSG00000005206	SPPL2B	NA	NA	5658	5702	NA	NA	NA	NA	5680
ENSG00000005238	FAM214B	NA	NA	NA	5264	1824	NA	4753	NA	3947
ENSG00000005249	PRKAR2B	2460	1460	1759	1929	2509	NA	2438	3732	2326.71428571429
ENSG00000005302	MSL3	NA	5576	4750	NA	NA	NA	4945	NA	5090.33333333333
ENSG00000005339	CREBBP	5329	NA	5687	5055	NA	NA	NA	NA	5357
ENSG00000005379	TSPOAP1	2186	5005	2671	3217	NA	NA	NA	NA	3269.75
ENSG00000005448	WDR54	1161	3004	1836	3490	1682	NA	2868	2695	2390.85714285714
ENSG00000005483	KMT2E	NA	NA	6819	5688	3304	NA	NA	NA	5270.33333333333
ENSG00000005486	RHBDD2	100	151	112	133	171	114	83	130	124.25
ENSG00000005513	SOX8	3010	NA	3758	3766	NA	NA	1990	NA	3131
ENSG00000005700	IBTK	NA	5083	6751	6191	NA	NA	4907	1731	4932.6
ENSG00000005810	MYCBP2	1025	1510	1737	1547	1762	NA	1515	2841	1705.28571428571
ENSG00000005812	FBXL3	5570	4773	6574	NA	NA	NA	NA	NA	5639
ENSG00000005882	PDK2	4684	5274	5365	4448	NA	NA	NA	NA	4942.75
ENSG00000005884	ITGA3	3078	2516	3443	3379	NA	NA	2782	1177	2729.16666666667
ENSG00000005889	ZFX	NA	NA	6806	NA	NA	NA	NA	NA	6806
ENSG00000005893	LAMP2	1344	562	2744	463	227	NA	434	525	899.857142857143
ENSG00000006007	GDE1	NA	4294	6780	4753	NA	NA	NA	NA	5275.66666666667
ENSG00000006015	REX1BD	2535	2990	2363	2069	1906	NA	1789	2635	2326.71428571429
ENSG00000006016	CRLF1	26	351	35	456	NA	NA	NA	474	268.4
ENSG00000006042	TMEM98	NA	NA	5941	NA	NA	NA	NA	NA	5941
ENSG00000006118	TMEM132A	2127	2177	1685	1670	1556	492	987	2704	1674.75
ENSG00000006125	AP2B1	3478	3394	2521	4610	2465	NA	2871	3372	3244.42857142857
ENSG00000006128	TAC1	92	94	110	120	194	309	165	54	142.25
ENSG00000006210	CX3CL1	1595	2394	1684	1463	2084	NA	817	1101	1591.14285714286
ENSG00000006282	SPATA20	3745	NA	5734	4888	NA	NA	4083	NA	4612.5
ENSG00000006327	TNFRSF12A	NA	NA	NA	NA	2021	NA	NA	NA	2021
ENSG00000006432	MAP3K9	NA	NA	NA	4333	NA	NA	NA	NA	4333
ENSG00000006468	ETV1	1735	769	1104	451	NA	749	2818	2076	1386
ENSG00000006530	AGK	NA	3617	NA	5399	NA	NA	NA	NA	4508
ENSG00000006625	GGCT	3968	NA	4638	5726	NA	NA	4578	NA	4727.5
ENSG00000006652	IFRD1	5135	3731	6438	5356	NA	NA	4837	3375	4812
ENSG00000006712	PAF1	NA	5748	NA	NA	NA	NA	NA	NA	5748
ENSG00000006715	VPS41	3709	4331	5110	4905	3529	NA	NA	NA	4316.8
ENSG00000006740	ARHGAP44	NA	2887	3296	2651	NA	NA	3331	2982	3029.4
ENSG00000006744	ELAC2	5680	NA	NA	NA	NA	NA	NA	NA	5680
ENSG00000006757	PNPLA4	2952	4102	2156	3499	NA	NA	NA	NA	3177.25
ENSG00000006831	ADIPOR2	5681	NA	NA	NA	NA	NA	NA	NA	5681
ENSG00000007047	MARK4	NA	4925	4570	5353	NA	NA	NA	NA	4949.33333333333
ENSG00000007080	CCDC124	5245	NA	5792	5669	NA	NA	NA	2482	4797
ENSG00000007168	PAFAH1B1	673	900	723	784	716	607	577	961	742.625
ENSG00000007174	DNAH9	1541	NA	1298	NA	NA	NA	NA	NA	1419.5
ENSG00000007202	KIAA0100	3502	4886	4504	6174	NA	NA	NA	NA	4766.5
ENSG00000007237	GAS7	5304	2726	6216	2261	1668	NA	3777	2517	3495.57142857143
ENSG00000007264	MATK	NA	4135	NA	1588	NA	NA	NA	NA	2861.5
ENSG00000007392	LUC7L	NA	4192	4993	3892	NA	NA	4129	NA	4301.5
ENSG00000007402	CACNA2D2	2289	3579	2233	2382	2981	NA	2077	2578	2588.42857142857
ENSG00000007516	BAIAP3	78	174	95	112	156	69	75	147	113.25
ENSG00000007520	TSR3	NA	5720	NA	NA	NA	NA	4487	NA	5103.5
ENSG00000007541	PIGQ	2937	5291	3094	4485	NA	NA	2126	3829	3627
ENSG00000007923	DNAJC11	NA	NA	NA	6072	NA	NA	NA	NA	6072
ENSG00000008018	PSMB1	1424	1412	1696	2766	2335	854	796	431	1464.25
ENSG00000008056	SYN1	203	498	199	376	354	575	389	981	446.875
ENSG00000008086	CDKL5	NA	3143	NA	4335	NA	NA	4303	NA	3927
ENSG00000008118	CAMK1G	555	875	777	643	661	NA	870	253	662
ENSG00000008130	NADK	NA	NA	6339	NA	NA	NA	NA	NA	6339
ENSG00000008277	ADAM22	3695	2251	2669	2247	3226	NA	2938	NA	2837.66666666667
ENSG00000008282	SYPL1	2533	1907	3428	2146	946	NA	1586	1917	2066.14285714286
ENSG00000008283	CYB561	644	1591	583	1358	873	NA	678	664	913
ENSG00000008294	SPAG9	NA	5329	5175	5723	2769	NA	4348	NA	4668.8
ENSG00000008324	SS18L2	5543	4671	5140	5044	NA	NA	NA	NA	5099.5
ENSG00000008394	MGST1	1311	152	1145	153	1177	610	1862	1923	1041.625
ENSG00000008441	NFIX	1210	933	2395	799	1583	NA	1151	1189	1322.85714285714
ENSG00000008710	PKD1	2248	1983	2524	1312	3327	NA	1967	1524	2126.42857142857
ENSG00000008735	MAPK8IP2	513	973	336	733	556	636	731	2067	818.125
ENSG00000008838	MED24	4249	4014	4590	5991	NA	NA	NA	NA	4711
ENSG00000008869	HEATR5B	NA	NA	NA	5432	NA	NA	NA	NA	5432
ENSG00000008952	SEC62	3862	2417	4281	3311	1086	NA	1453	2148	2651.14285714286
ENSG00000008988	RPS20	882	383	1565	572	968	NA	827	909	872.285714285714
ENSG00000009307	CSDE1	3179	2276	3493	4979	2353	NA	2264	2686	3032.85714285714
ENSG00000009335	UBE3C	5116	NA	6564	NA	NA	NA	NA	NA	5840
ENSG00000009413	REV3L	NA	4750	6047	4760	NA	NA	NA	NA	5185.66666666667
ENSG00000009694	TENM1	1840	1771	2247	1145	2729	381	2294	2363	1846.25
ENSG00000009844	VTA1	5109	3568	5054	4650	NA	NA	NA	NA	4595.25
ENSG00000009954	BAZ1B	4630	4977	5516	NA	3117	NA	4689	NA	4585.8
ENSG00000010017	RANBP9	2602	2934	3243	3476	2695	NA	2833	NA	2963.83333333333
ENSG00000010219	DYRK4	NA	3719	5107	5167	NA	NA	NA	2364	4089.25
ENSG00000010244	ZNF207	4189	4563	4190	3941	NA	NA	3241	3428	3925.33333333333
ENSG00000010256	UQCRC1	2192	2812	1656	2398	1622	NA	4143	NA	2470.5
ENSG00000010270	STARD3NL	1016	1458	1055	1848	1576	NA	1355	545	1264.71428571429
ENSG00000010278	CD9	2057	975	1729	897	597	NA	696	NA	1158.5
ENSG00000010282	HHATL	NA	NA	2734	NA	NA	NA	887	NA	1810.5
ENSG00000010322	NISCH	832	1081	739	1071	1046	708	672	1431	947.5
ENSG00000010404	IDS	233	274	211	279	108	546	218	347	277
ENSG00000010438	PRSS3	1287	2513	1403	2720	NA	NA	NA	2307	2046
ENSG00000010626	LRRC23	1794	NA	4421	NA	NA	NA	NA	NA	3107.5
ENSG00000010810	FYN	5046	5079	4699	5369	NA	NA	2946	3247	4397.66666666667
ENSG00000010818	HIVEP2	3843	NA	4506	5792	NA	NA	NA	NA	4713.66666666667
ENSG00000011009	LYPLA2	3071	4794	3399	4494	NA	NA	3073	NA	3766.2
ENSG00000011021	CLCN6	2486	3779	2841	3489	1841	NA	2991	NA	2904.5
ENSG00000011028	MRC2	1792	NA	1144	929	NA	NA	NA	NA	1288.33333333333
ENSG00000011201	ANOS1	3503	1192	2820	1494	2081	799	3433	375	1962.125
ENSG00000011243	AKAP8L	4817	4237	5324	5234	NA	NA	4324	NA	4787.2
ENSG00000011260	UTP18	NA	3753	5983	4845	NA	NA	4485	2758	4364.8
ENSG00000011275	RNF216	4228	4515	4602	5866	NA	NA	NA	NA	4802.75
ENSG00000011295	TTC19	2235	1875	1547	2011	2579	850	1083	1972	1769
ENSG00000011304	PTBP1	2923	NA	3106	2221	NA	NA	NA	NA	2750
ENSG00000011332	DPF1	1801	2391	2386	2584	NA	NA	1836	1969	2161.16666666667
ENSG00000011347	SYT7	725	2897	1280	2134	1094	NA	878	1538	1506.57142857143
ENSG00000011405	PIK3C2A	4420	2631	5070	1411	NA	NA	4861	NA	3678.6
ENSG00000011426	ANLN	406	NA	522	NA	72	NA	127	NA	281.75
ENSG00000011454	RABGAP1	5623	NA	4682	NA	NA	NA	4741	NA	5015.33333333333
ENSG00000011465	DCN	57	12	51	11	402	561	1655	1899	581
ENSG00000011485	PPP5C	2661	3662	2485	3551	3010	NA	3191	2495	3007.85714285714
ENSG00000011523	CEP68	NA	5271	3828	5257	NA	NA	3402	2768	4105.2
ENSG00000011566	MAP4K3	NA	5296	6617	4193	NA	NA	NA	NA	5368.66666666667
ENSG00000011600	TYROBP	2464	1392	2902	1605	NA	NA	NA	NA	2090.75
ENSG00000011677	GABRA3	1315	2449	1444	3019	1097	NA	1109	1066	1642.71428571429
ENSG00000012061	ERCC1	4207	4554	6553	NA	2901	NA	4699	3639	4425.5
ENSG00000012171	SEMA3B	NA	NA	2424	NA	NA	NA	NA	NA	2424
ENSG00000012174	MBTPS2	4719	3975	NA	NA	NA	NA	4382	NA	4358.66666666667
ENSG00000012232	EXTL3	NA	5385	6154	NA	NA	NA	NA	NA	5769.5
ENSG00000012660	ELOVL5	3489	889	3437	622	560	NA	2688	2277	1994.57142857143
ENSG00000012822	CALCOCO1	NA	4276	4891	5616	NA	NA	3013	3176	4194.4
ENSG00000012983	MAP4K5	NA	NA	NA	NA	NA	NA	4551	NA	4551
ENSG00000013016	EHD3	4263	3772	4943	3993	2428	NA	4566	NA	3994.16666666667
ENSG00000013275	PSMC4	4554	4796	4568	4445	NA	NA	3403	2796	4093.66666666667
ENSG00000013288	MAN2B2	3763	3489	3802	4583	NA	NA	NA	NA	3909.25
ENSG00000013293	SLC7A14	1907	528	1336	776	2138	690	1386	1554	1289.375
ENSG00000013297	CLDN11	356	801	578	337	39	376	91	171	343.625
ENSG00000013306	SLC25A39	4535	3876	5444	4893	NA	NA	3709	3398	4309.16666666667
ENSG00000013364	MVP	NA	NA	4054	NA	NA	NA	NA	NA	4054
ENSG00000013374	NUB1	4452	5340	6319	5082	NA	NA	NA	3288	4896.2
ENSG00000013375	PGM3	NA	NA	6924	NA	NA	NA	NA	NA	6924
ENSG00000013392	RWDD2A	NA	3272	2930	4562	NA	NA	2802	2342	3181.6
ENSG00000013441	CLK1	4007	2207	3347	2078	3310	NA	2313	1939	2743
ENSG00000013561	RNF14	4498	5345	5615	6073	3109	NA	3950	NA	4765
ENSG00000013583	HEBP1	5086	4919	6234	5299	3237	NA	3748	2178	4385.85714285714
ENSG00000013619	MAMLD1	3023	2351	2651	2171	NA	NA	1599	1441	2206
ENSG00000014123	UFL1	5666	NA	6028	5756	3196	NA	4560	3820	4837.66666666667
ENSG00000014216	CAPN1	4180	4061	5588	3655	NA	NA	4254	2489	4037.83333333333
ENSG00000014641	MDH1	101	120	108	128	277	207	187	262	173.75
ENSG00000014824	SLC30A9	3363	4698	2638	2721	2648	NA	2017	NA	3014.16666666667
ENSG00000014919	COX15	NA	NA	6514	NA	NA	NA	NA	NA	6514
ENSG00000015153	YAF2	5690	3767	4181	3242	3167	NA	4233	3827	4015.28571428571
ENSG00000015171	ZMYND11	4156	4445	4932	5476	3026	NA	3154	NA	4198.16666666667
ENSG00000015592	STMN4	2004	751	2835	944	401	960	974	1256	1265.625
ENSG00000015676	NUDCD3	3128	3027	2613	2149	1862	NA	2215	NA	2499
ENSG00000016082	ISL1	815	341	435	535	NA	223	375	288	430.285714285714
ENSG00000016864	GLT8D1	3765	4193	2631	3651	NA	NA	2513	2565	3219.66666666667
ENSG00000017260	ATP2C1	2501	2656	3547	2806	2472	NA	1651	1366	2428.42857142857
ENSG00000017483	SLC38A5	NA	NA	3888	NA	NA	NA	1013	NA	2450.5
ENSG00000017797	RALBP1	4710	NA	5861	NA	3526	NA	NA	NA	4699
ENSG00000018189	RUFY3	1328	885	1549	998	2537	NA	1254	1460	1430.14285714286
ENSG00000018236	CNTN1	623	413	573	397	738	460	465	1433	637.75
ENSG00000018408	WWTR1	2133	NA	1817	NA	336	534	230	NA	1010
ENSG00000018610	CXorf56	NA	NA	NA	NA	3385	NA	NA	NA	3385
ENSG00000018625	ATP1A2	943	200	773	236	643	553	1467	238	631.625
ENSG00000019144	PHLDB1	3584	NA	NA	4440	NA	NA	4845	3778	4161.75
ENSG00000019505	SYT13	467	723	501	835	408	NA	775	980	669.857142857143
ENSG00000019582	CD74	288	89	491	136	160	166	97	417	230.5
ENSG00000019995	ZRANB1	5016	4439	6224	5480	NA	NA	NA	NA	5289.75
ENSG00000020129	NCDN	145	232	162	168	327	555	270	277	267
ENSG00000020426	MNAT1	NA	NA	5332	NA	NA	754	NA	3281	3122.33333333333
ENSG00000020577	SAMD4A	5563	3368	NA	3084	1147	NA	3964	NA	3425.2
ENSG00000021300	PLEKHB1	473	353	593	344	364	745	210	484	445.75
ENSG00000021355	SERPINB1	3103	1995	4364	2900	NA	NA	NA	NA	3090.5
ENSG00000021574	SPAST	NA	4733	NA	5809	NA	NA	NA	NA	5271
ENSG00000021645	NRXN3	3017	434	2494	452	602	215	687	352	1031.625
ENSG00000021776	AQR	NA	NA	6582	NA	NA	NA	NA	NA	6582
ENSG00000022267	FHL1	226	873	220	704	489	144	342	1584	572.75
ENSG00000022277	RTF2	4456	4806	6851	4516	NA	NA	4562	3110	4716.83333333333
ENSG00000022355	GABRA1	294	262	353	411	360	304	522	313	352.375
ENSG00000022840	RNF10	5662	5136	6291	5373	3558	NA	3684	NA	4950.66666666667
ENSG00000023171	GRAMD1B	3669	4216	4203	6151	NA	NA	NA	NA	4559.75
ENSG00000023191	RNH1	4828	4272	6544	NA	2831	NA	2790	NA	4253
ENSG00000023228	NDUFS1	3001	3540	2721	4412	NA	NA	4732	3262	3611.33333333333
ENSG00000023287	RB1CC1	4131	4814	5187	5331	3182	NA	NA	NA	4529
ENSG00000023318	ERP44	4848	4945	5969	5826	NA	NA	NA	NA	5397
ENSG00000023330	ALAS1	5456	4987	6112	5770	NA	NA	NA	NA	5581.25
ENSG00000023516	AKAP11	2471	1784	2704	1728	2095	NA	2970	1989	2248.71428571429
ENSG00000023572	GLRX2	5165	3703	6199	4470	NA	NA	NA	NA	4884.25
ENSG00000023697	DERA	NA	NA	5798	NA	NA	NA	NA	NA	5798
ENSG00000023734	STRAP	773	749	760	1028	1065	958	514	952	849.875
ENSG00000023902	PLEKHO1	2243	4142	2703	2634	2251	NA	NA	NA	2794.6
ENSG00000023909	GCLM	3739	NA	6692	NA	2700	NA	4480	NA	4402.75
ENSG00000024048	UBR2	NA	4657	NA	NA	NA	NA	NA	3678	4167.5
ENSG00000024422	EHD2	NA	NA	5652	NA	NA	NA	NA	NA	5652
ENSG00000024862	CCDC28A	1969	1701	2342	2284	1660	1006	1213	967	1642.75
ENSG00000025039	RRAGD	NA	NA	6167	NA	NA	NA	NA	NA	6167
ENSG00000025156	HSF2	NA	NA	NA	4319	NA	NA	3235	NA	3777
ENSG00000025423	HSD17B6	2325	NA	1281	NA	NA	NA	NA	NA	1803
ENSG00000025770	NCAPH2	NA	NA	5213	4734	NA	NA	NA	NA	4973.5
ENSG00000025772	TOMM34	2594	2201	2697	2616	1560	NA	2323	2943	2419.14285714286
ENSG00000025796	SEC63	5607	NA	5947	3741	3458	NA	NA	2419	4234.4
ENSG00000025800	KPNA6	4713	5276	4636	4387	NA	NA	4864	3195	4511.83333333333
ENSG00000026025	VIM	35	15	45	14	233	NA	89	210	91.5714285714286
ENSG00000026297	RNASET2	5163	5439	NA	6170	NA	NA	NA	NA	5590.66666666667
ENSG00000026508	CD44	478	187	715	369	157	973	246	185	413.75
ENSG00000026652	AGPAT4	NA	3764	NA	4981	NA	NA	NA	NA	4372.5
ENSG00000027697	IFNGR1	5174	NA	6895	6127	1936	NA	3659	NA	4758.2
ENSG00000027847	B4GALT7	3766	5692	4643	3899	NA	NA	NA	3102	4220.4
ENSG00000028203	VEZT	4795	3793	4036	3958	3209	NA	3847	NA	3939.66666666667
ENSG00000028277	POU2F2	NA	1783	3819	1625	NA	NA	1697	1850	2154.8
ENSG00000028528	SNX1	5455	NA	NA	6023	2778	NA	4449	NA	4676.25
ENSG00000028839	TBPL1	2080	1840	2921	2268	3242	NA	1806	2192	2335.57142857143
ENSG00000029363	BCLAF1	4442	2991	3401	3246	2397	NA	3038	NA	3252.5
ENSG00000029364	SLC39A9	NA	4686	5872	5943	NA	NA	3047	NA	4887
ENSG00000029725	RABEP1	NA	5679	6414	4230	NA	NA	NA	NA	5441
ENSG00000029993	HMGB3	NA	2928	5840	3320	NA	NA	4439	NA	4131.75
ENSG00000030582	GRN	3859	3161	3638	3528	3403	NA	4882	3547	3716.85714285714
ENSG00000031003	FAM13B	2567	5114	2696	2790	3272	NA	2627	3391	3208.14285714286
ENSG00000031698	SARS	887	1044	1114	1217	1956	NA	904	957	1154.14285714286
ENSG00000031823	RANBP3	NA	NA	6034	NA	NA	NA	4440	NA	5237
ENSG00000032219	ARID4A	NA	4674	5292	5833	2923	NA	3138	3517	4229.5
ENSG00000032389	EIPR1	2796	3584	2951	3816	NA	NA	1341	1318	2634.33333333333
ENSG00000032444	PNPLA6	3633	5432	3257	5527	NA	NA	4178	NA	4405.4
ENSG00000032742	IFT88	3886	NA	3292	5207	NA	NA	NA	NA	4128.33333333333
ENSG00000033050	ABCF2	5624	4867	3548	4846	NA	NA	NA	3774	4531.8
ENSG00000033100	CHPF2	3242	4576	4618	4053	NA	NA	3600	3488	3929.5
ENSG00000033122	LRRC7	NA	1276	NA	2312	NA	NA	NA	NA	1794
ENSG00000033170	FUT8	5664	NA	NA	5073	NA	NA	NA	NA	5368.5
ENSG00000033178	UBA6	5156	5344	NA	5631	NA	NA	4287	NA	5104.5
ENSG00000033627	ATP6V0A1	712	1079	824	829	1346	1018	750	1341	987.375
ENSG00000033800	PIAS1	4986	4707	4412	5765	3488	NA	4466	NA	4637.33333333333
ENSG00000034053	APBA2	5552	2969	5046	3533	NA	NA	4396	NA	4299.2
ENSG00000034239	EFCAB1	265	NA	308	NA	NA	NA	NA	NA	286.5
ENSG00000034510	TMSB10	232	96	181	102	272	126	120	50	147.375
ENSG00000034677	RNF19A	5677	NA	6455	NA	NA	NA	NA	NA	6066
ENSG00000034713	GABARAPL2	1888	1241	1738	1167	878	543	1018	441	1114.25
ENSG00000035141	FAM136A	3335	4070	4275	3001	NA	NA	4271	NA	3790.4
ENSG00000035403	VCL	3376	4821	3170	3567	3400	NA	4037	2335	3529.42857142857
ENSG00000035687	ADSS	NA	4705	6898	4649	NA	NA	4806	2980	4807.6
ENSG00000035862	TIMP2	895	720	1009	506	425	439	653	605	656.5
ENSG00000035928	RFC1	5440	5685	NA	5849	3123	NA	4535	NA	4926.4
ENSG00000036257	CUL3	4004	5711	4514	4612	3275	NA	3841	NA	4326.16666666667
ENSG00000036530	CYP46A1	1958	2896	1601	2964	1227	NA	2758	1715	2159.85714285714
ENSG00000036549	AC118549.1	NA	5006	5943	NA	NA	NA	4786	NA	5245
ENSG00000037042	TUBG2	3188	3683	2857	2888	2633	NA	2704	NA	2992.16666666667
ENSG00000037241	RPL26L1	3268	4660	5568	5415	NA	NA	2487	3626	4170.66666666667
ENSG00000037637	FBXO42	NA	NA	4458	5691	NA	NA	NA	NA	5074.5
ENSG00000038002	AGA	NA	NA	2240	NA	NA	NA	NA	NA	2240
ENSG00000038219	BOD1L1	5568	5525	NA	5061	NA	NA	4926	NA	5270
ENSG00000038274	MAT2B	2683	2902	2778	3879	2241	NA	2163	3383	2861.28571428571
ENSG00000038358	EDC4	4377	5398	4302	4776	NA	NA	3398	3666	4319.5
ENSG00000038382	TRIO	2764	2511	3153	2195	2042	NA	2045	NA	2451.66666666667
ENSG00000038427	VCAN	1914	NA	2859	NA	NA	NA	1120	NA	1964.33333333333
ENSG00000039123	MTREX	4645	2800	6799	5305	NA	NA	NA	3174	4544.6
ENSG00000039319	ZFYVE16	NA	5347	6686	NA	NA	NA	NA	2632	4888.33333333333
ENSG00000039523	RIPOR1	3851	2854	3953	3606	NA	NA	3716	NA	3596
ENSG00000040199	PHLPP2	NA	5186	NA	4925	3574	NA	NA	NA	4561.66666666667
ENSG00000040341	STAU2	2936	5269	4268	3082	3545	NA	4703	NA	3967.16666666667
ENSG00000040633	PHF23	5040	5216	5618	NA	NA	NA	NA	NA	5291.33333333333
ENSG00000040731	CDH10	NA	3195	4825	3572	NA	NA	NA	NA	3864
ENSG00000040933	INPP4A	2418	2523	2334	2765	2356	NA	2143	NA	2423.16666666667
ENSG00000041353	RAB27B	NA	NA	NA	2798	NA	306	NA	NA	1552
ENSG00000041357	PSMA4	2309	2255	3780	3504	2830	NA	2304	2095	2725.28571428571
ENSG00000041982	TNC	1933	597	2447	1112	1433	NA	NA	NA	1504.4
ENSG00000042445	RETSAT	NA	NA	6089	NA	NA	NA	NA	NA	6089
ENSG00000042493	CAPG	3430	NA	5782	NA	NA	NA	NA	NA	4606
ENSG00000042753	AP2S1	847	1366	813	1106	847	950	981	1323	1029.125
ENSG00000043093	DCUN1D1	NA	NA	NA	5864	NA	NA	NA	NA	5864
ENSG00000043143	JADE2	NA	4165	4648	4873	NA	NA	3307	3719	4142.4
ENSG00000043355	ZIC2	NA	504	NA	448	NA	53	NA	NA	335
ENSG00000044115	CTNNA1	4201	2121	4382	1645	1770	NA	2561	2800	2782.85714285714
ENSG00000044574	HSPA5	1030	882	925	1015	381	NA	414	376	717.571428571429
ENSG00000046651	OFD1	NA	NA	6316	NA	NA	NA	3636	NA	4976
ENSG00000046653	GPM6B	76	72	168	81	70	106	48	82	87.875
ENSG00000046889	PREX2	5213	2952	4045	3938	NA	NA	4232	1737	3686.16666666667
ENSG00000047056	WDR37	NA	4219	4773	3024	NA	NA	3711	3650	3875.4
ENSG00000047249	ATP6V1H	1066	1440	968	1392	919	NA	1247	2009	1291.57142857143
ENSG00000047315	POLR2B	2970	3052	2581	3493	NA	NA	2933	2857	2981
ENSG00000047346	FAM214A	NA	4753	NA	4996	NA	NA	NA	NA	4874.5
ENSG00000047410	TPR	NA	5456	6469	5544	3536	NA	3975	NA	4996
ENSG00000047457	CP	NA	130	NA	143	NA	NA	NA	NA	136.5
ENSG00000047579	DTNBP1	3888	3582	3167	3735	3467	NA	3846	NA	3614.16666666667
ENSG00000047597	XK	NA	2307	NA	3737	NA	NA	NA	NA	3022
ENSG00000047648	ARHGAP6	2515	2153	6609	2889	NA	NA	1610	2045	2970.16666666667
ENSG00000047849	MAP4	4088	2315	3722	2810	1977	NA	2638	1858	2772.57142857143
ENSG00000047932	GOPC	5489	4932	6067	3465	NA	NA	3287	NA	4648
ENSG00000048052	HDAC9	NA	3153	3773	4489	NA	NA	NA	NA	3805
ENSG00000048162	NOP16	NA	NA	NA	5355	NA	NA	NA	NA	5355
ENSG00000048342	CC2D2A	2905	NA	5370	NA	NA	NA	NA	NA	4137.5
ENSG00000048392	RRM2B	NA	5341	6318	5903	3484	NA	NA	NA	5261.5
