gene_id	gene_name	V12D07-075_D1	V13M13-362_A1	V12D07-075_A1	V12Y31-080_A1	V12D05-348_D1	V12D05-350_D1	V12D05-348_C1	V12D05-350_C1	V13Y24-346_C1	nsigsamps	meanrank
ENSG00000010017	RANBP9					657			1616		2	1136.5
ENSG00000010219	DYRK4					1808	1991				2	1899.5
ENSG00000010244	ZNF207						2704		2300		2	2502
ENSG00000010256	UQCRC1					1368		1108			2	1238
ENSG00000010270	STARD3NL				2331	1937	668			547	4	1370.75
ENSG00000010278	CD9	1984			486	471	270		792	432	6	739.166666666667
ENSG00000010282	HHATL					502	1861	1629	1546		4	1384.5
ENSG00000010295	IFFO1		522								1	522
ENSG00000010322	NISCH				1891	1243	1657	934	2201		5	1585.2
ENSG00000010404	IDS				1672		1446		607		3	1241.66666666667
ENSG00000010438	PRSS3			576					2033		2	1304.5
ENSG00000010626	LRRC23							904	1180		2	1042
ENSG00000010803	SCMH1					3388		1879			2	2633.5
ENSG00000010810	FYN					3196				1286	2	2241
ENSG00000011007	ELOA	1847			2569						2	2208
ENSG00000011009	LYPLA2								2229		1	2229
ENSG00000011028	MRC2	607									1	607
ENSG00000011201	ANOS1							472	895	1497	3	954.666666666667
ENSG00000011243	AKAP8L					1279					1	1279
ENSG00000011258	MBTD1						3056				1	3056
ENSG00000011275	RNF216					2106					1	2106
ENSG00000011295	TTC19	1910				1946					2	1928
ENSG00000011304	PTBP1							1706	2381		2	2043.5
ENSG00000011332	DPF1	1785			2556	1070					3	1803.66666666667
ENSG00000011347	SYT7			421					2265		2	1343
ENSG00000011405	PIK3C2A					3237	2276		3033	1543	4	2522.25
ENSG00000011426	ANLN	1495			481	1287	536	1776	259		6	972.333333333333
ENSG00000011454	RABGAP1				2212						1	2212
ENSG00000011465	DCN	675		112		239	108	19	23	98	7	182
ENSG00000011485	PPP5C				2298					1403	2	1850.5
ENSG00000011523	CEP68						2768				1	2768
ENSG00000011566	MAP4K3					3571	1699				2	2635
ENSG00000011600	TYROBP				1973	2855					2	2414
ENSG00000011638	TMEM159								1529		1	1529
ENSG00000011677	GABRA3	1664						2054	2004		3	1907.33333333333
ENSG00000012171	SEMA3B					3723	509				2	2116
ENSG00000012174	MBTPS2					2254	1876		2672		3	2267.33333333333
ENSG00000012660	ELOVL5				1477			1444	3035	521	4	1619.25
ENSG00000012822	CALCOCO1					2289	2675	1249			3	2071
ENSG00000012983	MAP4K5				1348						1	1348
ENSG00000013275	PSMC4	1599									1	1599
ENSG00000013288	MAN2B2	1020				3052					2	2036
ENSG00000013293	SLC7A14					208	211				2	209.5
ENSG00000013297	CLDN11	194		378	81	1553	382	233	169		7	427.142857142857
ENSG00000013364	MVP							1195	2716		2	1955.5
ENSG00000013374	NUB1				1161						1	1161
ENSG00000013392	RWDD2A	638									1	638
ENSG00000013441	CLK1	465			1333	1316	464		708		5	857.2
ENSG00000013561	RNF14	1159				2695					2	1927
ENSG00000013563	DNASE1L1						2835				1	2835
ENSG00000013583	HEBP1				814						1	814
ENSG00000013619	MAMLD1	1646			1197	925			1480	576	5	1164.8
ENSG00000014123	UFL1						1815				1	1815
ENSG00000014216	CAPN1					3697					1	3697
ENSG00000014641	MDH1	156			176	199	245	249	428	814	7	323.857142857143
ENSG00000014824	SLC30A9	1448				2408					2	1928
ENSG00000014914	MTMR11							825			1	825
ENSG00000015133	CCDC88C								2720		1	2720
ENSG00000015153	YAF2				1282						1	1282
ENSG00000015532	XYLT2									1394	1	1394
ENSG00000015592	STMN4				1441	364	231	611	1200		5	769.4
ENSG00000015676	NUDCD3								2153		1	2153
ENSG00000016082	ISL1				1409	489	248	876	444		5	693.2
ENSG00000016864	GLT8D1	1626					1259		3025		3	1970
ENSG00000017260	ATP2C1	1315			753	919					3	995.666666666667
ENSG00000018189	RUFY3	2097			612	624	2224	1463	1425		6	1407.5
ENSG00000018236	CNTN1	1768			576	599	639	443	841		6	811
ENSG00000018408	WWTR1				2299	2559	1123		1728	1304	5	1802.6
ENSG00000018610	CXorf56				1699						1	1699
ENSG00000018625	ATP1A2	424			90	157	238	372	533	390	7	314.857142857143
ENSG00000018699	TTC27						2662				1	2662
ENSG00000019144	PHLDB1					2019					1	2019
ENSG00000019505	SYT13		454		2231			1433	1330		4	1362
ENSG00000019582	CD74	80	41		708	201	344	490	358	570	8	349
ENSG00000019995	ZRANB1					2811		1747			2	2279
ENSG00000020129	NCDN			83		2096	1285		430		4	973.5
ENSG00000020426	MNAT1	1133									1	1133
ENSG00000021300	PLEKHB1	1113			314	135	183	693	696		6	522.333333333333
ENSG00000021355	SERPINB1				2058	2022			2322		3	2134
ENSG00000021645	NRXN3	597			427						2	512
ENSG00000022267	FHL1	355			2100			133	66	182	5	567.2
ENSG00000022355	GABRA1		337	342	1886	742	180	386	440		7	616.142857142857
ENSG00000022840	RNF10		624				2254				2	1439
ENSG00000023041	ZDHHC6					1977					1	1977
ENSG00000023191	RNH1	1651									1	1651
ENSG00000023228	NDUFS1					3633			3158		2	3395.5
ENSG00000023287	RB1CC1					2584					1	2584
ENSG00000023318	ERP44						2801				1	2801
ENSG00000023445	BIRC3					2073					1	2073
ENSG00000023516	AKAP11					2120					1	2120
ENSG00000023608	SNAPC1					3834					1	3834
ENSG00000023734	STRAP	1221	685		528	770	892	2123			6	1036.5
ENSG00000023902	PLEKHO1			85				482	628	216	4	352.75
ENSG00000024422	EHD2			455							1	455
ENSG00000024862	CCDC28A					1166		1362	2999		3	1842.33333333333
ENSG00000025423	HSD17B6							875	345	351	3	523.666666666667
ENSG00000025708	TYMP								1418		1	1418
ENSG00000025796	SEC63					3216					1	3216
ENSG00000025800	KPNA6					3218			2838		2	3028
ENSG00000026025	VIM	73	938	15	152	172	70	3	5	9	9	159.666666666667
ENSG00000026508	CD44			280	720	1050	134		707		5	578.2
ENSG00000026559	KCNG1						918	1432			2	1175
ENSG00000026652	AGPAT4				1869	1146	2514				3	1843
ENSG00000027697	IFNGR1							892			1	892
ENSG00000028203	VEZT					2372			1993		2	2182.5
ENSG00000028277	POU2F2	1686			1983	544	790				4	1250.75
ENSG00000028528	SNX1									1046	1	1046
ENSG00000028839	TBPL1	2002			1745	1932	2301				4	1995
ENSG00000029363	BCLAF1	742		527		1270					3	846.333333333334
ENSG00000029364	SLC39A9	741	604			2468					3	1271
ENSG00000029639	TFB1M				2171						1	2171
ENSG00000029993	HMGB3	1130			2478	942	776			944	5	1254
ENSG00000030304	MUSK								265		1	265
ENSG00000030419	IKZF2			518							1	518
ENSG00000030582	GRN		912			3470	2939				3	2440.33333333333
ENSG00000031003	FAM13B				1867						1	1867
ENSG00000031081	ARHGAP31	1969			1476			1089			3	1511.33333333333
ENSG00000031698	SARS	189			617	963	786	2109	1544		6	1034.66666666667
ENSG00000031823	RANBP3					3307					1	3307
ENSG00000032219	ARID4A					1521					1	1521
ENSG00000032389	EIPR1	855			777	2378					3	1336.66666666667
ENSG00000032742	IFT88		920						715		2	817.5
ENSG00000033011	ALG1							2037			1	2037
ENSG00000033050	ABCF2					2967					1	2967
ENSG00000033100	CHPF2						1856				1	1856
ENSG00000033122	LRRC7					206					1	206
ENSG00000033170	FUT8				2347						1	2347
ENSG00000033178	UBA6					498				1449	2	973.5
ENSG00000033327	GAB2									689	1	689
ENSG00000033627	ATP6V0A1				693	1387		1677	2764	1492	5	1602.6
ENSG00000034053	APBA2						1181		863		2	1022
ENSG00000034152	MAP2K3									809	1	809
ENSG00000034239	EFCAB1							50	77		2	63.5
ENSG00000034510	TMSB10	397	175	33	160	357	308	254	189	305	9	242
ENSG00000034533	ASTE1								2383		1	2383
ENSG00000034677	RNF19A	1325									1	1325
ENSG00000034693	PEX3		927					1118			2	1022.5
ENSG00000034713	GABARAPL2	415	236	289	555		1490	1571		400	7	708
ENSG00000035403	VCL					2687	2253		2255	492	4	1921.75
ENSG00000035862	TIMP2		829		1179	2923			1537	1434	5	1580.4
ENSG00000035928	RFC1						1858				1	1858
ENSG00000036054	TBC1D23					2936					1	2936
ENSG00000036672	USP2				994						1	994
ENSG00000037042	TUBG2				1400			1178	3039		3	1872.33333333333
ENSG00000037474	NSUN2		519		1722						2	1120.5
ENSG00000037757	MRI1								3181		1	3181
ENSG00000038002	AGA								2696		1	2696
ENSG00000038219	BOD1L1						2421				1	2421
ENSG00000038274	MAT2B	1271				1082					2	1176.5
ENSG00000038295	TLL1				2147						1	2147
ENSG00000038358	EDC4				1344	2723					2	2033.5
ENSG00000038382	TRIO					1179	851				2	1015
ENSG00000038427	VCAN			476					2907		2	1691.5
ENSG00000039123	MTREX					2616	2884				2	2750
ENSG00000039139	DNAH5							307	1165		2	736
ENSG00000039319	ZFYVE16				2085		2743				2	2414
ENSG00000039523	RIPOR1						1411			1003	2	1207
ENSG00000040341	STAU2									1573	1	1573
ENSG00000040731	CDH10				2586	1171	2413				3	2056.66666666667
ENSG00000041353	RAB27B						2805	697	1437		3	1646.33333333333
ENSG00000041357	PSMA4							1832			1	1832
ENSG00000041515	MYO16						2471				1	2471
ENSG00000041982	TNC				2217	1468	1191	456	242		5	1114.8
ENSG00000042429	MED17	1382									1	1382
ENSG00000042445	RETSAT	644									1	644
ENSG00000042493	CAPG							1526	1256		2	1391
ENSG00000042753	AP2S1	1700									1	1700
ENSG00000043143	JADE2		736		1848						2	1292
ENSG00000044090	CUL7						2836				1	2836
ENSG00000044115	CTNNA1							1856	2592	551	3	1666.33333333333
ENSG00000044524	EPHA3								1826		1	1826
ENSG00000044574	HSPA5	211		54	362	626	353	1390	1107		7	586.142857142857
ENSG00000046653	GPM6B	115			80	109	179	190	162	79	7	130.571428571429
ENSG00000046889	PREX2				1451	1569	1100		1331	300	5	1150.2
ENSG00000047188	YTHDC2						1029				1	1029
ENSG00000047249	ATP6V1H			399				2034	2251		3	1561.33333333333
ENSG00000047315	POLR2B	962			1415	3810					3	2062.33333333333
ENSG00000047346	FAM214A					1192					1	1192
ENSG00000047365	ARAP2					3155				516	2	1835.5
ENSG00000047410	TPR								2104		1	2104
ENSG00000047578	KIAA0556		815								1	815
ENSG00000047579	DTNBP1					3912				1184	2	2548
ENSG00000047597	XK					1652	1703				2	1677.5
ENSG00000047621	C12orf4									653	1	653
ENSG00000047634	SCML1			284							1	284
ENSG00000047648	ARHGAP6	478			659	997	1212				4	836.5
ENSG00000047849	MAP4				2159		1803				2	1981
ENSG00000048028	USP28						857				1	857
ENSG00000048052	HDAC9				1597				875	1221	3	1231
ENSG00000048140	TSPAN17								1919		1	1919
ENSG00000048162	NOP16								2349		1	2349
ENSG00000048342	CC2D2A		158						2826		2	1492
ENSG00000048540	LMO3	1917	159			1202	1275				4	1138.25
ENSG00000048544	MRPS10	1522							1579		2	1550.5
ENSG00000048740	CELF2	1622						2149			2	1885.5
ENSG00000048828	FAM120A					1829					1	1829
ENSG00000048991	R3HDM1								2948		1	2948
ENSG00000049089	COL9A2					3115		2179	2821		3	2705
ENSG00000049245	VAMP3	574	146				2867	2070			4	1414.25
ENSG00000049246	PER3						2287				1	2287
ENSG00000049449	RCN1					3457	1599	1742			3	2266
ENSG00000049540	ELN								882	382	2	632
ENSG00000049618	ARID1B					3034					1	3034
ENSG00000049656	CLPTM1L				1552	1041			1999		3	1530.66666666667
ENSG00000049759	NEDD4L						2214	1187			2	1700.5
ENSG00000049883	PTCD2				1396					1069	2	1232.5
ENSG00000050030	NEXMIF					1153					1	1153
ENSG00000050130	JKAMP				346	1704	1205			858	4	1028.25
ENSG00000050165	DKK3	811			748	708	664	1311	635		6	812.833333333333
ENSG00000050393	MCUR1					3026			3050		2	3038
ENSG00000050438	SLC4A8						1944	1859			2	1901.5
ENSG00000050628	PTGER3				1450	318	565	1622	2790		5	1349
ENSG00000050748	MAPK9								1659		1	1659
ENSG00000050820	BCAR1				1881						1	1881
ENSG00000051108	HERPUD1					1750					1	1750
ENSG00000051128	HOMER3			377		2436					2	1406.5
ENSG00000051523	CYBA						401	1441	1156		3	999.333333333333
ENSG00000052749	RRP12						2970				1	2970
ENSG00000052795	FNIP2					566				1201	2	883.5
ENSG00000052802	MSMO1	1374				3001			1076	284	4	1433.75
ENSG00000052841	TTC17		594			2904					2	1749
ENSG00000053438	NNAT	750	91		953	167	222	64	30	252	8	316.125
ENSG00000053702	NRIP2						2493				1	2493
ENSG00000053747	LAMA3					3178					1	3178
ENSG00000053770	AP5M1					1585					1	1585
ENSG00000053900	ANAPC4	819							2570		2	1694.5
ENSG00000054116	TRAPPC3								2331		1	2331
ENSG00000054118	THRAP3					1813					1	1813
ENSG00000054148	PHPT1	1116						1613	2088		3	1605.66666666667
ENSG00000054179	ENTPD2				2288		3076		1197		3	2187
ENSG00000054267	ARID4B									1269	1	1269
ENSG00000054356	PTPRN	262			331	906	1367	413	298	543	7	588.571428571429
ENSG00000054523	KIF1B					2733			3103		2	2918
ENSG00000054654	SYNE2								1615		1	1615
ENSG00000054690	PLEKHH1					2549	1469		1397	1056	4	1617.75
ENSG00000054793	ATP9A	488				2997	1918				3	1801
ENSG00000054803	CBLN4	31			73	701	725			54	5	316.8
ENSG00000054965	FAM168A	1307							1654		2	1480.5
ENSG00000054967	RELT	1567									1	1567
ENSG00000055044	NOP58	1305				1789					2	1547
ENSG00000055118	KCNH2		353			299	1930		3227		4	1452.25
ENSG00000055147	FAM114A2					2573					1	2573
ENSG00000055163	CYFIP2							1604	2366		2	1985
ENSG00000055208	TAB2					2341					1	2341
ENSG00000055211	GINM1					2303	1241	1472	1837		4	1713.25
ENSG00000055332	EIF2AK2								1311		1	1311
ENSG00000055609	KMT2C							2164			1	2164
ENSG00000055813	CCDC85A						2017				1	2017
ENSG00000055917	PUM2		798								1	798
ENSG00000055950	MRPL43				2437						1	2437
ENSG00000056050	HPF1					3484					1	3484
ENSG00000056277	ZNF280C								1877		1	1877
ENSG00000056487	PHF21B					1712	1450				2	1581
ENSG00000056736	IL17RB								777	396	2	586.5
ENSG00000057019	DCBLD2		667	556					2585		3	1269.33333333333
ENSG00000057294	PKP2								993		1	993
ENSG00000057608	GDI2	514							2566		2	1540
ENSG00000057757	PITHD1	1249		346		2758	822	978		1287	6	1240
ENSG00000057935	MTA3	923									1	923
ENSG00000058056	USP13					3586					1	3586
ENSG00000058091	CDK14	1047									1	1047
ENSG00000058262	SEC61A1		351	568			3017	2152			4	1522
ENSG00000058272	PPP1R12A					1526					1	1526
ENSG00000058335	RASGRF1					3389	1979			1174	3	2180.66666666667
ENSG00000058404	CAMK2B							1510	1580		2	1545
ENSG00000058453	CROCC							406	523		2	464.5
ENSG00000058668	ATP2B4						1361		1224		2	1292.5
ENSG00000058799	YIPF1						1658	2061			2	1859.5
ENSG00000058804	NDC1		266								1	266
ENSG00000059122	FLYWCH1					3642					1	3642
ENSG00000059145	UNKL	1513									1	1513
ENSG00000059378	PARP12	586									1	586
ENSG00000059588	TARBP1				2180	1214	885	1004	892		5	1235
ENSG00000059758	CDK17	1524				2422					2	1973
ENSG00000059804	SLC2A3				1828	1478		1054	1490		4	1462.5
ENSG00000059915	PSD					2278		2051			2	2164.5
ENSG00000060138	YBX3			193						178	2	185.5
ENSG00000060237	WNK1					940					1	940
ENSG00000060339	CCAR1					1424	2196				2	1810
ENSG00000060656	PTPRU					2717	2751		2551		3	2673
ENSG00000060688	SNRNP40					1962					1	1962
ENSG00000060709	RIMBP2	1458			1985	791	1210				4	1361
ENSG00000060718	COL11A1	187			234		1235			94	4	437.5
ENSG00000060971	ACAA1									1134	1	1134
ENSG00000060982	BCAT1	2030	846					2148			3	1674.66666666667
ENSG00000061656	SPAG4	1797									1	1797
ENSG00000061676	NCKAP1				1146	1423		1807			3	1458.66666666667
ENSG00000061794	MRPS35	1849									1	1849
ENSG00000061918	GUCY1B1		820				1263	348	1737	530	5	939.6
ENSG00000061936	SFSWAP				2008		2366				2	2187
ENSG00000061987	MON2					1043					1	1043
ENSG00000062194	GPBP1	1897	844			2071				1585	4	1599.25
ENSG00000062485	CS	1837				818		2031			3	1562
ENSG00000062582	MRPS24				999						1	999
ENSG00000062598	ELMO2	1762									1	1762
ENSG00000062650	WAPL	1125									1	1125
ENSG00000062716	VMP1					2202					1	2202
ENSG00000062725	APPBP2						2932				1	2932
ENSG00000063015	SEZ6				2122		1471	1381			3	1658
ENSG00000063046	EIF4B			338		3866	3074				3	2426
ENSG00000063177	RPL18	1079	640		1105	569	266	465	769	538	8	678.875
ENSG00000063180	CA11	952				1860	2691				3	1834.33333333333
ENSG00000063245	EPN1	888									1	888
ENSG00000063587	ZNF275						2380				1	2380
ENSG00000063601	MTMR1					3328					1	3328
ENSG00000063660	GPC1					2926			2751		2	2838.5
ENSG00000063761	ADCK1				2482	2437		414	361		4	1423.5
ENSG00000063854	HAGH	727			1644	1613					3	1328
ENSG00000064042	LIMCH1									768	1	768
ENSG00000064115	TM7SF3					1406	976	2154			3	1512
ENSG00000064199	SPA17				2041			609	812		3	1154
ENSG00000064225	ST3GAL6	1789			2499						2	2144
ENSG00000064300	NGFR						2128		1521	1077	3	1575.33333333333
ENSG00000064313	TAF2						2540				1	2540
ENSG00000064393	HIPK2	417			881	952	702		689		5	728.2
ENSG00000064601	CTSA				1491	3538					2	2514.5
ENSG00000064607	SUGP2	1377				2111	1131				3	1539.66666666667
ENSG00000064651	SLC12A2							1531			1	1531
ENSG00000064692	SNCAIP						2434				1	2434
ENSG00000064763	FAR2								2847		1	2847
ENSG00000064787	BCAS1	159	293		122	253	264	581	170		7	263.142857142857
ENSG00000064932	SBNO2							644	566		2	605
ENSG00000064989	CALCRL					1175	2980	436	61		4	1163
ENSG00000064995	TAF11							1532			1	1532
ENSG00000064999	ANKS1A			539			1721				2	1130
ENSG00000065000	AP3D1					3783	1145				2	2464
ENSG00000065029	ZNF76								2691		1	2691
ENSG00000065054	SLC9A3R2						2753				1	2753
ENSG00000065150	IPO5				2322	2476					2	2399
ENSG00000065154	OAT				1111	978	2933			866	4	1472
ENSG00000065361	ERBB3				443						1	443
ENSG00000065413	ANKRD44					1723	755		2823		3	1767
ENSG00000065427	KARS	1958									1	1958
ENSG00000065457	ADAT1				2203						1	2203
ENSG00000065491	TBC1D22B				2384						1	2384
ENSG00000065518	NDUFB4				478	2934	1697	860	2360	1159	6	1581.33333333333
ENSG00000065526	SPEN									1522	1	1522
ENSG00000065534	MYLK						388				1	388
ENSG00000065559	MAP2K4					1169	1787				2	1478
ENSG00000065609	SNAP91	1591				2563		1661			3	1938.33333333333
ENSG00000065613	SLK							2064			1	2064
ENSG00000065621	GSTO2	2044									1	2044
ENSG00000065665	SEC61A2	674			1025	3855	1782				4	1834
ENSG00000065717	TLE2						780				1	780
ENSG00000065802	ASB1				2128						1	2128
ENSG00000065809	FAM107B					1889				781	2	1335
ENSG00000065833	ME1				902						1	902
ENSG00000065911	MTHFD2									1459	1	1459
ENSG00000065923	SLC9A7				934	3069	2361				3	2121.33333333333
ENSG00000065978	YBX1			351		938	2134	1469			4	1223
ENSG00000066027	PPP2R5A							2137	1843	1087	3	1689
ENSG00000066032	CTNNA2							1329	1285		2	1307
ENSG00000066044	ELAVL1	1342				899					2	1120.5
ENSG00000066135	KDM4A			202							1	202
ENSG00000066185	ZMYND12								2285		1	2285
ENSG00000066248	NGEF			246		3840			3026		3	2370.66666666667
ENSG00000066322	ELOVL1								684		1	684
ENSG00000066382	MPPED2		123			2116					2	1119.5
ENSG00000066468	FGFR2								2695		1	2695
ENSG00000066557	LRRC40								2128		1	2128
ENSG00000066583	ISOC1						2239	1852			2	2045.5
ENSG00000066629	EML1			365	1678	3299	2168				4	1877.5
ENSG00000066654	THUMPD1						2156		3238		2	2697
ENSG00000066739	ATG2B					1363					1	1363
ENSG00000066777	ARFGEF1					3287					1	3287
ENSG00000066926	FECH					2560					1	2560
ENSG00000066933	MYO9A					3255					1	3255
ENSG00000067048	DDX3Y				1061						1	1061
ENSG00000067057	PFKP	1683				937	1114	596			4	1082.5
ENSG00000067064	IDI1					2728				144	2	1436
ENSG00000067113	PLPP1							1724	2782		2	2253
ENSG00000067167	TRAM1					1607	2502		1553		3	1887.33333333333
ENSG00000067177	PHKA1								3196		1	3196
ENSG00000067182	TNFRSF1A			395						394	2	394.5
ENSG00000067191	CACNB1	1436			1575						2	1505.5
ENSG00000067225	PKM	604			1302	1909	2336	1082	1474		6	1451.16666666667
ENSG00000067248	DHX29					3801					1	3801
ENSG00000067365	METTL22						2451				1	2451
ENSG00000067369	TP53BP1	895	753			763			1501		4	978
ENSG00000067445	TRO	294	606		390	877	366		1428	436	7	628.142857142857
ENSG00000067560	RHOA							1073			1	1073
ENSG00000067606	PRKCZ	1042			944	3883	2252				4	2030.25
ENSG00000067715	SYT1	762	122	99	213	700	404	62	112	377	9	316.777777777778
ENSG00000067836	ROGDI				834						1	834
ENSG00000067840	PDZD4				2307		2734				2	2520.5
ENSG00000067900	ROCK1	747					2966	1202			3	1638.33333333333
ENSG00000067955	CBFB	1703									1	1703
ENSG00000067992	PDK3								1283	1285	2	1284
ENSG00000068001	HYAL2				1406	2624					2	2015
ENSG00000068024	HDAC4	1930					2760		2886		3	2525.33333333333
