gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_D1	V12Y31-080_A1	V13M13-362_A1	V13M13-362_D1	meanrank	samples_signif
ENSG00000007080	CCDC124	4548		5508	5828			2590		4481	4591	5
ENSG00000007168	PAFAH1B1	539	741	658	767	637	510	925	711	466	661.5555556	9
ENSG00000007174	DNAH9			1500							1500	1
ENSG00000007202	KIAA0100	3454	4815	4599	6028					3253	4429.8	5
ENSG00000007237	GAS7	5337	3083	6255	2346	1846	3669	2262	325	1894	3001.888889	9
ENSG00000007264	MATK		4343		1540						2941.5	2
ENSG00000007392	LUC7L		5054	5266	3841		4162				4580.75	4
ENSG00000007402	CACNA2D2	2611	3001	2174	2449	3437	2726	1973	2462	1088	2435.666667	9
ENSG00000007516	BAIAP3	74	159	90	111	129	75	140	59	64	100.1111111	9
ENSG00000007520	TSR3		5556	6779			3837				5390.666667	3
ENSG00000007541	PIGQ	3247	5087	3039	4642		2581	3890			3747.666667	6
ENSG00000007923	DNAJC11				5746						5746	1
ENSG00000008018	PSMB1	1214	1235	1610	2388	1779	637	477	1070	1491	1322.333333	9
ENSG00000008056	SYN1	184	488	190	379	403	537	909	673	210	441.4444444	9
ENSG00000008086	CDKL5		3463		3966		4239		1550		3304.5	4
ENSG00000008118	CAMK1G	549	852	684	606	816	1048	263	3265	1374	1050.777778	9
ENSG00000008130	NADK			6477	5522						5999.5	2
ENSG00000008277	ADAM22	3084	3050	2930	2195	2790	3831	3907	1990	3203	2997.777778	9
ENSG00000008282	SYPL1	3847	2003	3182	2306	946	1460	2017	2430	1215	2156.222222	9
ENSG00000008283	CYB561	547	1453	529	1336	947	674	739	491	711	825.2222222	9
ENSG00000008294	SPAG9	5492	5250	5267	6197	3031	3703			2075	4430.714286	7
ENSG00000008324	SS18L2	4578	5117	5139	5294		4937			4266	4888.5	6
ENSG00000008394	MGST1	1454	168	1088	149	1188	1779	1550	954	1715	1116.111111	9
ENSG00000008441	NFIX	1799	1247	2470	771	2402	1302	1501	860	1802	1572.666667	9
ENSG00000008710	PKD1	2474	1796	2326	1327	3862	2030	1978	1583	1438	2090.444444	9
ENSG00000008735	MAPK8IP2	417	929	320	704	692	889	1792	828	276	760.7777778	9
ENSG00000008838	MED24	4530	4497	4759	5684					3319	4557.8	5
ENSG00000008869	HEATR5B				5284						5284	1
ENSG00000008952	SEC62	3727	2153	3636	3706	1141	1304	2171	1164	3089	2454.555556	9
ENSG00000008988	RPS20	900	425	1612	587	916	715	1144	1818	980	1010.777778	9
ENSG00000009307	CSDE1	2401	1866	3424	5040	1989	1998	1692	1834	2324	2507.555556	9
ENSG00000009335	UBE3C	4918	5396	6610						3613	5134.25	4
ENSG00000009413	REV3L		4472	6380	5048						5300	3
ENSG00000009694	TENM1	1915	1974	2606	1126	2797	2883	2203	1187	2889	2175.555556	9
ENSG00000009844	VTA1	5198	4130	5677	5733		4809		3061	4417	4717.857143	7
ENSG00000009954	BAZ1B	4779	4961	5565		3072	4862	3835			4512.333333	6
ENSG00000010017	RANBP9	2746	2498	2969	2996	3180	2278		2275	2437	2672.375	8
ENSG00000010219	DYRK4		3274	5186	4992			2551			4000.75	4
ENSG00000010244	ZNF207	4233	3326	3866	4049	3965	3036		2384	4400	3657.375	8
ENSG00000010256	UQCRC1	2256	2735	1577	2672	1742	3965		2953	1917	2477.125	8
ENSG00000010270	STARD3NL	1092	1421	1084	1670	1345	1296	690	878	2179	1295	9
ENSG00000010278	CD9	2854	1412	1561	838	800	692		2283	422	1357.75	8
ENSG00000010282	HHATL			2889			841			447	1392.333333	3
ENSG00000010322	NISCH	648	927	783	1135	921	643	1793	749	643	915.7777778	9
ENSG00000010404	IDS	180	195	211	279	107	251	349	247	129	216.4444444	9
ENSG00000010438	PRSS3	1155	3069	1535	2458			1830		1347	1899	6
ENSG00000010626	LRRC23	2165		4429							3297	2
ENSG00000010810	FYN	3907	4633	4762	5937		3529	3268	2960	3390	4048.25	8
ENSG00000010818	HIVEP2	3327		4319	4011					4700	4089.25	4
ENSG00000011009	LYPLA2		4828	3813	4676					2630	3986.75	4
ENSG00000011021	CLCN6	2544	3992	3102	3365	2496	3212		1601	1635	2743.375	8
ENSG00000011028	MRC2	1690		1158	798						1215.333333	3
ENSG00000011201	ANOS1	3764	1390	2761	1433	1937	3201	377	842	2196	1989	9
ENSG00000011243	AKAP8L	4268	3857	4603	5051		3884			3677	4223.333333	6
ENSG00000011260	UTP18		3494	6069	5238			2984			4446.25	4
ENSG00000011275	RNF216	3664	4540	4691	5973						4717	4
ENSG00000011295	TTC19	2307	2097	1741	2344	2458	1089	2497	2175	1921	2069.888889	9
ENSG00000011304	PTBP1	2981		3263	2208						2817.333333	3
ENSG00000011332	DPF1	1775	2582	2101	2517		2034	2307		2675	2284.428571	7
ENSG00000011347	SYT7	745	3213	1294	2125	1357	994	1358	2398	3126	1845.555556	9
ENSG00000011405	PIK3C2A	4880	3279	5207	1394	3942	4849				3925.166667	6
ENSG00000011426	ANLN	664		592		77	126			169	325.6	5
ENSG00000011454	RABGAP1	4957		4775	6104		4043	3911	2813	3816	4345.571429	7
ENSG00000011465	DCN	55	13	52	11	481	1862	1765	1778	2275	921.3333333	9
ENSG00000011485	PPP5C	2235	4191	2432	3934	2970	2905	3464	2315	2966	3045.777778	9
ENSG00000011523	CEP68		5596	4539	4933		3366	3900			4466.8	5
ENSG00000011566	MAP4K3		4539	6439	4041					4288	4826.75	4
ENSG00000011600	TYROBP	2937		2672	1526						2378.333333	3
ENSG00000011677	GABRA3	1414	2446	1469	2960	1194	1273	885	741	1200	1509.111111	9
ENSG00000012061	ERCC1	4474	4874	6235	5924	2870	4270	3421		3823	4486.375	8
ENSG00000012171	SEMA3B			3362						736	2049	2
ENSG00000012174	MBTPS2		4644								4644	1
ENSG00000012232	EXTL3		4779	5820	5966					3970	5133.75	4
ENSG00000012660	ELOVL5	4445	1066	3249	649	680	2965	2527	1696	2635	2212.444444	9
ENSG00000012822	CALCOCO1	5295	4665	4131	5165		2753	3912		4865	4398	7
ENSG00000013016	EHD3	3925	4443	4872	4246	3042	4739		2325	2429	3752.625	8
ENSG00000013275	PSMC4	3506	4712	3982	4988	3660	3661	2989	2903	3966	3818.555556	9
ENSG00000013288	MAN2B2	3967	3761	3987	4756					4053	4104.8	5
ENSG00000013293	SLC7A14	1971	516	1278	784	1939	1714	1342	1628	742	1323.777778	9
ENSG00000013297	CLDN11	631	1351	674	361	45	86	167	1767	49	570.1111111	9
ENSG00000013306	SLC25A39	3700	3517	4484	5162		3735	2511		4997	4015.142857	7
ENSG00000013364	MVP			4488							4488	1
ENSG00000013374	NUB1	4751	5855	6254	4745	3959	4534	3096	3051	4830	4563.888889	9
ENSG00000013375	PGM3			6955	6072						6513.5	2
ENSG00000013392	RWDD2A		3240	3268	3897		2867	2303			3115	5
ENSG00000013441	CLK1	4247	2739	3254	2251	3190	2483	1967		4133	3033	8
ENSG00000013561	RNF14	4516	5204	5875		3817	3832		3221	4967	4490.285714	7
ENSG00000013583	HEBP1	4824	5140	5297	5948		3479	3704	2869		4465.857143	7
ENSG00000013619	MAMLD1	2373	2229	2769	2381		1731	1891			2229	6
ENSG00000014123	UFL1			5965	4837	3483		3752			4509.25	4
ENSG00000014216	CAPN1	3592	3935	5984	3452		4398	3012		2702	3867.857143	7
ENSG00000014641	MDH1	102	107	100	132	222	171	231	667	150	209.1111111	9
ENSG00000014824	SLC30A9	2987	3856	2633	2608	2948	1622	3659	2118	2314	2749.444444	9
ENSG00000014919	COX15			6662							6662	1
ENSG00000015153	YAF2	5551	3672	4598	2971	3328	4093			2548	3823	7
ENSG00000015171	ZMYND11	4497	3916	4384	4849	3337	3123		2882	4611	3949.875	8
ENSG00000015592	STMN4	2867	877	2964	918	448	883	1285	2190	1210	1515.777778	9
ENSG00000015676	NUDCD3	2776	3073	3250	2106	1723	2479	3648	1916	3305	2697.333333	9
ENSG00000016082	ISL1	734	374	454	488		347	291		1514	600.2857143	7
ENSG00000016864	GLT8D1	4163	3771	2421	3413		2211	2286		3927	3170.285714	7
ENSG00000017260	ATP2C1	2220	2359	3680	2655	2425	1696	1406	2480	3185	2456.222222	9
ENSG00000017483	SLC38A5			3893			1487				2690	2
ENSG00000017797	RALBP1	4623	5880	6128			4209			4679	5103.8	5
ENSG00000018189	RUFY3	1393	707	1485	1062	2197	1662	1245	1017	1531	1366.555556	9
ENSG00000018236	CNTN1	608	344	582	375	825	587	1152	444	675	621.3333333	9
ENSG00000018408	WWTR1	2701		2010		420	244				1343.75	4
ENSG00000018610	CXorf56									4809	4809	1
ENSG00000018625	ATP1A2	789	207	864	244	695	1388	245	337	751	613.3333333	9
ENSG00000019144	PHLDB1	4252			5367		4645			934	3799.5	4
ENSG00000019505	SYT13	403	826	491	794	465	848	840	379	337	598.1111111	9
ENSG00000019582	CD74	452	98	528	141	163	71	434	277	1264	380.8888889	9
ENSG00000019995	ZRANB1	5409	3846	5632	5480				2988	4603	4659.666667	6
ENSG00000020129	NCDN	132	229	160	173	317	278	275	58	171	199.2222222	9
ENSG00000020426	MNAT1			5258			4787				5022.5	2
ENSG00000020577	SAMD4A		3484	6866	3631	1374	3851			3446	3775.333333	6
ENSG00000021300	PLEKHB1	763	440	767	354	477	224	491	346	272	459.3333333	9
ENSG00000021355	SERPINB1	3539	2021	4269	2574						3100.75	4
ENSG00000021574	SPAST		5057		6133						5595	2
ENSG00000021645	NRXN3	3319	438	2560	442	832	709	382	1254	1765	1300.111111	9
ENSG00000021776	AQR			6522							6522	1
ENSG00000022267	FHL1	233	701	212	697	401	311	1356	487	549	549.6666667	9
ENSG00000022277	RTF2	4806	4320		5704	3848	3830	3846		2906	4180	7
ENSG00000022355	GABRA1	287	278	358	417	410	619	360	359	282	374.4444444	9
ENSG00000022840	RNF10	4597	4357	6138	5427		3653			4383	4759.166667	6
ENSG00000023171	GRAMD1B	3610	5237	4564			4865			2494	4154	5
ENSG00000023191	RNH1	4452	5203	5932		2334	2446			1872	3706.5	6
ENSG00000023228	NDUFS1	3305	3436	2577	4876	3831	4961	3433		2978	3674.625	8
ENSG00000023287	RB1CC1	4228	3873	5115	5008		4943			4735	4650.333333	6
ENSG00000023318	ERP44	5313	5689	6116	4635		4249				5200.4	5
ENSG00000023330	ALAS1		4925	6256	5988						5723	3
ENSG00000023516	AKAP11	2545	1858	2627	2079	1311	2895	2174	1336	1823	2072	9
ENSG00000023572	GLRX2	4048	3609	5354	5020	3321	4061			4665	4296.857143	7
ENSG00000023697	DERA			5982							5982	1
ENSG00000023734	STRAP	651	708	702	945	970	424	835	1243	855	814.7777778	9
ENSG00000023902	PLEKHO1	2287	4258	2978	2579	2781					2976.6	5
ENSG00000023909	GCLM	3835		6715		2888	3856			3773	4213.4	5
ENSG00000024048	UBR2		5567								5567	1
ENSG00000024422	EHD2			6043							6043	1
ENSG00000024862	CCDC28A	1741	1676	2396	2316	2187	1536	1289	1702	1451	1810.444444	9
ENSG00000025039	RRAGD			6847							6847	1
ENSG00000025156	HSF2				3589						3589	1
ENSG00000025293	PHF20									4761	4761	1
ENSG00000025423	HSD17B6	2575		1451							2013	2
ENSG00000025770	NCAPH2			5396	4373						4884.5	2
ENSG00000025772	TOMM34	2470	2811	2908	2624	1538	2320	2992	1147	1945	2306.111111	9
ENSG00000025796	SEC63	5136	5185	6104	3861	3418	3652	3868	3054	4025	4255.888889	9
ENSG00000025800	KPNA6	5334	5395	4719	4288		4796	3584			4686	6
ENSG00000026025	VIM	52	14	44	14	278	81	199	875	748	256.1111111	9
ENSG00000026297	RNASET2	5246	5522							4639	5135.666667	3
ENSG00000026508	CD44	731	272	748	364	153	226	198	414	329	381.6666667	9
ENSG00000026652	AGPAT4		4986		5724		3840			3519	4517.25	4
ENSG00000027697	IFNGR1	5652	5885	6991		2165	4103			4711	4917.833333	6
ENSG00000027847	B4GALT7	4019		4294	4289			3071			3918.25	4
ENSG00000028203	VEZT	4219	3620	4141	3504	3933	3139			3921	3782.428571	7
ENSG00000028277	POU2F2		2367	4167	1930		2695	2084			2648.6	5
ENSG00000028528	SNX1	5633			5841	3597	4654			3142	4573.4	5
ENSG00000028839	TBPL1	1927	1650	2767	2170	2918	1735	1764	1679	1622	2025.777778	9
ENSG00000029363	BCLAF1	3645	3041	2958	3264	1993	2723	3313	1367	2343	2738.555556	9
ENSG00000029364	SLC39A9	5020	4197	5720	5983		3015			2525	4410	6
ENSG00000029725	RABEP1	5667	4466	5557	4840	3819				3292	4606.833333	6
ENSG00000029993	HMGB3		2570	5512	3251		4876			2609	3763.6	5
ENSG00000030582	GRN	3560	3077	4217	3056	2690	4626	3303	3004	4269	3533.555556	9
ENSG00000031003	FAM13B	2403	4296	2530	2651	2700	2878	2914	2895	1708	2775	9
ENSG00000031698	SARS	728	923	978	1280	1636	1099	1018	1404	1120	1131.777778	9
ENSG00000031823	RANBP3	5566	5925	6010			4250		2735	3967	4742.166667	6
ENSG00000032219	ARID4A		3927	5491	5870	3338	3488	3529		4031	4239.142857	7
ENSG00000032389	EIPR1	2603	3673	2841	3690		1556	1171	3011	2256	2600.125	8
ENSG00000032444	PNPLA6	3459	4490	3963	5637		4078			4949	4429.333333	6
ENSG00000032742	IFT88	3668		4112	4896						4225.333333	3
ENSG00000033050	ABCF2	4858	5174	4119	5786					4614	4910.2	5
ENSG00000033100	CHPF2		4687	4921	4388			3749			4436.25	4
ENSG00000033122	LRRC7		1445		2216				412		1357.666667	3
ENSG00000033170	FUT8			6948	5385					3035	5122.666667	3
ENSG00000033178	UBA6	4659	4537		5436		4388				4755	4
ENSG00000033627	ATP6V0A1	673	921	825	876	1125	768	1232	1080	616	901.7777778	9
ENSG00000033800	PIAS1	4699	4981	5238	5552		4890		2954		4719	6
ENSG00000034053	APBA2	4793	3254	5403	3423	3950	4569			4724	4302.285714	7
ENSG00000034239	EFCAB1	363		302							332.5	2
ENSG00000034510	TMSB10	183	89	181	102	258	77	46	398	65	155.4444444	9
ENSG00000034677	RNF19A			6546							6546	1
ENSG00000034713	GABARAPL2	1706	1041	1214	1137	649	719	494	604	1549	1012.555556	9
ENSG00000035141	FAM136A	3367	3774	4621	2639		4340			2371	3518.666667	6
ENSG00000035403	VCL	3554	5750	3773	3484	3830	3964	2929			3897.714286	7
ENSG00000035687	ADSS	5142	4672		5138		4530	2983	3010	3587	4151.714286	7
ENSG00000035862	TIMP2	724	513	927	454	353	530	589	275	782	571.8888889	9
ENSG00000035928	RFC1		5666	6707		2787	4494				4913.5	4
ENSG00000036054	TBC1D23			6807							6807	1
ENSG00000036257	CUL3	4000	5783	4829	4623	3500	3766			3780	4325.857143	7
ENSG00000036530	CYP46A1	1848	3055	1710	3043	1421	2648	1944	328	1174	1907.888889	9
ENSG00000036549	AC118549.1		4708	6070							5389	2
ENSG00000037042	TUBG2	2742	3528	2798	3358	2681	2227	3092	2693	2959	2897.555556	9
ENSG00000037241	RPL26L1	2788	3837	5302	5272		2161	2874		3416	3664.285714	7
ENSG00000037637	FBXO42			4549	5469						5009	2
ENSG00000038002	AGA			2914							2914	1
ENSG00000038219	BOD1L1	5061			4968		4513				4847.333333	3
ENSG00000038274	MAT2B	3308	2920	2592	3947	2013	2179	2935	2317	2499	2745.555556	9
ENSG00000038358	EDC4	3752	4514	4467	4505		3953		2983	4012	4026.571429	7
ENSG00000038382	TRIO	2538	2609	3971	2404	2256	3102		2176	2283	2667.375	8
ENSG00000038427	VCAN	2614		2909			1528				2350.333333	3
ENSG00000039123	MTREX	4483	2931	5977	4940		4917	2793		4512	4364.714286	7
ENSG00000039319	ZFYVE16		5411	6818			4954	2965		3265	4682.6	5
ENSG00000039523	RIPOR1	4056	2763	3522	3279		4031	3792		3723	3595.142857	7
ENSG00000040199	PHLPP2				4948						4948	1
ENSG00000040341	STAU2	3266	5597	3791	3351	3421	4337		2428	3994	3773.125	8
ENSG00000040633	PHF23	5163		5925							5544	2
ENSG00000040731	CDH10		4726	4688	3389						4267.666667	3
ENSG00000040933	INPP4A	2506	2566	2511	2981	3135	2457	3716	3253	1841	2774	9
ENSG00000041353	RAB27B				2874					2055	2464.5	2
ENSG00000041357	PSMA4	2096	2158	3557	3154	2132	1895	1886	2056	1621	2283.888889	9
ENSG00000041982	TNC	2228	746	2598	1194	1985					1750.2	5
ENSG00000042445	RETSAT			6761							6761	1
ENSG00000042493	CAPG	4493		5707							5100	2
ENSG00000042753	AP2S1	783	1314	698	1037	841	932	1118	2568	542	1092.555556	9
ENSG00000043093	DCUN1D1	5616			6128						5872	2
ENSG00000043143	JADE2		4233	5465	4272		4124	3336	2671	3318	3917	7
ENSG00000043355	ZIC2		532		410				76		339.3333333	3
ENSG00000044115	CTNNA1	4700	2715	4122	1719	2321	2289	3186		1412	2808	8
ENSG00000044574	HSPA5	888	738	761	938	472	306	403	785	1116	711.8888889	9
ENSG00000046651	OFD1			6375			3309				4842	2
ENSG00000046653	GPM6B	141	93	201	83	87	57	88	307	118	130.5555556	9
ENSG00000046889	PREX2	4968	3357	3909	3925		3722	1623		3786	3612.857143	7
ENSG00000047056	WDR37		4311	4630	2987	3922	4415			2897	3860.333333	6
ENSG00000047249	ATP6V1H	1016	1323	950	1385	755	1004	2361	2563	474	1314.555556	9
ENSG00000047315	POLR2B	2835	2753	2314	3436	3460	2789	2877		2645	2888.625	8
ENSG00000047346	FAM214A		5072		4312						4692	2
ENSG00000047410	TPR	5623	4692	6114		3525	3885			4224	4677.166667	6
ENSG00000047457	CP		142		140						141	2
ENSG00000047579	DTNBP1	3713	3365	3084	3663		4847				3734.4	5
ENSG00000047597	XK		2682		3580						3131	2
ENSG00000047648	ARHGAP6	3018	2547	6764	3109		1391	2168			3166.166667	6
ENSG00000047849	MAP4	2455	1930	3466	2801	1672	1907	2007	573	2021	2092.444444	9
ENSG00000047932	GOPC	5401	4844	6092	3077		3516		3039	3736	4243.571429	7
ENSG00000048052	HDAC9		3553	3688	4769						4003.333333	3
ENSG00000048162	NOP16				6152						6152	1
ENSG00000048342	CC2D2A			5685							5685	1
ENSG00000048392	RRM2B		5802	5814	5849						5821.666667	3
ENSG00000048540	LMO3	1293	806	1213	800	328	834	469	242	2208	910.3333333	9
ENSG00000048544	MRPS10	4258	4269	3324	5651	3025	2901	2279		3912	3702.375	8
ENSG00000048649	RSF1	5281	5737	6088	5215	3229	3905			4921	4910.857143	7
ENSG00000048707	VPS13D			6373			4963			4963	5433	3
ENSG00000048740	CELF2	2935	2608	3299	2646	1168	1607	448	896	2024	1959	9
ENSG00000048828	FAM120A	4456	5310	4615	3497	3997	4052			4613	4362.857143	7
ENSG00000048991	R3HDM1		3709	4418	3188					4289	3901	4
ENSG00000049089	COL9A2	3456		2763	1677						2632	3
ENSG00000049245	VAMP3	3958	2956	4388	1709	1253	1543	927		971	2213.125	8
ENSG00000049246	PER3	5354		6587	4724		4032				5174.25	4
ENSG00000049449	RCN1	3412	3010	4296	4069	2361	3025	3741	1061	1250	2913.888889	9
ENSG00000049540	ELN	3390		2643							3016.5	2
ENSG00000049618	ARID1B	4610	5415		5144					3790	4739.75	4
ENSG00000049656	CLPTM1L	1607	2232	1839	2068	2472	1848	2509	2841	2361	2197.444444	9
ENSG00000049759	NEDD4L	2922	1710	3064	1174	1850	3407	1480	1189	1084	1986.666667	9
ENSG00000049769	PPP1R3F	3214	3445	4459	6060		3429	3182			3964.833333	6
ENSG00000049860	HEXB	3187	4140	2836	2257		4187			3208	3302.5	6
ENSG00000050030	NEXMIF	1791	1822	1781	1966	2156	2016				1922	6
ENSG00000050130	JKAMP	1755	1933	2360	1788	3007	1233	945	1234	3656	1990.111111	9
ENSG00000050165	DKK3	279	353	296	484	166	290	694	152	81	310.5555556	9
ENSG00000050393	MCUR1	5056	3972	6313	6148		4867		3049		4900.833333	6
ENSG00000050426	LETMD1	5459	4780	5709	6023			3395		3882	4874.666667	6
ENSG00000050438	SLC4A8	2557	3030	3149	2258	3510	4870	3864	1027	4790	3228.333333	9
ENSG00000050555	LAMC3	741		323							532	2
ENSG00000050628	PTGER3	758	394	885	290		720	374	385	2189	749.375	8
ENSG00000050748	MAPK9	1483	1353	1244	1019	1133	1653	2124	1449	720	1353.111111	9
ENSG00000050820	BCAR1	4893	4913	5553	5913		3662	3886		4871	4813	7
ENSG00000051108	HERPUD1	3223	4737	3588	4600	1385	1129		2710	4722	3261.75	8
ENSG00000051382	PIK3CB		5439	5945	4313		4765			3825	4857.4	5
ENSG00000051523	CYBA	1870	1038	1295	596		1511	2630			1490	6
ENSG00000051620	HEBP2	1983	2976	2452	3990	1920	1590	752	870	3129	2184.666667	9
ENSG00000052126	PLEKHA5	4298	3280	4490	2628						3674	4
ENSG00000052795	FNIP2				5038						5038	1
ENSG00000052802	MSMO1	2033	1577	2012	2084	935	1713	1823	1311	1382	1652.222222	9
ENSG00000052841	TTC17				5866						5866	1
ENSG00000053371	AKR7A2	5044		5545	5063		4722		2798	4834	4667.666667	6
ENSG00000053372	MRTO4		5930	6133	5428						5830.333333	3
ENSG00000053438	NNAT	86	103	67	138	505	252	132	41	164	165.3333333	9
ENSG00000053501	USE1	4668		6150							5409	2
ENSG00000053770	AP5M1	4902	3506	4306	5380		3164	2704	2436	4436	3854.25	8
ENSG00000054116	TRAPPC3	3240	4812	4106	4638	3716	4096	2720	2706	4181	3801.666667	9
ENSG00000054118	THRAP3	5285	5408	3969			2784			4853	4459.8	5
ENSG00000054148	PHPT1	2201	2572	2479	5223	1986	3475	2060		2513	2813.625	8
