Gene	Ensembl ID
SPI1	ENSG00000066336
SPON1	ENSG00000262655
SST	ENSG00000157005
ST18	ENSG00000147488
STAT3	ENSG00000168610
STK32B	ENSG00000152953
STXBP2	ENSG00000076944
SULF1	ENSG00000137573
SYNPR	ENSG00000163630
TAC1	ENSG00000006128
TACR1	ENSG00000115353
TENM1	ENSG00000009694
TESPA1	ENSG00000135426
TGFB1	ENSG00000105329
TGFB2	ENSG00000092969
TGFBI	ENSG00000120708
THBS1	ENSG00000137801
THEMIS	ENSG00000172673
THSD4	ENSG00000187720
THSD7B	ENSG00000144229
TMEM132C	ENSG00000181234
TMIGD3	ENSG00000121933
TOP2A	ENSG00000131747
TP53	ENSG00000141510
TPH2	ENSG00000139287
TRAC	ENSG00000277734
TREM2	ENSG00000095970
TRHDE	ENSG00000072657
TRIL	ENSG00000255690
TRPC5	ENSG00000072315
TRPC6	ENSG00000137672
TSHZ2	ENSG00000182463
TTYH1	ENSG00000167614
UGT8	ENSG00000174607
UNC5B	ENSG00000107731
VCAN	ENSG00000038427
VIP	ENSG00000146469
VWC2L	ENSG00000174453
WIF1	ENSG00000156076
ZBBX	ENSG00000169064
ZDHHC23	ENSG00000184307
