hgnc_symbol	ensembl_gene_id
ANKRD65	ENSG00000235098
ANKZF1	ENSG00000163516
ANO10	ENSG00000160746
ANO7	ENSG00000146205
ANP32E	ENSG00000143401
ANTXR1	ENSG00000169604
ANXA4	ENSG00000196975
AOX1	ENSG00000138356
AP1S3	ENSG00000152056
AP4B1	ENSG00000134262
AP4B1-AS1	ENSG00000226167
APH1A	ENSG00000117362
APLF	ENSG00000169621
APOBEC4	ENSG00000173627
ARF1	ENSG00000143761
ARHGAP15	ENSG00000075884
ARHGAP25	ENSG00000163219
ARHGAP29	ENSG00000137962
ARHGAP29-AS1	ENSG00000226835
ARHGAP30	ENSG00000186517
ARHGEF10L	ENSG00000074964
ARHGEF11	ENSG00000132694
ARHGEF16	ENSG00000130762
ARHGEF19	ENSG00000142632
ARHGEF2	ENSG00000116584
ARHGEF33	ENSG00000214694
ARHGEF4	ENSG00000136002
ARID1A	ENSG00000117713
ARID4B	ENSG00000054267
ARID5A	ENSG00000196843
ARIH2	ENSG00000177479
ARIH2OS	ENSG00000221883
ARL4C	ENSG00000188042
ARL5A	ENSG00000162980
ARL6IP6	ENSG00000177917
ARL8A	ENSG00000143862
ARL8B	ENSG00000134108
ARMC9	ENSG00000135931
ARMH1	ENSG00000198520
ARNT	ENSG00000143437
ARPC2	ENSG00000163466
ARPC4	ENSG00000241553
ARPC5	ENSG00000162704
ARPP21	ENSG00000172995
ARTN	ENSG00000117407
ARV1	ENSG00000173409
ASAP2	ENSG00000151693
ASAP3	ENSG00000088280
ASB1	ENSG00000065802
ASB18	ENSG00000182177
ASB3	ENSG00000115239
ASCL5	ENSG00000232237
ASH1L	ENSG00000116539
ASH1L-AS1	ENSG00000235919
ASH1L-IT1	ENSG00000227773
ASIC4	ENSG00000072182
ASNSD1	ENSG00000138381
ASPM	ENSG00000066279
ASPRV1	ENSG00000244617
ASTN1	ENSG00000152092
ASXL2	ENSG00000143970
ATAD2B	ENSG00000119778
ATAD3A	ENSG00000197785
ATAD3B	ENSG00000160072
ATAD3C	ENSG00000215915
ATF2	ENSG00000115966
ATF3	ENSG00000162772
ATF6	ENSG00000118217
ATG16L1	ENSG00000085978
ATG4B	ENSG00000168397
ATG4C	ENSG00000125703
ATG7	ENSG00000197548
ATG9A	ENSG00000198925
ATIC	ENSG00000138363
ATL2	ENSG00000119787
ATOH8	ENSG00000168874
ATP13A2	ENSG00000159363
ATP1A1	ENSG00000163399
ATP1A1-AS1	ENSG00000203865
ATP1A2	ENSG00000018625
ATP1A4	ENSG00000132681
ATP1B1	ENSG00000143153
ATP2B2	ENSG00000157087
ATP2B2-IT2	ENSG00000224771
ATP2B4	ENSG00000058668
ATP5IF1	ENSG00000130770
ATP5MC3	ENSG00000154518
ATP5PB	ENSG00000116459
ATP6V0B	ENSG00000117410
ATP6V1C2	ENSG00000143882
ATP6V1E2	ENSG00000250565
ATP8B2	ENSG00000143515
ATPAF1	ENSG00000123472
ATRAID	ENSG00000138085
ATRIP	ENSG00000164053
ATXN7L2	ENSG00000162650
AUNIP	ENSG00000127423
AUP1	ENSG00000115307
AURKAIP1	ENSG00000175756
AVPR1B	ENSG00000198049
AXDND1	ENSG00000162779
AZI2	ENSG00000163512
AZIN2	ENSG00000142920
B3GALNT2	ENSG00000162885
B3GALT1	ENSG00000172318
B3GALT2	ENSG00000162630
B3GALT6	ENSG00000176022
B3GNT2	ENSG00000170340
B3GNT7	ENSG00000156966
B4GALT2	ENSG00000117411
B4GALT3	ENSG00000158850
BABAM2	ENSG00000158019
BARD1	ENSG00000138376
BARHL2	ENSG00000143032
BATF3	ENSG00000123685
BAZ2B	ENSG00000123636
BBS5	ENSG00000163093
BCAN	ENSG00000132692
BCAR3	ENSG00000137936
BCAS2	ENSG00000116752
BCL10	ENSG00000142867
BCL11A	ENSG00000119866
BCL2L11	ENSG00000153094
BCL2L15	ENSG00000188761
BCL9	ENSG00000116128
BCS1L	ENSG00000074582
BEND5	ENSG00000162373
BEST4	ENSG00000142959
BGLAP	ENSG00000242252
BHLHE40	ENSG00000134107
BHLHE40-AS1	ENSG00000235831
BIN1	ENSG00000136717
BIRC6	ENSG00000115760
BLACAT1	ENSG00000281406
BLZF1	ENSG00000117475
BMP8A	ENSG00000183682
BMP8B	ENSG00000116985
BMPR2	ENSG00000204217
BNIPL	ENSG00000163141
BOK	ENSG00000176720
BOK-AS1	ENSG00000234235
BOLA1	ENSG00000178096
BOLA3	ENSG00000163170
BPNT1	ENSG00000162813
BRDT	ENSG00000137948
BRINP2	ENSG00000198797
BRINP3	ENSG00000162670
BRK1	ENSG00000254999
BROX	ENSG00000162819
BRPF1	ENSG00000156983
BSDC1	ENSG00000160058
BSND	ENSG00000162399
BTBD19	ENSG00000222009
BTBD8	ENSG00000189195
BTD	ENSG00000169814
BTF3L4	ENSG00000134717
BTG2	ENSG00000159388
BUB1	ENSG00000169679
BZW1	ENSG00000082153
C1D	ENSG00000197223
C1orf105	ENSG00000180999
C1orf115	ENSG00000162817
C1orf116	ENSG00000182795
C1orf122	ENSG00000197982
C1orf127	ENSG00000175262
C1orf131	ENSG00000143633
C1orf141	ENSG00000203963
C1orf146	ENSG00000203910
C1orf159	ENSG00000131591
C1orf162	ENSG00000143110
C1orf167	ENSG00000215910
C1orf174	ENSG00000198912
C1orf185	ENSG00000204006
C1orf198	ENSG00000119280
C1orf21	ENSG00000116667
C1orf216	ENSG00000142686
C1orf220	ENSG00000213057
C1orf226	ENSG00000239887
C1orf35	ENSG00000143793
C1orf43	ENSG00000143612
C1orf50	ENSG00000164008
C1orf52	ENSG00000162642
C1orf53	ENSG00000203724
C1orf54	ENSG00000118292
C1orf56	ENSG00000143443
C1orf74	ENSG00000162757
C1orf87	ENSG00000162598
C1orf94	ENSG00000142698
C1QB	ENSG00000173369
C1QC	ENSG00000159189
C1QL2	ENSG00000144119
C1QTNF12	ENSG00000184163
C2CD4D	ENSG00000225556
C2CD4D-AS1	ENSG00000234614
C2CD6	ENSG00000155754
C2orf15	ENSG00000273045
C2orf42	ENSG00000115998
C2orf49	ENSG00000135974
C2orf50	ENSG00000150873
C2orf66	ENSG00000187944
C2orf68	ENSG00000168887
C2orf69	ENSG00000178074
C2orf72	ENSG00000204128
C2orf73	ENSG00000177994
C2orf74	ENSG00000237651
C2orf76	ENSG00000186132
C2orf80	ENSG00000188674
C2orf81	ENSG00000284308
C2orf88	ENSG00000187699
C2orf92	ENSG00000228486
C3orf20	ENSG00000131379
C4BPB	ENSG00000123843
CA14	ENSG00000118298
CA6	ENSG00000131686
CAB39	ENSG00000135932
CACHD1	ENSG00000158966
CACNA1E	ENSG00000198216
CACNA1S	ENSG00000081248
CACNB4	ENSG00000182389
CACYBP	ENSG00000116161
CAD	ENSG00000084774
CADM3	ENSG00000162706
CADM3-AS1	ENSG00000225670
CALCRL	ENSG00000064989
CALM2	ENSG00000143933
CALML6	ENSG00000169885
CAMK1	ENSG00000134072
CAMK1G	ENSG00000008118
CAMK2N1	ENSG00000162545
CAMKMT	ENSG00000143919
CAMSAP2	ENSG00000118200
CAMTA1	ENSG00000171735
CAMTA1-DT	ENSG00000237436
CAMTA1-IT1	ENSG00000237402
CAND2	ENSG00000144712
CAP1	ENSG00000131236
CAPG	ENSG00000042493
CAPN10	ENSG00000142330
CAPN10-DT	ENSG00000260942
CAPN13	ENSG00000162949
CAPN14	ENSG00000214711
CAPN2	ENSG00000162909
CAPN7	ENSG00000131375
CAPN8	ENSG00000203697
CAPN9	ENSG00000135773
CAPZA1	ENSG00000116489
CAPZB	ENSG00000077549
CARF	ENSG00000138380
CASP10	ENSG00000003400
CASP8	ENSG00000064012
CASP9	ENSG00000132906
CASQ1	ENSG00000143318
CASQ2	ENSG00000118729
CASZ1	ENSG00000130940
CATIP	ENSG00000158428
CATSPERE	ENSG00000179397
CAV3	ENSG00000182533
CAVIN2	ENSG00000168497
CC2D1B	ENSG00000154222
CCDC115	ENSG00000136710
CCDC12	ENSG00000160799
CCDC121	ENSG00000176714
CCDC13	ENSG00000244607
CCDC13-AS1	ENSG00000173811
CCDC138	ENSG00000163006
CCDC141	ENSG00000163492
CCDC142	ENSG00000135637
CCDC148	ENSG00000153237
CCDC150	ENSG00000144395
CCDC163	ENSG00000280670
CCDC174	ENSG00000154781
CCDC18	ENSG00000122483
CCDC18-AS1	ENSG00000223745
CCDC181	ENSG00000117477
CCDC190	ENSG00000185860
CCDC195	ENSG00000283428
CCDC24	ENSG00000159214
CCDC28B	ENSG00000160050
CCDC30	ENSG00000186409
CCDC51	ENSG00000164051
CCDC74A	ENSG00000163040
CCDC74B	ENSG00000152076
CCDC85A	ENSG00000055813
CCDC88A	ENSG00000115355
CCDC93	ENSG00000125633
CCK	ENSG00000187094
CCN1	ENSG00000142871
CCNL2	ENSG00000221978
CCNT2	ENSG00000082258
CCNT2-AS1	ENSG00000224043
CCNYL1	ENSG00000163249
CCR1	ENSG00000163823
CCR3	ENSG00000183625
CCR5AS	ENSG00000223552
CCSAP	ENSG00000154429
CCT3	ENSG00000163468
CCT4	ENSG00000115484
CCT7	ENSG00000135624
CD101	ENSG00000134256
CD160	ENSG00000117281
CD164L2	ENSG00000174950
CD247	ENSG00000198821
CD302	ENSG00000241399
CD34	ENSG00000174059
CD46	ENSG00000117335
CD52	ENSG00000169442
CD53	ENSG00000143119
CD55	ENSG00000196352
CD58	ENSG00000116815
CD84	ENSG00000066294
CD8A	ENSG00000153563
CD8B	ENSG00000172116
CDC14A	ENSG00000079335
CDC20	ENSG00000117399
CDC25A	ENSG00000164045
CDC42	ENSG00000070831
CDC42-AS1	ENSG00000285752
CDC42-IT1	ENSG00000230068
CDC42BPA	ENSG00000143776
CDC42EP3	ENSG00000163171
CDC42SE1	ENSG00000197622
CDC7	ENSG00000097046
CDC73	ENSG00000134371
CDCA7	ENSG00000144354
CDCA8	ENSG00000134690
CDCP1	ENSG00000163814
CDCP2	ENSG00000157211
CDK11A	ENSG00000008128
CDK11B	ENSG00000248333
CDK15	ENSG00000138395
CDK18	ENSG00000117266
CDK5R2	ENSG00000171450
CDKL4	ENSG00000205111
CDKN2C	ENSG00000123080
CEBPZ	ENSG00000115816
CEBPZOS	ENSG00000218739
CELA2A	ENSG00000142615
CELA2B	ENSG00000215704
CELF3	ENSG00000159409
CELSR2	ENSG00000143126
CELSR3	ENSG00000008300
CENPA	ENSG00000115163
CENPF	ENSG00000117724
CENPL	ENSG00000120334
CENPO	ENSG00000138092
CENPS	ENSG00000175279
CEP104	ENSG00000116198
CEP170	ENSG00000143702
CEP350	ENSG00000135837
CEP68	ENSG00000011523
CEP85	ENSG00000130695
CEPT1	ENSG00000134255
CERKL	ENSG00000188452
CERS2	ENSG00000143418
CERS6	ENSG00000172292
CFAP126	ENSG00000188931
CFAP221	ENSG00000163075
CFAP36	ENSG00000163001
CFAP45	ENSG00000213085
CFAP57	ENSG00000243710
CFAP65	ENSG00000181378
CFAP74	ENSG00000142609
CFC1	ENSG00000136698
CFH	ENSG00000000971
CFLAR	ENSG00000003402
CFLAR-AS1	ENSG00000226312
CGN	ENSG00000143375
CGREF1	ENSG00000138028
CHAC2	ENSG00000143942
CHCHD4	ENSG00000163528
CHCHD5	ENSG00000125611
CHD1L	ENSG00000131778
CHD5	ENSG00000116254
CHI3L1	ENSG00000133048
CHIT1	ENSG00000133063
CHL1	ENSG00000134121
CHL1-AS2	ENSG00000224318
CHML	ENSG00000203668
CHMP3	ENSG00000115561
CHN1	ENSG00000128656
CHPF	ENSG00000123989
CHRM3	ENSG00000133019
CHRM3-AS2	ENSG00000233355
CHRNB2	ENSG00000160716
CHROMR	ENSG00000223960
CHST10	ENSG00000115526
CHTOP	ENSG00000160679
CIAO1	ENSG00000144021
CIART	ENSG00000159208
CIB4	ENSG00000157884
CIR1	ENSG00000138433
CITED4	ENSG00000179862
CKS1B	ENSG00000173207
CLASP1	ENSG00000074054
CLASP2	ENSG00000163539
CLCA1	ENSG00000016490
CLCA4	ENSG00000016602
CLCA4-AS1	ENSG00000236915
CLCC1	ENSG00000121940
CLCN6	ENSG00000011021
CLCNKA	ENSG00000186510
CLCNKB	ENSG00000184908
CLEC3B	ENSG00000163815
CLHC1	ENSG00000162994
CLIC4	ENSG00000169504
CLIP4	ENSG00000115295
CLK1	ENSG00000013441
CLK2	ENSG00000176444
CLSPN	ENSG00000092853
CLSTN1	ENSG00000171603
CMC1	ENSG00000187118
CMPK1	ENSG00000162368
CMPK2	ENSG00000134326
CMTM6	ENSG00000091317
CMTM7	ENSG00000153551
CMTM8	ENSG00000170293
CNGA3	ENSG00000144191
CNIH3	ENSG00000143786
CNIH4	ENSG00000143771
CNKSR1	ENSG00000142675
CNN3	ENSG00000117519
CNNM3	ENSG00000168763
CNNM3-DT	ENSG00000273265
CNNM4	ENSG00000158158
CNOT10	ENSG00000182973
CNOT11	ENSG00000158435
CNOT9	ENSG00000144580
CNPPD1	ENSG00000115649
CNR2	ENSG00000188822
CNRIP1	ENSG00000119865
CNST	ENSG00000162852
CNTN2	ENSG00000184144
CNTN4	ENSG00000144619
CNTN4-AS1	ENSG00000237990
CNTN6	ENSG00000134115
CNTNAP5	ENSG00000155052
COA5	ENSG00000183513
COA6	ENSG00000168275
COA6-AS1	ENSG00000231663
COA7	ENSG00000162377
COBLL1	ENSG00000082438
COG2	ENSG00000135775
COL11A1	ENSG00000060718
COL16A1	ENSG00000084636
COL24A1	ENSG00000171502
COL3A1	ENSG00000168542
COL4A3	ENSG00000169031
COL4A4	ENSG00000081052
COL5A2	ENSG00000204262
COL6A3	ENSG00000163359
COL7A1	ENSG00000114270
COL8A2	ENSG00000171812
COL9A2	ENSG00000049089
COLEC11	ENSG00000118004
COLGALT2	ENSG00000198756
COLQ	ENSG00000206561
COMMD1	ENSG00000173163
COP1	ENSG00000143207
COPA	ENSG00000122218
COPS7B	ENSG00000144524
COPS8	ENSG00000198612
COPS9	ENSG00000172428
COQ10B	ENSG00000115520
COQ8A	ENSG00000163050
CORT	ENSG00000241563
COX20	ENSG00000203667
COX5B	ENSG00000135940
COX7A2L	ENSG00000115944
CPLANE2	ENSG00000132881
CPNE9	ENSG00000144550
CPO	ENSG00000144410
CPS1	ENSG00000021826
CPSF3	ENSG00000119203
CPT2	ENSG00000157184
CPTP	ENSG00000224051
CR1	ENSG00000203710
CR1L	ENSG00000197721
CR2	ENSG00000117322
CRABP2	ENSG00000143320
CRB1	ENSG00000134376
CRBN	ENSG00000113851
CREB1	ENSG00000118260
CREB3L4	ENSG00000143578
CREG1	ENSG00000143162
CREG2	ENSG00000175874
CRELD1	ENSG00000163703
CRIM1	ENSG00000150938
CRIM1-DT	ENSG00000260025
CRIPT	ENSG00000119878
CROCC	ENSG00000058453
CROCC2	ENSG00000226321
CRTAP	ENSG00000170275
CRTC2	ENSG00000160741
CRYBG2	ENSG00000176092
CRYGA	ENSG00000168582
CRYGD	ENSG00000118231
CRYZ	ENSG00000116791
CSDE1	ENSG00000009307
CSF1	ENSG00000184371
CSF3R	ENSG00000119535
CSMD2	ENSG00000121904
CSPG5	ENSG00000114646
CSRNP1	ENSG00000144655
CSRNP3	ENSG00000178662
CSRP1	ENSG00000159176
CTBS	ENSG00000117151
CTDSP1	ENSG00000144579
CTDSPL	ENSG00000144677
CTH	ENSG00000116761
CTNNA2	ENSG00000066032
CTNNB1	ENSG00000168036
CTNNBIP1	ENSG00000178585
CTPS1	ENSG00000171793
CTRC	ENSG00000162438
CTSK	ENSG00000143387
CTSS	ENSG00000163131
CTTNBP2NL	ENSG00000143079
CTXND2	ENSG00000283324
CUL3	ENSG00000036257
CWC22	ENSG00000163510
CX3CR1	ENSG00000168329
CXCR2	ENSG00000180871
CYB561D1	ENSG00000174151
CYB5R1	ENSG00000159348
CYB5RL	ENSG00000215883
CYBRD1	ENSG00000071967
CYP1B1	ENSG00000138061
CYP1B1-AS1	ENSG00000232973
CYP20A1	ENSG00000119004
CYP26B1	ENSG00000003137
CYP27A1	ENSG00000135929
CYP27C1	ENSG00000186684
CYP2J2	ENSG00000134716
CYP4A11	ENSG00000187048
CYP4A22	ENSG00000162365
CYP4A22-AS1	ENSG00000225506
CYP4B1	ENSG00000142973
CYP4X1	ENSG00000186377
CYP4Z1	ENSG00000186160
CYS1	ENSG00000205795
CYTIP	ENSG00000115165
CYTOR	ENSG00000222041
CZIB	ENSG00000162384
D2HGDH	ENSG00000180902
DAB1	ENSG00000173406
DALRD3	ENSG00000178149
DAP3	ENSG00000132676
DAPL1	ENSG00000163331
DARS1	ENSG00000115866
DARS2	ENSG00000117593
DAW1	ENSG00000123977
DAZL	ENSG00000092345
DBI	ENSG00000155368
DBT	ENSG00000137992
DCAF17	ENSG00000115827
DCAF6	ENSG00000143164
DCAF8	ENSG00000132716
DCDC2B	ENSG00000222046
DCDC2C	ENSG00000214866
DCLK3	ENSG00000163673
DCLRE1B	ENSG00000118655
DCST1	ENSG00000163357
DCST1-AS1	ENSG00000232093
DCST2	ENSG00000163354
DCTN1	ENSG00000204843
DCTN1-AS1	ENSG00000237737
DDAH1	ENSG00000153904
DDI2	ENSG00000197312
DDOST	ENSG00000244038
DDR2	ENSG00000162733
DDX1	ENSG00000079785
DDX18	ENSG00000088205
DDX20	ENSG00000064703
DDX59	ENSG00000118197
DDX59-AS1	ENSG00000260088
DEDD	ENSG00000158796
DEGS1	ENSG00000143753
DENND1B	ENSG00000213047
DENND2C	ENSG00000175984
DENND2D	ENSG00000162777
DENND4B	ENSG00000198837
DEPDC1	ENSG00000024526
DEPDC1-AS1	ENSG00000234264
DES	ENSG00000175084
DESI2	ENSG00000121644
DFFA	ENSG00000160049
DFFB	ENSG00000169598
DGKD	ENSG00000077044
DGUOK	ENSG00000114956
DGUOK-AS1	ENSG00000237883
DHCR24	ENSG00000116133
DHCR24-DT	ENSG00000233203
DHDDS	ENSG00000117682
DHRS3	ENSG00000162496
DHX30	ENSG00000132153
DHX57	ENSG00000163214
DHX9	ENSG00000135829
DIO1	ENSG00000211452
DIPK1A	ENSG00000154511
DIRAS3	ENSG00000162595
DIRC3	ENSG00000231672
DIS3L2	ENSG00000144535
DISC1	ENSG00000162946
DISC1-IT1	ENSG00000226758
DISP1	ENSG00000154309
DISP3	ENSG00000204624
DLEC1	ENSG00000008226
DLEU2L	ENSG00000116652
DLGAP3	ENSG00000116544
DLX1	ENSG00000144355
DLX2	ENSG00000115844
DLX2-DT	ENSG00000236651
DMAP1	ENSG00000178028
DMBX1	ENSG00000197587
DMRTA2	ENSG00000142700
DNAH14	ENSG00000185842
DNAH6	ENSG00000115423
DNAH7	ENSG00000118997
DNAJB2	ENSG00000135924
DNAJB4	ENSG00000162616
DNAJC10	ENSG00000077232
DNAJC11	ENSG00000007923
DNAJC16	ENSG00000116138
DNAJC27	ENSG00000115137
DNAJC27-AS1	ENSG00000224165
DNAJC5G	ENSG00000163793
DNAJC6	ENSG00000116675
DNAJC8	ENSG00000126698
DNALI1	ENSG00000163879
DNASE2B	ENSG00000137976
DNER	ENSG00000187957
DNM3	ENSG00000197959
DNM3-IT1	ENSG00000233540
DNM3OS	ENSG00000230630
DNMT3A	ENSG00000119772
DNPEP	ENSG00000123992
DNTTIP2	ENSG00000067334
DOCK10	ENSG00000135905
DOCK7	ENSG00000116641
DOK1	ENSG00000115325
DPH2	ENSG00000132768
DPH3	ENSG00000154813
DPH5	ENSG00000117543
DPM3	ENSG00000179085
DPP10	ENSG00000175497
DPP10-AS1	ENSG00000235026
DPP4	ENSG00000197635
DPT	ENSG00000143196
DPY30	ENSG00000162961
DPYD	ENSG00000188641
DPYD-IT1	ENSG00000232542
DPYSL5	ENSG00000157851
DQX1	ENSG00000144045
DR1	ENSG00000117505
DRAM2	ENSG00000156171
DRAXIN	ENSG00000162490
DRC1	ENSG00000157856
DSTYK	ENSG00000133059
DTL	ENSG00000143476
DTNB	ENSG00000138101
DTYMK	ENSG00000168393
DUSP10	ENSG00000143507
DUSP11	ENSG00000144048
DUSP12	ENSG00000081721
DUSP19	ENSG00000162999
DUSP2	ENSG00000158050
DUSP23	ENSG00000158716
DUSP28	ENSG00000188542
DVL1	ENSG00000107404
DYNC1I2	ENSG00000077380
DYNC1LI1	ENSG00000144635
DYNC2LI1	ENSG00000138036
DYRK3	ENSG00000143479
DYSF	ENSG00000135636
DYTN	ENSG00000232125
E2F6	ENSG00000169016
EAF1	ENSG00000144597
EAF1-AS1	ENSG00000249786
EBNA1BP2	ENSG00000117395
ECE1	ENSG00000117298
ECEL1	ENSG00000171551
ECHDC2	ENSG00000121310
ECM1	ENSG00000143369
ECRG4	ENSG00000119147
EDAR	ENSG00000135960
EDARADD	ENSG00000186197
EDEM1	ENSG00000134109
EDEM3	ENSG00000116406
EEF1B2	ENSG00000114942
EFCAB14	ENSG00000159658
EFCAB2	ENSG00000203666
EFCAB7	ENSG00000203965
EFEMP1	ENSG00000115380
EFHB	ENSG00000163576
EFHD1	ENSG00000115468
EFHD2	ENSG00000142634
EFNA1	ENSG00000169242
EFNA3	ENSG00000143590
EFR3B	ENSG00000084710
EGLN1	ENSG00000135766
EGOT	ENSG00000235947
EGR4	ENSG00000135625
EHBP1	ENSG00000115504
EHD3	ENSG00000013016
EIF1B	ENSG00000114784
EIF1B-AS1	ENSG00000280739
EIF2AK2	ENSG00000055332
EIF2AK3	ENSG00000172071
EIF2AK3-DT	ENSG00000234028
EIF2B3	ENSG00000070785
EIF2B4	ENSG00000115211
EIF2D	ENSG00000143486
EIF3I	ENSG00000084623
EIF4E2	ENSG00000135930
EIF4G3	ENSG00000075151
EIF5B	ENSG00000158417
EIPR1	ENSG00000032389
EIPR1-IT1	ENSG00000224885
ELAVL4	ENSG00000162374
ELF3	ENSG00000163435
ELF3-AS1	ENSG00000234678
ELK4	ENSG00000158711
ELMOD3	ENSG00000115459
ELOA	ENSG00000011007
ELOA-AS1	ENSG00000236810
ELOVL1	ENSG00000066322
ELP6	ENSG00000163832
EMC1	ENSG00000127463
EMC1-AS1	ENSG00000230424
EMC3	ENSG00000125037
EMILIN1	ENSG00000138080
EML4	ENSG00000143924
EML6	ENSG00000214595
EMX1	ENSG00000135638
ENAH	ENSG00000154380
ENO1	ENSG00000074800
ENO1-AS1	ENSG00000230679
ENSA	ENSG00000143420
ENTPD3	ENSG00000168032
ENTPD3-AS1	ENSG00000280739
EOMES	ENSG00000163508
EPAS1	ENSG00000116016
EPB41	ENSG00000159023
EPB41L5	ENSG00000115109
EPC2	ENSG00000135999
EPCAM	ENSG00000119888
EPCAM-DT	ENSG00000234690
EPHA10	ENSG00000183317
EPHA2	ENSG00000142627
EPHA4	ENSG00000116106
EPHA8	ENSG00000070886
EPHB2	ENSG00000133216
EPHX1	ENSG00000143819
EPHX4	ENSG00000172031
EPM2AIP1	ENSG00000178567
EPRS1	ENSG00000136628
EPS15	ENSG00000085832
ERBB4	ENSG00000178568
ERCC3	ENSG00000163161
ERFE	ENSG00000178752
ERI3	ENSG00000117419
ERI3-IT1	ENSG00000233602
ERICH2	ENSG00000204334
ERICH3	ENSG00000178965
ERLEC1	ENSG00000068912
ERMAP	ENSG00000164010
ERMN	ENSG00000136541
ERO1B	ENSG00000086619
ERRFI1	ENSG00000116285
ESPN	ENSG00000187017
ESPNL	ENSG00000144488
ESRRG	ENSG00000196482
ETAA1	ENSG00000143971
ETNK2	ENSG00000143845
ETV3	ENSG00000117036
ETV3L	ENSG00000253831
EVA1A	ENSG00000115363
EVA1B	ENSG00000142694
EVI5	ENSG00000067208
EXO1	ENSG00000174371
EXO5	ENSG00000164002
