input_number	input	input_ensg	ensg_number	ortholog_name	ortholog_ensg	description
614	2210408I21Rik	ENSMUSG00000071252	614.1.1	KIAA0825	ENSG00000185261	KIAA0825 [Source:HGNC Symbol;Acc:HGNC:28532]
623	2300009A05Rik	ENSMUSG00000032403	623.1.1	C15orf61	ENSG00000189227	chromosome 15 open reading frame 61 [Source:HGNC Symbol;Acc:HGNC:34453]
637	2310009B15Rik	ENSMUSG00000079283	637.1.1	C1orf53	ENSG00000203724	chromosome 1 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:30003]
639	2310011J03Rik	ENSMUSG00000020133	639.1.1	C19orf25	ENSG00000119559	chromosome 19 open reading frame 25 [Source:HGNC Symbol;Acc:HGNC:26711]
651	2310022A10Rik	ENSMUSG00000049643	651.1.1	C19orf47	ENSG00000160392	chromosome 19 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:26723]
652	2310022B05Rik	ENSMUSG00000031983	652.1.1	C1orf198	ENSG00000119280	chromosome 1 open reading frame 198 [Source:HGNC Symbol;Acc:HGNC:25900]
655	2310030G06Rik	ENSMUSG00000032062	655.1.1	C11orf52	ENSG00000149300	chromosome 11 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:30531]
656	2310033P09Rik	ENSMUSG00000020441	656.1.1	C1orf35	ENSG00000143793	chromosome 1 open reading frame 35 [Source:HGNC Symbol;Acc:HGNC:19032]
658	2310034G01Rik	ENSMUSG00000099655	658.1.1	C10orf95	ENSG00000120055	chromosome 10 open reading frame 95 [Source:HGNC Symbol;Acc:HGNC:25880]
663	2310039H08Rik	ENSMUSG00000062619	663.1.1	C6orf226	ENSG00000221821	chromosome 6 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34431]
672	2310057J18Rik	ENSMUSG00000015519	672.1.1	C6orf58	ENSG00000184530	chromosome 6 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:20960]
673	2310057M21Rik	ENSMUSG00000040177	673.1.1	C10orf88	ENSG00000119965	chromosome 10 open reading frame 88 [Source:HGNC Symbol;Acc:HGNC:25822]
674	2310061I04Rik	ENSMUSG00000050705	674.1.1	C6orf136	ENSG00000204564	chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]
689	2410004B18Rik	ENSMUSG00000036873	689.1.1	C1orf52	ENSG00000162642	chromosome 1 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:24871]
714	2510002D24Rik	ENSMUSG00000071632	714.1.1	C22orf39	ENSG00000242259	chromosome 22 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:27012]
717	2510009E07Rik	ENSMUSG00000043391	717.1.1	C3orf70	ENSG00000187068	chromosome 3 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:33731]
718	2510039O18Rik	ENSMUSG00000044496	718.1.1	KIAA2013	ENSG00000116685	KIAA2013 [Source:HGNC Symbol;Acc:HGNC:28513]
730	2610028H24Rik	ENSMUSG00000009114	730.1.1	C21orf58	ENSG00000160298	chromosome 21 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:1300]
757	2700049A03Rik	ENSMUSG00000034601	757.1.1	KIAA0586	ENSG00000100578	KIAA0586 [Source:HGNC Symbol;Acc:HGNC:19960]
760	2700062C07Rik	ENSMUSG00000024273	760.1.1	C18orf21	ENSG00000141428	chromosome 18 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:28802]
772	2810004N23Rik	ENSMUSG00000031984	772.1.1	C1orf131	ENSG00000143633	chromosome 1 open reading frame 131 [Source:HGNC Symbol;Acc:HGNC:25332]
801	2810459M11Rik	ENSMUSG00000026227	801.1.1	C2orf72	ENSG00000204128	chromosome 2 open reading frame 72 [Source:HGNC Symbol;Acc:HGNC:27418]
809	2900026A02Rik	ENSMUSG00000051339	809.1.1	KIAA1671	ENSG00000197077	KIAA1671 [Source:HGNC Symbol;Acc:HGNC:29345]
819	2900092C05Rik	ENSMUSG00000030385	819.1.1	C19orf18	ENSG00000177025	chromosome 19 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:28642]
840	3110040N11Rik	ENSMUSG00000025102	840.1.1	C15orf40	ENSG00000169609	chromosome 15 open reading frame 40 [Source:HGNC Symbol;Acc:HGNC:28443]
850	3110082I17Rik	ENSMUSG00000053553	850.1.1	C7orf50	ENSG00000146540	chromosome 7 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:22421]
894	4833420G17Rik	ENSMUSG00000062822	894.1.1	C5orf34	ENSG00000172244	chromosome 5 open reading frame 34 [Source:HGNC Symbol;Acc:HGNC:24738]
902	4833439L19Rik	ENSMUSG00000025871	902.1.1	KIAA1191	ENSG00000122203	KIAA1191 [Source:HGNC Symbol;Acc:HGNC:29209]
907	4921504E06Rik	ENSMUSG00000026734	907.1.1	C10orf67	ENSG00000179133	chromosome 10 open reading frame 67 [Source:HGNC Symbol;Acc:HGNC:28716]
924	4921524J17Rik	ENSMUSG00000036934	924.1.1	C16orf87	ENSG00000155330	chromosome 16 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33754]
934	4921536K21Rik	ENSMUSG00000020434	934.1.1	C5orf52	ENSG00000187658	chromosome 5 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:35121]
935	4921539E11Rik	ENSMUSG00000028520	935.1.1	C1orf141	ENSG00000203963	chromosome 1 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:32044]
1040	4930444P10Rik	ENSMUSG00000067795	1040.1.1	C8orf89	ENSG00000274443	chromosome 8 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:51258]
1044	4930447C04Rik	ENSMUSG00000021098	1044.1.1	C14orf39	ENSG00000179008	chromosome 14 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:19849]
1069	4930453N24Rik	ENSMUSG00000059920	1069.1.1	C3orf38	ENSG00000179021	chromosome 3 open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:28384]
1148	4930503L19Rik	ENSMUSG00000044906	1148.1.1	C18orf54	ENSG00000166845	chromosome 18 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:13796]
1152	4930505A04Rik	ENSMUSG00000040919	1152.1.1	C2orf73	ENSG00000177994	chromosome 2 open reading frame 73 [Source:HGNC Symbol;Acc:HGNC:26861]
1203	4930523C07Rik	ENSMUSG00000090394	1203.1.1	KIAA0040	ENSG00000235750	KIAA0040 [Source:HGNC Symbol;Acc:HGNC:28950]
1205	4930524B15Rik	ENSMUSG00000020299	1205.1.1	C5orf47	ENSG00000185056	chromosome 5 open reading frame 47 [Source:HGNC Symbol;Acc:HGNC:27026]
1251	4930544D05Rik	ENSMUSG00000087279	1251.1.1	C17orf107	ENSG00000205710	chromosome 17 open reading frame 107 [Source:HGNC Symbol;Acc:HGNC:37238]
1270	4930550C14Rik	ENSMUSG00000005131	1270.1.1	C11orf65	ENSG00000166323	chromosome 11 open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:28519]
1301	4930558K02Rik	ENSMUSG00000086277	1301.1.1	C1orf105	ENSG00000180999	chromosome 1 open reading frame 105 [Source:HGNC Symbol;Acc:HGNC:29591]
1303	4930562C15Rik	ENSMUSG00000022518	1303.1.1	C16orf96	ENSG00000205832	chromosome 16 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:40031]
1307	4930563E22Rik	ENSMUSG00000053574	1307.1.1	C17orf100	ENSG00000256806	chromosome 17 open reading frame 100 [Source:HGNC Symbol;Acc:HGNC:34494]
1348	4930579G24Rik	ENSMUSG00000027811	1348.1.1	C4orf46	ENSG00000205208	chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]
1363	4930590J08Rik	ENSMUSG00000034063	1363.1.1	C3orf20	ENSG00000131379	chromosome 3 open reading frame 20 [Source:HGNC Symbol;Acc:HGNC:25320]
1390	4931406C07Rik	ENSMUSG00000031938	1390.1.1	C11orf54	ENSG00000182919	chromosome 11 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:30204]
1397	4931414P19Rik	ENSMUSG00000022179	1397.1.1	C14orf93	ENSG00000100802	chromosome 14 open reading frame 93 [Source:HGNC Symbol;Acc:HGNC:20162]
1429	4932438H23Rik	ENSMUSG00000039851	1429.1.1	C21orf62	ENSG00000205929	chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]
1448	4933402N03Rik	ENSMUSG00000013668	1448.1.1	C10orf120	ENSG00000183559	chromosome 10 open reading frame 120 [Source:HGNC Symbol;Acc:HGNC:25707]
1458	4933405L10Rik	ENSMUSG00000013158	1458.1.1	C16orf86	ENSG00000159761	chromosome 16 open reading frame 86 [Source:HGNC Symbol;Acc:HGNC:33755]
1482	4933411K16Rik	ENSMUSG00000090369	1482.1.1	C10orf62	ENSG00000203942	chromosome 10 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:23294]
1503	4933424G06Rik	ENSMUSG00000102416	1503.1.1	C2orf92	ENSG00000228486	chromosome 2 open reading frame 92 [Source:HGNC Symbol;Acc:HGNC:49272]
1508	4933427D14Rik	ENSMUSG00000020807	1508.1.1	KIAA0753	ENSG00000198920	KIAA0753 [Source:HGNC Symbol;Acc:HGNC:29110]
1520	4933430I17Rik	ENSMUSG00000058046	1520.1.1	C9orf43	ENSG00000157653	chromosome 9 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:23570]
1537	4933434E20Rik	ENSMUSG00000027942	1537.1.1	C1orf43	ENSG00000143612	chromosome 1 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:29876]
1553	5031439G07Rik	ENSMUSG00000036046	1553.1.1	KIAA0930	ENSG00000100364	KIAA0930 [Source:HGNC Symbol;Acc:HGNC:1314]
1573	5430401F13Rik	ENSMUSG00000094113	1573.1.1	LPA	ENSG00000198670	lipoprotein(a) [Source:HGNC Symbol;Acc:HGNC:6667]
1600	5730409E04Rik	ENSMUSG00000073755	1600.1.1	C1orf216	ENSG00000142686	chromosome 1 open reading frame 216 [Source:HGNC Symbol;Acc:HGNC:26800]
1608	5730455P16Rik	ENSMUSG00000057181	1608.1.1	C17orf75	ENSG00000108666	chromosome 17 open reading frame 75 [Source:HGNC Symbol;Acc:HGNC:30173]
1640	6030458C11Rik	ENSMUSG00000022195	1640.1.1	C5orf22	ENSG00000082213	chromosome 5 open reading frame 22 [Source:HGNC Symbol;Acc:HGNC:25639]
1642	6030468B19Rik	ENSMUSG00000025573	1642.1.1	C17orf99	ENSG00000187997	chromosome 17 open reading frame 99 [Source:HGNC Symbol;Acc:HGNC:34490]
1661	6430548M08Rik	ENSMUSG00000031824	1661.1.1	KIAA0513	ENSG00000135709	KIAA0513 [Source:HGNC Symbol;Acc:HGNC:29058]
1662	6430550D23Rik	ENSMUSG00000074646	1662.1.1	C20orf173	ENSG00000125975	chromosome 20 open reading frame 173 [Source:HGNC Symbol;Acc:HGNC:16166]
1665	6430571L13Rik	ENSMUSG00000037977	1665.1.1	C3orf18	ENSG00000088543	chromosome 3 open reading frame 18 [Source:HGNC Symbol;Acc:HGNC:24837]
1679	6820408C15Rik	ENSMUSG00000032680	1679.1.1	C20orf96	ENSG00000196476	chromosome 20 open reading frame 96 [Source:HGNC Symbol;Acc:HGNC:16227]
1723	9130008F23Rik	ENSMUSG00000054951	1723.1.1	C6orf141	ENSG00000197261	chromosome 6 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:21351]
1738	9130401M01Rik	ENSMUSG00000101892	1738.1.1	C8orf76	ENSG00000189376	chromosome 8 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:25924]
1767	9330159F19Rik	ENSMUSG00000004360	1767.1.1	KIAA0408	ENSG00000189367	KIAA0408 [Source:HGNC Symbol;Acc:HGNC:21636]
1783	9430015G10Rik	ENSMUSG00000059939	1783.1.1	C1orf159	ENSG00000131591	chromosome 1 open reading frame 159 [Source:HGNC Symbol;Acc:HGNC:26062]
1790	9430038I01Rik	ENSMUSG00000040139	1790.1.1	C10orf143	ENSG00000237489	chromosome 10 open reading frame 143 [Source:HGNC Symbol;Acc:HGNC:48677]
1822	9530068E07Rik	ENSMUSG00000036275	1822.1.1	C5orf15	ENSG00000113583	chromosome 5 open reading frame 15 [Source:HGNC Symbol;Acc:HGNC:20656]
1841	9930012K11Rik	ENSMUSG00000044551	1841.1.1	C8orf58	ENSG00000241852	chromosome 8 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:32233]
1843	9930021J03Rik	ENSMUSG00000046138	1843.1.1	BRD10	ENSG00000183354	bromodomain containing 10 [Source:HGNC Symbol;Acc:HGNC:23378]
1849	A130010J15Rik	ENSMUSG00000079144	1849.1.1	C1orf74	ENSG00000162757	chromosome 1 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:26319]
1853	A1cf	ENSMUSG00000052595	1853.1.1	A1CF	ENSG00000148584	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]
1879	A2m	ENSMUSG00000030111	1879.1.1	A2M	ENSG00000175899	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]
1902	A430005L14Rik	ENSMUSG00000047613	1902.1.1	C1orf174	ENSG00000198912	chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:HGNC:27915]
1922	A4galt	ENSMUSG00000047878	1922.1.1	A4GALT	ENSG00000128274	alpha 1,4-galactosyltransferase (P blood group) [Source:HGNC Symbol;Acc:HGNC:18149]
1923	A4gnt	ENSMUSG00000037953	1923.1.1	A4GNT	ENSG00000118017	alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]
1928	A530016L24Rik	ENSMUSG00000043122	1928.1.1	C14orf180	ENSG00000184601	chromosome 14 open reading frame 180 [Source:HGNC Symbol;Acc:HGNC:33795]
1992	A830018L16Rik	ENSMUSG00000057715	1992.1.1	C8orf34	ENSG00000165084	chromosome 8 open reading frame 34 [Source:HGNC Symbol;Acc:HGNC:30905]
2027	A930018P22Rik	ENSMUSG00000032671	2027.1.1	C11orf91	ENSG00000205177	chromosome 11 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:34444]
2045	AA467197	ENSMUSG00000033213	2045.1.1	C15orf48	ENSG00000166920	chromosome 15 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29898]
2055	AA986860	ENSMUSG00000042510	2055.1.1	C1orf116	ENSG00000182795	chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]
2057	AB124611	ENSMUSG00000057191	2057.1.1	C19orf38	ENSG00000214212	chromosome 19 open reading frame 38 [Source:HGNC Symbol;Acc:HGNC:34073]
2065	AF529169	ENSMUSG00000039313	2065.1.1	MINAR1	ENSG00000169330	membrane integral NOTCH2 associated receptor 1 [Source:HGNC Symbol;Acc:HGNC:29172]
2075	AI429214	ENSMUSG00000074384	2075.1.1	C8orf48	ENSG00000164743	chromosome 8 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:26345]
2080	AI467606	ENSMUSG00000045165	2080.1.1	C16orf54	ENSG00000185905	chromosome 16 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26649]
2085	AI593442	ENSMUSG00000078307	2085.1.1	C11orf87	ENSG00000185742	chromosome 11 open reading frame 87 [Source:HGNC Symbol;Acc:HGNC:33788]
2086	AI597479	ENSMUSG00000010290	2086.1.1	C2orf49	ENSG00000135974	chromosome 2 open reading frame 49 [Source:HGNC Symbol;Acc:HGNC:28772]
2090	AI661453	ENSMUSG00000034382	2090.1.1	C6orf132	ENSG00000188112	chromosome 6 open reading frame 132 [Source:HGNC Symbol;Acc:HGNC:21288]
2092	AI837181	ENSMUSG00000047423	2092.1.1	C11orf68	ENSG00000175573	chromosome 11 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:28801]
2099	AK010878	ENSMUSG00000091931	2099.1.1	GON7	ENSG00000170270	GON7 subunit of KEOPS complex [Source:HGNC Symbol;Acc:HGNC:20356]
2100	AK129341	ENSMUSG00000040729	2100.1.1	CEP126	ENSG00000110318	centrosomal protein 126 [Source:HGNC Symbol;Acc:HGNC:29264]
2110	AU021092	ENSMUSG00000051669	2110.1.1	C16orf89	ENSG00000153446	chromosome 16 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:28687]
2111	AU022252	ENSMUSG00000078584	2111.1.1	C1orf50	ENSG00000164008	chromosome 1 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:28795]
2117	AU040320	ENSMUSG00000028830	2117.1.1	KIAA0319L	ENSG00000142687	KIAA0319 like [Source:HGNC Symbol;Acc:HGNC:30071]
2130	AW209491	ENSMUSG00000039182	2130.1.1	C7orf25	ENSG00000136197	chromosome 7 open reading frame 25 [Source:HGNC Symbol;Acc:HGNC:21703]
2135	AW554918	ENSMUSG00000033632	2135.1.1	KIAA1328	ENSG00000150477	KIAA1328 [Source:HGNC Symbol;Acc:HGNC:29248]
2144	Aaas	ENSMUSG00000036678	2144.1.1	AAAS	ENSG00000094914	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]
2145	Aacs	ENSMUSG00000029482	2145.1.1	AACS	ENSG00000081760	acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]
2149	Aadat	ENSMUSG00000057228	2149.1.1	AADAT	ENSG00000109576	aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929]
2151	Aagab	ENSMUSG00000037257	2151.1.1	AAGAB	ENSG00000103591	alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662]
2152	Aak1	ENSMUSG00000057230	2152.1.1	AAK1	ENSG00000115977	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]
2153	Aamdc	ENSMUSG00000035642	2153.1.1	AAMDC	ENSG00000087884	adipogenesis associated Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205]
2154	Aamp	ENSMUSG00000006299	2154.1.1	AAMP	ENSG00000127837	angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]
2155	Aanat	ENSMUSG00000020804	2155.1.1	AANAT	ENSG00000129673	aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]
2156	Aar2	ENSMUSG00000027628	2156.1.1	AAR2	ENSG00000131043	AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886]
2157	Aard	ENSMUSG00000068522	2157.1.1	AARD	ENSG00000205002	alanine and arginine rich domain containing protein [Source:HGNC Symbol;Acc:HGNC:33842]
2159	Aars2	ENSMUSG00000023938	2159.1.1	AARS2	ENSG00000124608	alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]
