ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000116005	PCYOX1	2	70484518	70508323	1	protein_coding	51449	PCYOX1	6.73322799744091e-12	-0.284006872	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	2.91623e-06	rs539167162	8
ENSG00000035141	FAM136A	2	70523107	70529222	-1	protein_coding	100287852	FAM136A	0.00147861672914258	-0.078236097	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	2.91623e-06	rs539167162	8
ENSG00000183733	FIGLA	2	71004442	71017775	-1	protein_coding	344018	FIGLA	0.731738228189441	NA	1	1.789	0	NA	NA	NA	NA	No	NA	2.91623e-06	rs539167162	8
ENSG00000124357	NAGK	2	71291474	71306935	1	protein_coding	55577	NAGK	8.57690899485212e-09	-0.419555949	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	2.91623e-06	rs539167162	8
ENSG00000003137	CYP26B1	2	72356367	72375167	-1	protein_coding	56603	CYP26B1	0.954353506649453	-0.353190997	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	7.7369e-06	rs544364685	9
ENSG00000180251	SLC9A4	2	103089762	103150431	1	protein_coding	389015	SLC9A4	1.58073058570014e-06	1.349272277	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	8.76723e-06	rs528044082	10
ENSG00000115616	SLC9A2	2	103236166	103327777	1	protein_coding	6549	SLC9A2	0.481161337483386	0.320885582	1	0.003	0	NA	NA	NA	NA	No	NA	8.76723e-06	rs528044082	10
ENSG00000162989	KCNJ3	2	155554811	155714863	1	protein_coding	3760	KCNJ3	0.989708242851416	0.283382572	2	15.24	0	NA	NA	NA	NA	No	NA	7.87871e-06	rs115378588	11
ENSG00000144366	GULP1	2	189156396	189460653	1	protein_coding	51454	GULP1	0.677557750178314	-0.307775328	6	4.621	0	NA	NA	NA	NA	No	NA	8.56989e-06	rs370046612	13
ENSG00000174325	DIRC1	2	189598882	189654831	-1	protein_coding	116093	DIRC1	0.0222588439435162	0.324928601	1	2.714	0	NA	NA	NA	NA	No	NA	NA	rs370046612	13
ENSG00000168542	COL3A1	2	189839046	189877472	1	protein_coding	1281	COL3A1	0.999999998393609	-0.38876181	1	3.418	0	NA	NA	NA	NA	No	NA	NA	rs370046612	13
ENSG00000144619	CNTN4	3	2140497	3099645	1	protein_coding	152330	CNTN4	0.996606387924368	3.218716198	11	9.78	0	NA	NA	NA	NA	No	NA	1.48383e-06	rs35516956;rs9873380	14
ENSG00000091181	IL5RA	3	3111233	3168297	-1	protein_coding	3568	IL5RA	0.000332264657278137	0.448406742	0	0	4	0.000387651	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	1.48383e-06	rs9873380;rs35516956	14
ENSG00000072756	TRNT1	3	3168600	3192563	1	protein_coding	51095	TRNT1	2.45863122935093e-06	0.998515901	0	0	1	0.038508	NA	GTEx/v8/Brain_Hypothalamus	+	No	NA	6.97295e-05	rs35516956	14
ENSG00000113851	CRBN	3	3190676	3221394	-1	protein_coding	51185	CRBN	0.0384944384873777	0.834171763	0	0	1	0.0437245	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	0.00573421	rs9873380	14
ENSG00000248710	RP11-432B6.3	3	159945241	160167617	-1	protein_coding	57560	NA	NA	NA	1	9.029	0	NA	NA	NA	NA	No	NA	NA	rs184034954	15
ENSG00000068885	IFT80	3	159974774	160117668	-1	protein_coding	57560	IFT80	1.44402047985056e-10	-1.299680757	1	9.029	0	NA	NA	NA	NA	No	NA	NA	rs184034954	15
ENSG00000113810	SMC4	3	160117062	160152750	1	protein_coding	10051	SMC4	0.105530996358142	-0.171161449	1	9.029	0	NA	NA	NA	NA	No	NA	NA	rs184034954	15
ENSG00000186432	KPNA4	3	160212783	160283376	-1	protein_coding	3840	KPNA4	0.998180756390855	-1.030335148	1	0.003	0	NA	NA	NA	NA	No	NA	NA	rs184034954	15
ENSG00000163590	PPM1L	3	160473390	160796695	1	protein_coding	151742	PPM1L	0.570549299339256	-2.327248701	3	17.24	0	NA	NA	NA	NA	No	NA	NA	rs184034954	15
ENSG00000169251	NMD3	3	160822484	160971320	1	protein_coding	51068	NMD3	4.4226191654738e-05	1.344745341	4	5.147	0	NA	NA	NA	NA	No	NA	4.2339e-06	rs184034954	15
ENSG00000196542	SPTSSB	3	161062580	161090668	-1	protein_coding	165679	SPTSSB	0.00589959099120582	0.204354303	2	3.019	0	NA	NA	NA	NA	No	NA	NA	rs184034954	15
ENSG00000182447	OTOL1	3	161214596	161221730	1	protein_coding	131149	OTOL1	1.71727944749843e-07	0.107111674	1	1.168	0	NA	NA	NA	NA	No	NA	NA	rs184034954	15
ENSG00000181449	SOX2	3	181429714	181432221	1	protein_coding	6657	SOX2	0.396696528099993	-0.415429407	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs143785026	16
ENSG00000058063	ATP11B	3	182511288	182639423	1	protein_coding	23200	ATP11B	0.992834850949756	-1.005341862	84	15.8	118	0.00405847	NA	GTEx/v8/Brain_Hypothalamus	NA	Yes	EP_correlation_cell_type_oneway	9.21089e-06	rs143785026	16
ENSG00000043093	DCUN1D1	3	182655862	182703741	-1	protein_coding	54165	DCUN1D1	0.990513001427957	-1.788973556	7	8.119	2	0.0277193	NA	GTEx/v8/Brain_Hypothalamus	NA	No	NA	NA	rs143785026	16
ENSG00000078070	MCCC1	3	182733006	182833863	-1	protein_coding	56922	MCCC1	2.51105898766941e-05	-0.330513399	39	10.06	83	0.00223012	NA	GTEx/v8/Brain_Hypothalamus	NA	Yes	Promoter_anchored_loops:Adult_Cortex	NA	rs143785026	16
ENSG00000078081	LAMP3	3	182840001	182881627	-1	protein_coding	27074	LAMP3	0.833342526965146	0.577259361	14	13.3	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	NA	rs143785026	16
ENSG00000053524	MCF2L2	3	182895831	183146566	-1	protein_coding	23101	MCF2L2	1.61269129905986e-12	-1.041195929	130	14.6	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs143785026	16
ENSG00000176597	B3GNT5	3	182971032	183016292	1	protein_coding	101928934	B3GNT5	0.630704047253903	0.659765641	89	14.6	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops:EP_correlation_cell_type_oneway:Adult_Cortex	NA	rs143785026	16
ENSG00000172578	KLHL6	3	183205319	183273477	-1	protein_coding	89857	KLHL6	3.42666879196839e-06	3.492382858	0	0	32	0.00379979	NA	GTEx/v8/Brain_Hypothalamus	+	Yes	EP_correlation_cell_type_oneway	9.21089e-06	rs143785026	16
ENSG00000114796	KLHL24	3	183353356	183402265	1	protein_coding	54800	KLHL24	0.252414430146934	-0.09909778	0	0	92	0.00149057	NA	GTEx/v8/Brain_Hypothalamus	NA	Yes	EP_correlation_cell_type_oneway	NA	rs143785026	16
ENSG00000163872	YEATS2	3	183415606	183530413	1	protein_coding	55689	YEATS2	0.999977828893892	-1.290052721	1	17.25	0	NA	NA	NA	NA	No	NA	NA	rs143785026	16
ENSG00000180834	MAP6D1	3	183533664	183543382	-1	protein_coding	79929	MAP6D1	0.0518280033537145	0.781365203	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs143785026	16
ENSG00000175193	PARL	3	183547173	183602721	-1	protein_coding	55486	PARL	1.07316888361272e-05	0.118297069	1	0.173	0	NA	NA	NA	NA	No	NA	NA	rs143785026	16
ENSG00000114770	ABCC5	3	183637722	183735803	-1	protein_coding	10057	ABCC5	0.896205134921104	-0.409741797	1	5.677	0	NA	NA	NA	NA	No	NA	NA	rs143785026	16
ENSG00000178084	HTR3C	3	183770835	183778459	1	protein_coding	170572	HTR3C	2.33900863158536e-08	-0.180964417	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	NA	rs143785026	16
ENSG00000145191	EIF2B5	3	183852826	184402546	1	protein_coding	8893	EIF2B5	0.996711860525997	-0.022767486	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	NA	rs143785026	16
ENSG00000161202	DVL3	3	183873176	183891398	1	protein_coding	1857	DVL3	0.995402942345558	-0.214594344	0	0	4	0.037709	NA	GTEx/v8/Brain_Hypothalamus	NA	Yes	Promoter_anchored_loops	NA	rs143785026	16
ENSG00000161203	AP2M1	3	183892477	183901879	1	protein_coding	1173	AP2M1	0.993893174243241	-0.037895415	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs143785026	16
ENSG00000161204	ABCF3	3	183903811	183911800	1	protein_coding	55324	ABCF3	0.00402616582072083	-0.310260977	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	NA	rs143785026	16
ENSG00000163888	CAMK2N2	3	183977001	183979251	-1	protein_coding	94032	CAMK2N2	0.320487800680099	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs143785026	16
ENSG00000175166	PSMD2	3	184016497	184026842	1	protein_coding	5708	PSMD2	0.999997115740613	0.797725053	0	0	3	0.0273299	NA	GTEx/v8/Brain_Hypothalamus	NA	No	NA	NA	rs143785026	16
ENSG00000175182	FAM131A	3	184053714	184064063	1	protein_coding	131408	FAM131A	0.0313284236342615	-0.228806349	0	0	13	0.00707881	NA	GTEx/v8/Brain_Hypothalamus	NA	Yes	Promoter_anchored_loops	NA	rs143785026	16
ENSG00000157765	SLC34A2	4	25656923	25680370	1	protein_coding	10568	SLC34A2	1.02438347272582e-05	0.38090272	1	0.035	0	NA	NA	NA	NA	No	NA	2.84965e-07	rs528525484	17
ENSG00000151834	GABRA2	4	46250444	46477247	-1	protein_coding	2555	GABRA2	0.976963701382334	0.780310907	1	6.051	0	NA	NA	NA	NA	No	NA	NA	rs185177489	18
ENSG00000170516	COX7B2	4	46736844	46911252	-1	protein_coding	170712	COX7B2	0.474554621396108	0.389175242	1	2.687	0	NA	NA	NA	NA	No	NA	NA	rs185177489	18
ENSG00000109158	GABRA4	4	46920917	46996424	-1	protein_coding	2557	GABRA4	0.981416568659062	1.206923359	3	4.906	0	NA	NA	NA	NA	No	NA	2.86218e-06	rs185177489	18
ENSG00000163288	GABRB1	4	46995740	47428461	1	protein_coding	2560	GABRB1	0.977782832819184	-0.057516375	4	8.461	0	NA	NA	NA	NA	No	NA	2.86218e-06	rs185177489	18
ENSG00000170448	NFXL1	4	47849257	47916653	-1	protein_coding	152518	NFXL1	0.0078889795648465	-0.297556415	1	0.792	0	NA	NA	NA	NA	No	NA	NA	rs185177489	18
ENSG00000184349	EFNA5	5	106712590	107006596	-1	protein_coding	1946	EFNA5	0.889436552296034	-0.042471419	4	16.32	0	NA	NA	NA	NA	No	NA	2.49444e-06	rs549129565	20
ENSG00000145743	FBXL17	5	107194736	107717799	-1	protein_coding	64839	FBXL17	0.977900472361054	0.933602042	2	6.879	0	NA	NA	NA	NA	No	NA	NA	rs549129565	20
ENSG00000112576	CCND3	6	41902671	42018095	-1	protein_coding	896	CCND3	0.946445162222962	-0.503493698	7	12.75	0	NA	NA	NA	NA	No	NA	5.17933e-06	rs9357378	21
ENSG00000048544	MRPS10	6	42174539	42185603	-1	protein_coding	55173	MRPS10	0.0282121460745838	2.187370035	0	0	5	0.0147356	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	5.17933e-06	rs9357378	21
ENSG00000124659	TBCC	6	42712219	42714558	-1	protein_coding	6903	TBCC	0.0110028256898399	NA	0	0	1	0.0271328	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	5.17933e-06	rs9357378	21
ENSG00000130349	C6orf203	6	107349407	107372546	1	protein_coding	51250	C6orf203	0.00178692275457031	0.74059338	0	0	1	0.0216537	NA	GTEx/v8/Brain_Hypothalamus	+	No	NA	1.23341e-07	rs1739865	23
ENSG00000164494	PDSS2	6	107473761	107780768	-1	protein_coding	57107	PDSS2	1.89564464414184e-05	-0.637292192	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	4.69374e-05	rs1739865	23
ENSG00000146285	SCML4	6	108025308	108145521	-1	protein_coding	256380	SCML4	0.268213054620722	-0.122272059	8	14.2	0	NA	NA	NA	NA	No	NA	1.19315e-07	rs1739865	23
ENSG00000240720	LRRD1	7	91741473	91808845	-1	protein_coding	401387	LRRD1	NA	-0.185866549	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	3.52545e-06	rs139637606	24
ENSG00000157259	GATAD1	7	92076767	92088150	1	protein_coding	57798	GATAD1	0.507483499064787	-0.400630864	1	17.07	0	NA	NA	NA	NA	No	NA	3.52545e-06	rs139637606	24
ENSG00000105810	CDK6	7	92234235	92465908	-1	protein_coding	1021	CDK6	0.923677276455166	-3.08722098	1	18.22	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	5.10411e-05	rs139637606	24
ENSG00000261115	TMEM178B	7	140774032	141180180	1	protein_coding	100507421	TMEM178B	NA	-0.160108882	2	11.73	0	NA	NA	NA	NA	No	NA	NA	rs537711848	25
ENSG00000006530	AGK	7	141250989	141355044	1	protein_coding	55750	AGK	2.4706842233331e-06	-0.811015575	1	3.213	0	NA	NA	NA	NA	No	NA	NA	rs537711848	25
ENSG00000106028	SSBP1	7	141438121	141487722	1	protein_coding	6742	SSBP1	0.058441518078084	-0.215499129	1	10.25	0	NA	NA	NA	NA	No	NA	NA	rs537711848	25
ENSG00000127364	TAS2R4	7	141478242	141479235	1	protein_coding	50832	TAS2R4	0.0497384495024723	-0.164714807	1	10.25	0	NA	NA	NA	NA	No	NA	NA	rs537711848	25
ENSG00000127366	TAS2R5	7	141490017	141491166	1	protein_coding	54429	TAS2R5	0.000103902616890766	1.005695109	1	10.25	0	NA	NA	NA	NA	No	NA	NA	rs537711848	25
ENSG00000257335	MGAM	7	141607613	141806547	1	protein_coding	8972	MGAM	1.5473423744435e-23	-0.052315095	1	33	0	NA	NA	NA	NA	No	NA	NA	rs537711848	25
ENSG00000257743	RP11-1220K2.2	7	141811549	141922124	1	protein_coding	NA	NA	0.0293800126236847	NA	1	13.48	0	NA	NA	NA	NA	No	NA	2.10092e-07	rs537711848	25
ENSG00000165125	TRPV6	7	142568956	142583507	-1	protein_coding	55503	TRPV6	0.00141348404170926	-0.368188967	1	1.334	0	NA	NA	NA	NA	No	NA	NA	rs537711848	25
ENSG00000221937	TAS2R40	7	142919130	142920162	1	protein_coding	259286	TAS2R40	0.00249983201307608	-0.162099949	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs537711848	25
ENSG00000268170	AC073342.1	7	142919163	142919360	-1	protein_coding	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs537711848	25
ENSG00000271321	CTAGE6	7	143452182	143454789	-1	protein_coding	340307	CTAGE6	0.366836244776785	-0.459252004	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	NA	rs537711848	25
ENSG00000174469	CNTNAP2	7	145813453	148118090	1	protein_coding	26047	CNTNAP2	3.82882607342169e-05	1.498800603	4	9.305	0	NA	NA	NA	NA	No	NA	1.203e-06	rs73154370	26
ENSG00000003987	MTMR7	8	17155539	17271037	-1	protein_coding	9108	MTMR7	1.63743798338027e-09	0.900645681	0	0	15	0.0285939	NA	GTEx/v8/Brain_Hypothalamus	+	No	NA	0.000705197	rs9325801	27
ENSG00000104213	PDGFRL	8	17433942	17501580	1	protein_coding	5157	PDGFRL	4.16904903414803e-10	-0.322793905	0	0	1	0.0237812	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	0.000204542	rs9325801	27
ENSG00000164841	TMEM74	8	109619079	109799844	-1	protein_coding	157753	TMEM74	0.00033122585381911	-0.369426834	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	6.35582e-06	rs35038092	29
ENSG00000120526	NUDCD1	8	110253148	110346614	-1	protein_coding	84955	NUDCD1	3.84054787465333e-06	-0.810886	1	1.898	0	NA	NA	NA	NA	No	NA	6.35582e-06	rs35038092	29
ENSG00000120533	ENY2	8	110346553	110358182	1	protein_coding	56943	ENY2	0.797810081751442	-0.945135107	1	1.898	0	NA	NA	NA	NA	No	NA	6.35582e-06	rs35038092	29
ENSG00000248050	RP11-422N16.3	8	110656344	110660313	1	protein_coding	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	6.35582e-06	rs35038092	29
ENSG00000182197	EXT1	8	118806729	119124092	-1	protein_coding	2131	EXT1	0.999320485111258	0.987829441	22	16.29	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	1.33267e-06	rs72673947	31
ENSG00000119318	RAD23B	9	110045418	110094475	1	protein_coding	5887	RAD23B	0.973409007097557	-0.566578312	0	0	1	0.0025436	NA	GTEx/v8/Brain_Hypothalamus	-	No	NA	7.00263e-06	rs763816106	32
ENSG00000148513	ANKRD30A	10	37414785	37673039	1	protein_coding	91074	ANKRD30A	1.26066166278999e-23	0.250817735	2	3.481	0	NA	NA	NA	NA	No	NA	0.000152764	rs577806768	33
ENSG00000256892	MTRNR2L7	10	37890366	37891859	-1	protein_coding	100288485	MTRNR2L7	NA	1.025397794	1	15.63	0	NA	NA	NA	NA	No	NA	NA	rs577806768	33
ENSG00000198105	ZNF248	10	38091751	38147034	-1	protein_coding	57209	ZNF248	0.685698353455718	0.075969218	2	11.9	0	NA	NA	NA	NA	No	NA	NA	rs577806768	33
ENSG00000175395	ZNF25	10	38238500	38265561	-1	protein_coding	219749	ZNF25	0.000386915993164412	-0.590919112	1	23.3	0	NA	NA	NA	NA	No	NA	NA	rs577806768	33
ENSG00000189180	ZNF33A	10	38299578	38354016	1	protein_coding	7581	ZNF33A	0.000466480342698693	1.237075947	3	2.26	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	8.57961e-06	rs577806768;rs533620794	33
ENSG00000075407	ZNF37A	10	38383264	38414472	1	protein_coding	101929740	ZNF37A	0.00192441523384355	1.699180414	5	5.68	0	NA	NA	NA	NA	No	NA	NA	rs577806768	33
ENSG00000225119	LINC00999	10	38717074	38736820	1	protein_coding	NA	LINC00999	NA	NA	2	4.582	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	1.16466e-05	rs577806768	33
ENSG00000196693	ZNF33B	10	43084555	43133992	-1	protein_coding	7582	ZNF33B	2.25380897368934e-06	4.160827408	21	20.5	0	NA	NA	NA	NA	Yes	Adult_Cortex	3.85539e-06	rs12775850;rs80212260;rs12775850:rs538115641:rs35185068	34
ENSG00000165733	BMS1	10	43278249	43330385	1	protein_coding	101929959	BMS1	0.995287036407563	-0.383013676	3	8.804	0	NA	NA	NA	NA	Yes	Adult_Cortex	3.85539e-06	rs80212260;rs12775850:rs538115641:rs35185068	34
ENSG00000165731	RET	10	43572475	43625799	1	protein_coding	5979	RET	0.999889043907306	0.146012164	4	11.47	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	2.022e-05	rs538115641;rs12775850	34
ENSG00000169826	CSGALNACT2	10	43633934	43680756	1	protein_coding	55454	CSGALNACT2	0.451240634927787	0.45940921	1	3.497	0	NA	NA	NA	NA	No	NA	NA	rs538115641	34
ENSG00000198915	RASGEF1A	10	43689983	43762367	-1	protein_coding	221002	RASGEF1A	0.910096302244158	-0.06894001	3	7.102	0	NA	NA	NA	NA	No	NA	0.000319611	rs538115641	34
ENSG00000169813	HNRNPF	10	43881065	43904614	-1	protein_coding	3185	HNRNPF	0.864039577145677	1.150120337	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	7.56059e-05	rs35185068	34
ENSG00000243660	ZNF487	10	43932282	43991517	1	protein_coding	NA	ZNF487	0.381487324002118	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	4.26209e-05	rs12775850	34
ENSG00000196793	ZNF239	10	44051792	44070066	-1	protein_coding	8187	ZNF239	0.000867929253552217	0.570932296	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs538115641	34
ENSG00000198298	ZNF485	10	44101855	44113351	1	protein_coding	220992	ZNF485	3.53439212461835e-05	0.070203911	1	13.62	0	NA	NA	NA	NA	No	NA	NA	rs538115641	34
ENSG00000169740	ZNF32	10	44139307	44144304	-1	protein_coding	7580	ZNF32	0.276205822566686	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs538115641	34
ENSG00000107562	CXCL12	10	44793038	44881941	-1	protein_coding	6387	CXCL12	0.118587913081985	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	NA	rs538115641	34
ENSG00000269515	AL137026.1	10	44873687	44878739	1	protein_coding	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	NA	rs538115641	34
ENSG00000165511	C10orf25	10	45493146	45496336	-1	protein_coding	220979	C10orf25	0.012567313038728	-0.929200156	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs538115641	34
ENSG00000165512	ZNF22	10	45495923	45500774	1	protein_coding	7570	ZNF22	0.126684327200881	-0.107262233	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs538115641	34
ENSG00000138311	ZNF365	10	64133951	64431771	1	protein_coding	22891	ZNF365	3.62115394483978e-05	-0.151965448	10	6.482	0	NA	NA	NA	NA	No	NA	8.99663e-06	rs11527324	35
ENSG00000166402	TUB	11	8040791	8127659	1	protein_coding	7275	TUB	0.471428314326012	2.515935772	4	6.687	0	NA	NA	NA	NA	Yes	Promoter_anchored_loops	9.88848e-07	rs541036670	37
ENSG00000166405	RIC3	11	8127597	8190602	-1	protein_coding	79608	RIC3	0.0122613505184732	-0.013656785	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	1.8206e-06	rs541036670	37
ENSG00000188596	C12orf55	12	96883349	97269333	1	protein_coding	101928871	C12orf55	9.30036258919147e-13	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	6.8435e-07	rs185507290	39
ENSG00000245017	RP11-181C3.1	12	98879322	98897633	-1	protein_coding	643770	NA	NA	NA	1	3.067	0	NA	NA	NA	NA	No	NA	NA	rs185507290	39
ENSG00000120802	TMPO	12	98909290	98944157	1	protein_coding	7112	TMPO	0.000659535706594771	-0.654675506	1	2.054	0	NA	NA	NA	NA	No	NA	NA	rs185507290	39
ENSG00000166130	IKBIP	12	99007183	99038891	-1	protein_coding	121457	IKBIP	9.59326123111629e-05	0.202711195	0	0	2	0.0209799	NA	GTEx/v8/Brain_Hypothalamus	+	Yes	Adult_Cortex	6.8435e-07	rs148163874;rs185507290	38:39
ENSG00000120868	APAF1	12	99038919	99129204	1	protein_coding	317	APAF1	3.82072122629714e-05	-0.127297474	1	0.259	0	NA	NA	NA	NA	No	NA	NA	rs185507290	39
ENSG00000185046	ANKS1B	12	99120235	100378432	-1	protein_coding	56899	ANKS1B	0.992771667778122	NA	3	3.756	0	NA	NA	NA	NA	No	NA	NA	rs185507290	39
ENSG00000232774	RP11-47I22.3	14	62037258	62125414	1	protein_coding	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex	NA	rs527938902	43
ENSG00000100644	HIF1A	14	62162231	62214976	1	protein_coding	3091	HIF1A	0.980689532418508	-0.246157214	1	5.173	0	NA	NA	NA	NA	No	NA	NA	rs527938902	43
ENSG00000139973	SYT16	14	62453803	62568431	1	protein_coding	83851	SYT16	0.00124651789754824	0.492422597	1	4.918	0	NA	NA	NA	NA	No	NA	NA	rs527938902	43
ENSG00000140015	KCNH5	14	63173287	63568755	-1	protein_coding	27133	KCNH5	0.769049292397075	-0.555237815	2	8.097	0	NA	NA	NA	NA	No	NA	NA	rs527938902	43
